,pearson_r,spearman_r,mutual_info,lin_coef,lasso_coef,perm_importance_r2_drop,single_feature_cv_r2,abs_pearson_r,abs_spearman_r,abs_lin_coef,abs_lasso_coef,consensus_score
DLC_mode1,-0.9458787440393038,-0.9943865368282614,4.6971256914085044,-0.2831734543670152,-0.28275895567630893,1.137883429721652,0.8946082369601968,0.9458787440393038,0.9943865368282614,0.2831734543670152,0.28275895567630893,5.0
DLC_mode2,-0.2091255349848073,-0.24697440540186036,4.800005193974898,-0.08503597735069426,-0.0847820851390193,0.10135242379265023,0.04334581591295439,0.2091255349848073,0.24697440540186036,0.08503597735069426,0.0847820851390193,7.0
DLC_mode3,-0.041214461902379124,-0.049602912811437694,4.170847489627031,-0.01843370820992613,-0.018204154568514132,0.035930399832580034,0.0014496536933521708,0.041214461902379124,0.049602912811437694,0.01843370820992613,0.018204154568514132,16.0
DLC_mode5,0.0529778718200288,0.059780686748998474,3.4578177858982357,-0.0034931867534489167,-0.0031893370153889236,0.015599272562419875,0.0024428248501730866,0.0529778718200288,0.059780686748998474,0.0034931867534489167,0.0031893370153889236,18.0
DLC_mode6,0.0871562494356833,0.09231688368479021,3.1972056696760354,-0.006357863300701698,-0.00603087539503537,0.005309556251109388,0.006989314110186218,0.0871562494356833,0.09231688368479021,0.006357863300701698,0.00603087539503537,18.0
DLC_mode4,0.0010364969231558198,0.0074047725548198875,3.9094009309703175,-0.007824964362501415,-0.007528143530414342,0.025759700784237456,-0.00034522915610790683,0.0010364969231558198,0.0074047725548198875,0.007824964362501415,0.007528143530414342,20.0
