x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03,4.411021000000e-03
0.002,4.386767253996e-03,4.327071819734e-03,4.273625409636e-03,4.219141689215e-03,4.165110536851e-03,4.111421347512e-03,4.058080988094e-03,4.005089173312e-03,3.952445965138e-03,3.900151497614e-03,4.411021000000e-03
0.004,4.362580371867e-03,4.243929219220e-03,4.138403926027e-03,4.031530207320e-03,3.926255781679e-03,3.822363868333e-03,3.719868651470e-03,3.618770462055e-03,3.519070402908e-03,3.420769795909e-03,4.411021000000e-03
0.006,4.338460356193e-03,4.161593296369e-03,4.005357292468e-03,3.848189313393e-03,3.694464016436e-03,3.543864241771e-03,3.396413472500e-03,3.252115182934e-03,3.110974148553e-03,2.972995547927e-03,4.411021000000e-03
0.008,4.314407211245e-03,4.080064209843e-03,3.874486690069e-03,3.669123298272e-03,3.469746306985e-03,3.275945707268e-03,3.087757983227e-03,2.905193818952e-03,2.728265492799e-03,2.556985413688e-03,4.411021000000e-03
0.010,4.290420942949e-03,3.999342175220e-03,3.745793689142e-03,3.494337727319e-03,3.252116614595e-03,3.018636682851e-03,2.793952371942e-03,2.578086189014e-03,2.371061309644e-03,2.172899071181e-03,4.411021000000e-03
0.012,4.266501558864e-03,3.919427461185e-03,3.619280201378e-03,3.323839189252e-03,3.041590935014e-03,2.771968476382e-03,2.515049345160e-03,2.270871226952e-03,2.039468491085e-03,1.820867807109e-03,4.411021000000e-03
0.014,4.242649068150e-03,3.840320385779e-03,3.494948432841e-03,3.157635051093e-03,2.838186465519e-03,2.535973091337e-03,2.251099251270e-03,1.983617388689e-03,1.733566737010e-03,1.500965798114e-03,4.411021000000e-03
0.016,4.218863481540e-03,3.762021312666e-03,3.372800837760e-03,2.995733219292e-03,2.641920800346e-03,2.310681129197e-03,2.002145473235e-03,1.716373709083e-03,1.453392754441e-03,1.213184204116e-03,4.411021000000e-03
0.018,4.195144811314e-03,3.684530647452e-03,3.252840073135e-03,2.838141907097e-03,2.452811155057e-03,2.096119790790e-03,1.768220098478e-03,1.469161531628e-03,1.198925923110e-03,9.574081978586e-04,4.411021000000e-03
0.020,4.171493071267e-03,3.607848834034e-03,3.135068954169e-03,2.684869408272e-03,2.270873620371e-03,1.892310979117e-03,1.549339874549e-03,1.241966934919e-03,9.700754841521e-04,7.333970497469e-04,4.411021000000e-03
0.022,4.147908276684e-03,3.531976350988e-03,3.019490410515e-03,2.535923877233e-03,2.096122446093e-03,1.699269506323e-03,1.345502459371e-03,1.034733879507e-03,7.666693058660e-04,5.407673751801e-04,4.411021000000e-03
0.024,4.124390444309e-03,3.456913708003e-03,2.906107443375e-03,2.391313115711e-03,1.928569355764e-03,1.517001407534e-03,1.156682974815e-03,8.473580976799e-04,5.884442751749e-04,3.789796337536e-04,4.411021000000e-03
0.026,4.100939592321e-03,3.382661442341e-03,2.794923083419e-03,2.251044366045e-03,1.768222892704e-03,1.345502364319e-03,9.828308720122e-04,6.796817467784e-04,4.350383559476e-04,2.473279466527e-04,4.411021000000e-03
0.028,4.077555740303e-03,3.309220115345e-03,2.685940349573e-03,2.115124111218e-03,1.615087798113e-03,1.184756240446e-03,8.238671163281e-04,5.314888440534e-04,3.059843459634e-04,1.449332711624e-04,4.411021000000e-03
0.030,4.054238909214e-03,3.236590308983e-03,2.579162208660e-03,1.983557881736e-03,1.469164421905e-03,1.034733732536e-03,6.796816991680e-04,4.025014978059e-04,2.007053532849e-04,7.073994027052e-05,4.411021000000e-03
0.032,4.030989121363e-03,3.164772622432e-03,2.474591535908e-03,1.856350069478e-03,1.330448166946e-03,8.953911380586e-04,5.501314828589e-04,2.923769457313e-04,1.185120004157e-04,2.351554168904e-05,4.411021000000e-03
0.034,4.007806400381e-03,3.093767668695e-03,2.372231076345e-03,1.733503748624e-03,1.198928967337e-03,7.666692429211e-04,4.350383837783e-04,2.007054070864e-04,5.860135115143e-05,1.854075074295e-06,4.411021000000e-03
0.036,3.984690771192e-03,3.023576071269e-03,2.272083407074e-03,1.615020503779e-03,1.074590801379e-03,6.484923306660e-04,3.341878976527e-04,1.270087505877e-04,2.005754073107e-05,4.182289605095e-06,4.411021000000e-03
0.038,3.961642259988e-03,2.954198460840e-03,2.174150900463e-03,1.500900265420e-03,9.574112397988e-04,5.407673150236e-04,2.473279695762e-04,7.073997491197e-05,1.854075053246e-06,2.876906716345e-05,4.411021000000e-03
0.040,3.938660894200e-03,2.885635472029e-03,2.078435688228e-03,1.391141152752e-03,8.473610298111e-04,4.433829972530e-04,1.741682098162e-04,3.128349338032e-05,2.857749582307e-06,7.373767991956e-05,4.411021000000e-03
0.042,3.915746702468e-03,2.817887740169e-03,1.984939626455e-03,1.285739324120e-03,7.444037154961e-04,3.562094493668e-04,1.143794548942e-04,7.956208947188e-06,2.183412340434e-05,1.370807158754e-04,4.411021000000e-03
0.044,3.892899714619e-03,2.750955898127e-03,1.893664261547e-03,1.184688835058e-03,6.484952949714e-04,2.790975239659e-04,6.759367176883e-05,9.360052746786e-09,5.745446894158e-05,2.166774325541e-04,4.411021000000e-03
0.046,3.870119961638e-03,2.684840573167e-03,1.804610797111e-03,1.087981504094e-03,5.595839147412e-04,2.118784910184e-04,3.340420124031e-05,6.631112314328e-06,1.083041033382e-04,3.103132681696e-04,4.411021000000e-03
0.048,3.847407475637e-03,2.619542383851e-03,1.717780061813e-03,9.956067864050e-04,4.776096015549e-04,1.543638015017e-04,1.136633493662e-05,2.694986549382e-05,1.728919937137e-04,4.157012118530e-04,4.411021000000e-03
0.050,3.824762289835e-03,2.555061936984e-03,1.633172478187e-03,9.075516554122e-04,4.025040320405e-04,1.063449773969e-04,9.982184697834e-07,6.003823975705e-05,2.496615155541e-04,5.305047103618e-04,4.411021000000e-03
0.052,3.802184438524e-03,2.491399824598e-03,1.550788032425e-03,8.238004924166e-04,3.341903402954e-04,6.759362707676e-05,1.782071570145e-06,1.049177000024e-04,3.370022316682e-04,6.523617686137e-04,4.411021000000e-03
0.054,3.779673957047e-03,2.428556620977e-03,1.470626245163e-03,7.443349843404e-04,2.725829635475e-04,3.786158467543e-05,1.316571424084e-05,1.605637720425e-04,4.332625485585e-04,7.789098857334e-04,4.411021000000e-03
0.056,3.757230881769e-03,2.366532879728e-03,1.392686143250e-03,6.691340296568e-04,2.175875259123e-04,1.688117156064e-05,3.456438623807e-05,2.259117997339e-04,5.367630978921e-04,9.078114573966e-04,4.411021000000e-03
0.058,3.734855250052e-03,2.305329130892e-03,1.316966232541e-03,5.981736525687e-04,1.691007601892e-04,4.365577565624e-06,6.536284549224e-05,2.998631878197e-04,6.458106831533e-04,1.036779269310e-03,4.411021000000e-03
0.060,3.712547100226e-03,2.244945878092e-03,1.243464471700e-03,5.314269254933e-04,1.270104675517e-04,9.359167220109e-09,1.049177294551e-04,3.812920713293e-04,7.587126256270e-04,1.163601705836e-03,4.411021000000e-03
0.062,3.690306471565e-03,2.185383595736e-03,1.172178247036e-03,4.688638998995e-04,9.119551489697e-05,3.489051332782e-06,1.525601618039e-04,4.690523489150e-04,8.737913396903e-04,1.286167302093e-03,4.411021000000e-03
0.064,3.668133404258e-03,2.126642726250e-03,1.103104348376e-03,4.104515455333e-04,6.152586952929e-05,1.446388929840e-05,2.075985854680e-04,5.619850145332e-04,9.893989650557e-04,1.402488277387e-03,4.411021000000e-03
0.066,3.646027939386e-03,2.068723677361e-03,1.036238945988e-03,3.561536980585e-04,3.786267075641e-05,3.257663609036e-05,2.693218015819e-04,6.589257194395e-04,1.103931883154e-03,1.510722702316e-03,4.411021000000e-03
0.068,3.623990118891e-03,2.011626819428e-03,9.715775685581e-04,3.059310151294e-04,2.005833788793e-05,5.745451116280e-05,3.370021927171e-04,7.587124945847e-04,1.215844946288e-03,1.609194971376e-03,4.411021000000e-03
0.070,3.602019985556e-03,1.955352482802e-03,9.091150822322e-04,2.597409408984e-04,7.956714027995e-06,8.871021510007e-05,4.098991076240e-04,8.601935622002e-04,1.323665251537e-03,1.696414276875e-03,4.411021000000e-03
0.072,3.580117582973e-03,1.899900955252e-03,8.488456707340e-04,2.175376789533e-04,1.393244961670e-06,1.259430449252e-04,4.872623837227e-04,9.622351646662e-04,1.426005296614e-03,1.771090808373e-03,4.411021000000e-03
0.074,3.558282955520e-03,1.845272479410e-03,7.907628165588e-04,1.792721736655e-04,1.951923407153e-07,1.687400941690e-04,5.683359827374e-04,1.063729338666e-03,1.521575361905e-03,1.832149434076e-03,4.411021000000e-03
0.076,3.536516148334e-03,1.791467250286e-03,7.348592832573e-04,1.448920999199e-04,4.181880281884e-06,2.166775314882e-04,6.523617141729e-04,1.163601563165e-03,1.609194971747e-03,1.878740656408e-03,4.411021000000e-03
0.078,3.514817207288e-03,1.738485412810e-03,6.811270988109e-04,1.143418611829e-04,1.316497439948e-05,2.693219512831e-04,7.385830207933e-04,1.260818210895e-03,1.687803298433e-03,1.910248672638e-03,4.411021000000e-03
0.080,3.493186178961e-03,1.686327059426e-03,6.295575401066e-04,8.756259585578e-05,2.694879220441e-05,3.262317894483e-04,8.262487998870e-04,1.354393734795e-03,1.756468384459e-03,1.926296412645e-03,4.411021000000e-03
0.082,3.471623110614e-03,1.634992227732e-03,5.801411185158e-04,6.449219184529e-05,4.533064371449e-05,3.869587971073e-04,9.146172338946e-04,1.443397523195e-03,1.814395071935e-03,1.926747468840e-03,4.411021000000e-03
0.084,3.450128050167e-03,1.584480898168e-03,5.328675665813e-04,4.506530927293e-05,6.810120103575e-05,4.510495649277e-04,1.002959603932e-03,1.526960360487e-03,1.860931542808e-03,1.911704877563e-03,4.411021000000e-03
0.086,3.428701046168e-03,1.534792991742e-03,4.877258258168e-04,2.921341123068e-05,9.504489559233e-05,5.180470903879e-04,1.090564059877e-03,1.604280433503e-03,1.895574389283e-03,1.881506756067e-03,4.411021000000e-03
0.088,3.407342147775e-03,1.485928367815e-03,4.447040356212e-04,1.686480247887e-05,1.259403416036e-04,5.874923801811e-04,1.176739320973e-03,1.674628827838e-03,1.917972150631e-03,1.836718844093e-03,4.411021000000e-03
0.090,3.386051404722e-03,1.437886821918e-03,4.037895233113e-04,7.944675968952e-06,1.605607843320e-04,6.589260797853e-04,1.260818281407e-03,1.737354462888e-03,1.927927269963e-03,1.778124043183e-03,4.411021000000e-03
0.092,3.364828867301e-03,1.390668083632e-03,3.649687952730e-04,2.375167061638e-06,1.986745715523e-04,7.318901221097e-04,1.342161495896e-03,1.791888419299e-03,1.925396442594e-03,1.706709089769e-03,4.411021000000e-03
0.094,3.343674586335e-03,1.344271814501e-03,3.282275292334e-04,7.541529815825e-08,2.400456466285e-04,8.059293870477e-04,1.420160521197e-03,1.837747617943e-03,1.910489345956e-03,1.623648539090e-03,4.411021000000e-03
0.096,3.322588613149e-03,1.298697606004e-03,2.935505676536e-04,9.616335702440e-07,2.844340615163e-04,8.805933637179e-04,1.494241090325e-03,1.874537815244e-03,1.883465759468e-03,1.530286275464e-03,4.411021000000e-03
0.098,3.301570999552e-03,1.253944977565e-03,2.609219122404e-04,4.947184522004e-06,3.315965079575e-04,9.554378071721e-04,1.563866097461e-03,1.901955885759e-03,1.844731101192e-03,1.428114799924e-03,4.411021000000e-03
0.100,3.280621797806e-03,1.210013374621e-03,2.303247195775e-04,1.194266400493e-05,3.812868650733e-04,1.030026381376e-03,1.628538372721e-03,1.919791369213e-03,1.794830426164e-03,1.318752578173e-03,4.411021000000e-03
0.102,3.259741060603e-03,1.166902166729e-03,2.017412978724e-04,2.185599139539e-05,4.332567615177e-04,1.103932280336e-03,1.687803227391e-03,1.927927265742e-03,1.734440948910e-03,1.203919759696e-03,4.411021000000e-03
0.104,3.238928841043e-03,1.124610645729e-03,1.751531048174e-04,3.459250657227e-05,4.872561503109e-04,1.176739819363e-03,1.741250751759e-03,1.926340069731e-03,1.664363169552e-03,1.085412602440e-03,4.411021000000e-03
0.106,3.218185192606e-03,1.083138023954e-03,1.505407465592e-04,5.005507334126e-05,5.430338944314e-04,1.248045988586e-03,1.788517849292e-03,1.915099039430e-03,1.585510698913e-03,9.650769562310e-04,4.411021000000e-03
0.108,3.197510169129e-03,1.042483432483e-03,1.278839777739e-04,6.814418908101e-05,6.003383612175e-04,1.317461961032e-03,1.829289992685e-03,1.894364706314e-03,1.498898892956e-03,8.447811718846e-04,4.411021000000e-03
0.110,3.176903824782e-03,1.002645919453e-03,1.071617028419e-04,8.875810037582e-05,6.589180236001e-04,1.384614547791e-03,1.863302689157e-03,1.864386634889e-03,1.405632420598e-03,7.263888115419e-04,4.411021000000e-03
0.112,3.156366214042e-03,9.636244484167e-04,8.835197811501e-05,1.117929243890e-04,7.185220661719e-04,1.449147593051e-03,1.890342644281e-03,1.825500450365e-03,1.306891901191e-03,6.117315389923e-04,4.411021000000e-03
0.114,3.135897391671e-03,9.254178967446e-04,7.143201527048e-05,1.371427757215e-04,7.789009940806e-04,1.510723302042e-03,1.910248615674e-03,1.778124158088e-03,1.203919758744e-03,5.025825666061e-04,4.411021000000e-03
0.116,3.115497412690e-03,8.880250540853e-04,5.637818574221e-05,1.646998984897e-04,8.398072427300e-04,1.569023495302e-03,1.922911949922e-03,1.722753784972e-03,1.098005448972e-03,4.006310279965e-04,4.411021000000e-03
0.118,3.095166332357e-03,8.514446208717e-04,4.316602622167e-05,1.943548033483e-04,9.009957862682e-04,1.623750782972e-03,1.928276798221e-03,1.659958379194e-03,9.904702226257e-04,3.074576327831e-04,4.411021000000e-03
0.120,3.074904206140e-03,8.156752068776e-04,3.177024521800e-05,2.259964091762e-04,9.622247428484e-04,1.674629653238e-03,1.926340008372e-03,1.590374410180e-03,8.826515939332e-04,2.245119420091e-04,4.411021000000e-03
0.122,3.054711089698e-03,7.807153298258e-04,2.216473066690e-05,2.595121891306e-04,1.023255974659e-03,1.721407469450e-03,1.917150692921e-03,1.514699616223e-03,7.758876865619e-04,1.530915801213e-04,4.411021000000e-03
0.124,3.034587038850e-03,7.465634140466e-04,1.432255857709e-05,2.947883207747e-04,1.083855680737e-03,1.763855370860e-03,1.900809475401e-03,1.433686352078e-03,6.715016310322e-04,9.432367228395e-05,4.411021000000e-03
0.126,3.014532109560e-03,7.132177891867e-04,8.216002701777e-06,3.317098399679e-04,1.143794980597e-03,1.801769072405e-03,1.877467418773e-03,1.348134493306e-03,5.707861871252e-04,4.914876453976e-05,4.411021000000e-03
0.128,2.994546357906e-03,6.806766889697e-04,3.816545222197e-06,3.701607982092e-04,1.202850486753e-03,1.834969559421e-03,1.847324642308e-03,1.258883958173e-03,4.749887624232e-04,1.830744940617e-05,4.411021000000e-03
0.130,2.974629840062e-03,6.489382500072e-04,1.094888429236e-06,4.100244231118e-04,1.260804864221e-03,1.863303673691e-03,1.810628635205e-03,1.166806911318e-03,3.852969937839e-04,2.329881387183e-06,4.411021000000e-03
0.132,2.954782612270e-03,6.180005106615e-04,2.096738826420e-08,4.511832816857e-04,1.317447375158e-03,1.886644587730e-03,1.767672277319e-03,1.072799716298e-03,3.028250523121e-04,1.528326143607e-06,4.411021000000e-03
0.134,2.935004730821e-03,5.878614099596e-04,5.639635716199e-07,4.935194460969e-04,1.372574406824e-03,1.904892164771e-03,1.718791579272e-03,9.777747064168e-04,2.286008243178e-04,1.599284426657e-05,4.411021000000e-03
0.136,2.915296252030e-03,5.585187865581e-04,2.692319442260e-06,5.369146615705e-04,1.425989981106e-03,1.917973202426e-03,1.664363156164e-03,8.826518448940e-04,1.635541109459e-04,4.559016635364e-05,4.411021000000e-03
0.138,2.895657232211e-03,5.299703777608e-04,6.373753971319e-06,5.812505160986e-04,1.477506243921e-03,1.925841558581e-03,1.604801450843e-03,7.883503464803e-04,1.085059777221e-04,8.996577102163e-05,4.411021000000e-03
0.140,2.876087727658e-03,5.022138185866e-04,1.157527907152e-05,6.264086116112e-04,1.526943932850e-03,1.928478158633e-03,1.540555724400e-03,6.957803330391e-04,6.415937232754e-05,1.485491322458e-04,4.411021000000e-03
0.142,2.856587794619e-03,4.752466408903e-04,1.826321692756e-05,6.722707362674e-04,1.574132821449e-03,1.925890883740e-03,1.472106833117e-03,6.058345953640e-04,3.109111463013e-05,2.205620576350e-04,4.411021000000e-03
0.144,2.837157489276e-03,4.490662725342e-04,2.640321820386e-05,7.187190375207e-04,1.618912138744e-03,1.918114340334e-03,1.399963812521e-03,5.193805326277e-04,9.745347524573e-06,3.050299955736e-04,4.411021000000e-03
0.146,2.817796867719e-03,4.236700366120e-04,3.596028110929e-05,7.656361956103e-04,1.661130962503e-03,1.905209511717e-03,1.324660290523e-03,4.372523393443e-04,4.285206484854e-07,4.007961472061e-04,4.411021000000e-03
0.148,2.798505985926e-03,3.990551507249e-04,4.689877129764e-05,8.129055971318e-04,1.700648584957e-03,1.887263293098e-03,1.246750752752e-03,3.602435075966e-04,3.305961729199e-06,5.065381796027e-04,4.411021000000e-03
0.150,2.779284899739e-03,3.752187263084e-04,5.918244258212e-05,8.604115083387e-04,1.737334849726e-03,1.864387912036e-03,1.166806684213e-03,2.890997095442e-04,1.840007237596e-05,6.207872996941e-04,4.411021000000e-03
0.152,2.760133664845e-03,3.521577680122e-04,7.277445844109e-05,9.080392478286e-04,1.771070458814e-03,1.836720236740e-03,1.085412612235e-03,2.245121219191e-04,4.559016676796e-05,7.419494152169e-04,4.411021000000e-03
0.154,2.741052336748e-03,3.298691731314e-04,8.763741429191e-05,9.556753582662e-04,1.801747248611e-03,1.804420975283e-03,1.003162076353e-03,1.671112503568e-04,8.461395310935e-05,8.683280794488e-04,4.411021000000e-03
0.156,2.722040970753e-03,3.083497310896e-04,1.037333605087e-04,1.003207776802e-03,1.829268433955e-03,1.767673769243e-03,9.206535512688e-04,1.174613070388e-04,1.350706391395e-04,9.981488913515e-04,4.411021000000e-03
0.158,2.703099621940e-03,2.875961229738e-04,1.210238261598e-04,1.050526003841e-03,1.853548819406e-03,1.726684185848e-03,8.384863493708e-04,7.605519027192e-05,1.964256246118e-04,1.129585002235e-03,4.411021000000e-03
0.160,2.684228345142e-03,2.676049211211e-04,1.394698434390e-04,1.097521269831e-03,1.874514976971e-03,1.681678613155e-03,7.572565294577e-04,4.331010935558e-05,2.680167256976e-04,1.260783364509e-03,4.411021000000e-03
0.162,2.665427194927e-03,2.483725887576e-04,1.590319727649e-04,1.144086699724e-03,1.892105389667e-03,1.632903063262e-03,6.775528382725e-04,1.956389241474e-05,3.490618589355e-04,1.389891347710e-03,4.411021000000e-03
0.164,2.646696225573e-03,2.298954796880e-04,1.796703285229e-04,1.190117474795e-03,1.906270560362e-03,1.580621889016e-03,5.999527112669e-04,5.072008881453e-06,4.386680958310e-04,1.515083341938e-03,4.411021000000e-03
0.166,2.628035491047e-03,2.121698380376e-04,2.013446054203e-04,1.235510991486e-03,1.916973085501e-03,1.525116420075e-03,5.250183586394e-04,5.332019825242e-09,5.358419837034e-04,1.634586969169e-03,4.411021000000e-03
0.168,2.609445044983e-03,1.951917980457e-04,2.240141054298e-04,1.280167016949e-03,1.924187693393e-03,1.466683524563e-03,4.532929621392e-04,4.448660380775e-06,6.395010140523e-04,1.746708528654e-03,4.411021000000e-03
0.170,2.590924940662e-03,1.789573839100e-04,2.476377652909e-04,1.323987840995e-03,1.927901246875e-03,1.405634102969e-03,3.852970074135e-04,1.840001039242e-05,7.484861067412e-04,1.849857313642e-03,4.411021000000e-03
0.172,2.572475230992e-03,1.634625096825e-04,2.721741845418e-04,1.366878424125e-03,1.928112710271e-03,1.342291521182e-03,3.215247757909e-04,4.177068550287e-05,8.615749668133e-04,1.942568452838e-03,4.411021000000e-03
0.174,2.554095968482e-03,1.487029792167e-04,2.975816540520e-04,1.408746541353e-03,1.924833080678e-03,1.276989989940e-03,2.624410183503e-04,7.438612045303e-05,9.774961609049e-04,2.023523951168e-03,4.411021000000e-03
0.176,2.535787205226e-03,1.346744861655e-04,3.238181850270e-04,1.449502921533e-03,1.918085283733e-03,1.210072898164e-03,2.084778339332e-04,1.159874924287e-04,1.094943752101e-03,2.091571630093e-03,4.411021000000e-03
