x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03,6.278932000000e-03
0.002,6.244407652484e-03,6.159433318324e-03,6.083354248501e-03,6.005798604212e-03,5.928887174504e-03,5.852462517040e-03,5.776534406600e-03,5.701102437091e-03,5.626166696729e-03,5.551727376319e-03,6.278932000000e-03
0.004,6.209978483323e-03,6.041082774327e-03,5.890871260884e-03,5.738740311530e-03,5.588885899153e-03,5.440999444011e-03,5.295101136791e-03,5.151191448613e-03,5.009271949299e-03,4.869344520502e-03,6.278932000000e-03
0.006,6.175644496191e-03,5.923880507382e-03,5.701484095204e-03,5.477761049408e-03,5.258938539546e-03,5.044565099852e-03,4.834674157687e-03,4.629270658610e-03,4.428361400347e-03,4.231953754411e-03,6.278932000000e-03
0.008,6.141405697165e-03,5.807826743341e-03,5.515194432729e-03,5.222866925699e-03,4.939060847548e-03,4.663192565084e-03,4.395314012139e-03,4.135440397137e-03,3.883589197882e-03,3.639778078032e-03,6.278932000000e-03
0.010,6.107262094683e-03,5.692921789068e-03,5.332004508740e-03,4.974065862499e-03,4.629272696527e-03,4.296922291762e-03,3.977092141403e-03,3.669814283577e-03,3.375121707896e-03,3.093044787321e-03,6.278932000000e-03
0.012,6.073213699504e-03,5.579166027029e-03,5.151917044466e-03,4.731367238616e-03,4.329596855869e-03,3.945798845517e-03,3.580083571333e-03,3.232504677440e-03,2.903111087357e-03,2.591940764242e-03,6.278932000000e-03
0.014,6.039260524667e-03,5.466559909943e-03,4.974935180158e-03,4.494781540744e-03,4.040057805282e-03,3.609867782161e-03,3.204359971076e-03,2.823609023307e-03,2.467670786230e-03,2.136571596617e-03,6.278932000000e-03
0.016,6.005402585450e-03,5.355103955475e-03,4.801062409324e-03,4.264320023431e-03,3.760680589541e-03,3.289172661819e-03,2.849983094742e-03,2.443197120558e-03,2.068853055660e-03,1.726924700906e-03,6.278932000000e-03
0.018,5.971639899333e-03,5.244798740987e-03,4.630302514110e-03,4.039994377948e-03,3.491489714387e-03,2.983752203905e-03,2.516998617639e-03,2.091299350901e-03,1.706628543425e-03,1.362836624581e-03,6.278932000000e-03
0.020,5.937972485953e-03,5.135644898353e-03,4.462659501856e-03,3.821816410174e-03,3.232508084388e-03,2.693637586566e-03,2.205430379311e-03,1.767895897708e-03,1.380868057499e-03,1.043964697598e-03,6.278932000000e-03
0.022,5.904400367066e-03,5.027643108809e-03,4.298137542823e-03,3.609797727629e-03,2.983755983635e-03,2.418849894361e-03,1.915275045896e-03,1.472906990812e-03,1.091326574510e-03,7.697631855697e-04,6.278932000000e-03
0.024,5.870923566510e-03,4.920794097879e-03,4.136740909110e-03,3.403949435801e-03,2.745250100175e-03,2.159397718081e-03,1.646497204258e-03,1.206184208822e-03,8.376295623197e-04,5.394640718608e-04,6.278932000000e-03
0.026,5.837542110159e-03,4.815098630335e-03,3.978473914773e-03,3.204281843904e-03,2.517002595121e-03,1.915274910593e-03,1.399024899874e-03,9.675028683071e-04,6.192616753324e-04,3.520625630057e-04,6.278932000000e-03
