x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04,1.481688000000e-04
0.002,1.473541023504e-04,1.453488974647e-04,1.435536009906e-04,1.417234606503e-04,1.399085223381e-04,1.381050707660e-04,1.363133365968e-04,1.345333102478e-04,1.327649938006e-04,1.310083917578e-04,1.481688000000e-04
0.004,1.465416506979e-04,1.425560884196e-04,1.390114315109e-04,1.354214801930e-04,1.318852500735e-04,1.283954593583e-04,1.249525845027e-04,1.215566366241e-04,1.182076527666e-04,1.149056773332e-04,1.481688000000e-04
0.006,1.457314451291e-04,1.397903761535e-04,1.345423165286e-04,1.292629513072e-04,1.240992278111e-04,1.190404924543e-04,1.140875340481e-04,1.092404692966e-04,1.044994586111e-04,9.986467594276e-05,1.481688000000e-04
0.008,1.449234857874e-04,1.370517659960e-04,1.301462957178e-04,1.232480181248e-04,1.165508272598e-04,1.100409506804e-04,1.037196139091e-04,9.758717583106e-05,9.164404888333e-05,8.589064988891e-05,1.481688000000e-04
0.010,1.441177728720e-04,1.343402651884e-04,1.258234218263e-04,1.173768675895e-04,1.092405173869e-04,1.013977886149e-04,9.385050994039e-05,8.659943739166e-05,7.964534945001e-05,7.298896284966e-05,1.481688000000e-04
0.012,1.433143066367e-04,1.316558827561e-04,1.215737590689e-04,1.116497210202e-04,1.021688354991e-04,9.311205790755e-05,8.448199258475e-05,7.627990541237e-05,6.850695087642e-05,6.116402482281e-05,1.481688000000e-04
0.014,1.425130873893e-04,1.289986293823e-04,1.173973815486e-04,1.060668258796e-04,9.533635926289e-05,8.518483357384e-05,7.561575307431e-05,6.663087936811e-05,5.823153032884e-05,5.041832744564e-05,1.481688000000e-04
0.016,1.417141154902e-04,1.263685172825e-04,1.132943717044e-04,1.006284477500e-04,8.874367967922e-05,7.761714353564e-05,6.725324866844e-05,5.765400636868e-05,4.882032081784e-05,4.075157377459e-05,1.481688000000e-04
0.018,1.409173913520e-04,1.237655600815e-04,1.092648187865e-04,9.533486251918e-05,8.239137502891e-05,7.040990148484e-05,5.939555720261e-05,4.935000335467e-05,4.027262969642e-05,3.215990669436e-05,1.481688000000e-04
0.020,1.401229154379e-04,1.211897726899e-04,1.053088173592e-04,9.018634877965e-05,7.627998580874e-05,6.356384315618e-05,5.204324123690e-05,4.171840269783e-05,3.258540832071e-05,2.463523995568e-05,1.481688000000e-04
0.022,1.393306882616e-04,1.186411711833e-04,1.014264658313e-04,8.518318044302e-05,7.040999067805e-05,5.707946609830e-05,4.519622209962e-05,3.475732200003e-05,2.575287468525e-05,1.816469544343e-05,1.481688000000e-04
0.024,1.385407103854e-04,1.161197726826e-04,9.761786501491e-05,8.032561957404e-05,6.478178343751e-05,5.095697303471e-05,3.885366411968e-05,2.846325884722e-05,1.976619066641e-05,1.273014967685e-05,1.481688000000e-04
0.026,1.377529824199e-04,1.136255952347e-04,9.388311671208e-05,7.561390944719e-05,5.939565106231e-05,4.519621890675e-05,3.301386933070e-05,2.283091121127e-05,1.461319525677e-05,8.307891769726e-06,1.481688000000e-04
0.028,1.369675050229e-04,1.111586576955e-04,9.022232233033e-05,7.104826782966e-05,5.425175281212e-05,3.979666168884e-05,2.767418291271e-05,1.785302410412e-05,1.027819485788e-05,4.868394158224e-06,1.481688000000e-04
0.030,1.361842788986e-04,1.087189796135e-04,8.663558152693e-05,6.662888049443e-05,4.935010044079e-05,3.475731706318e-05,2.283090961201e-05,1.352026297950e-05,6.741811328895e-06,2.376196364051e-06,1.481688000000e-04
0.032,1.354033047962e-04,1.063065811155e-04,8.312299088254e-05,6.235589496729e-05,4.469053952784e-05,3.007671703598e-05,1.847924134966e-05,9.821114249212e-06,3.980888072670e-06,7.899009307404e-07,1.481688000000e-04
0.034,1.346245835095e-04,1.039214827926e-04,7.968464260422e-05,5.822941451175e-05,4.027273195381e-05,2.575287257089e-05,1.461319619162e-05,6.741813136120e-06,1.968453987974e-06,6.227947653574e-08,1.481688000000e-04
0.036,1.338481158758e-04,1.015637055885e-04,7.632062325845e-05,5.424949235571e-05,3.609613954032e-05,2.178324030740e-05,1.122556881269e-05,4.266298928090e-06,6.737446366894e-07,1.404855773843e-07,1.481688000000e-04
0.038,1.330739027748e-04,9.923327068824e-05,7.303101253440e-05,5.041612616375e-05,3.216000887493e-05,1.816469342274e-05,8.307892539740e-06,2.376197527678e-06,6.227947582869e-08,9.663699535159e-07,1.481688000000e-04
0.040,1.323019451280e-04,9.693019940915e-05,6.981588203772e-05,4.672925275891e-05,2.846335733924e-05,1.489349668555e-05,5.850413010189e-06,1.050831014853e-06,9.599349590740e-08,2.476892208961e-06,1.481688000000e-04
0.042,1.315322438974e-04,9.465451309243e-05,6.667529411543e-05,4.318874309771e-05,2.500496035738e-05,1.196528573800e-05,3.842073428425e-06,2.672537565009e-07,7.334210977170e-07,4.604622189375e-06,1.481688000000e-04
0.044,1.307648000849e-04,9.240623299647e-05,6.360930071208e-05,3.979439750206e-05,2.178333988017e-05,9.375050630908e-06,2.270511347278e-06,3.144096986679e-10,1.929929537336e-06,7.278322902706e-06,1.481688000000e-04
0.046,1.299996147314e-04,9.018538019143e-05,6.061794225759e-05,3.654594115146e-05,1.879675411804e-05,7.117123622854e-06,1.122066844102e-06,2.227429781629e-07,3.637998782299e-06,1.042360591091e-05,1.481688000000e-04
0.048,1.292366889154e-04,8.799197545519e-05,5.770124658731e-05,3.344301983905e-05,1.604318853410e-05,5.185171240841e-06,3.818019020897e-07,9.052618952348e-07,5.807544157730e-06,1.396364916848e-05,1.481688000000e-04
0.050,1.284760237528e-04,8.582603917066e-05,5.485922789439e-05,3.048519599441e-05,1.352034810594e-05,3.572190585110e-06,3.353074782588e-08,2.016719924687e-06,8.386277727045e-06,1.781996647231e-05,1.481688000000e-04
0.052,1.277176203955e-04,8.368759122454e-05,5.209188571508e-05,2.767194497618e-05,1.122565086250e-05,2.270509846045e-06,5.986083631489e-08,3.524247494654e-06,1.132010395407e-05,2.191321701288e-05,1.481688000000e-04
0.054,1.269614800308e-04,8.157665090739e-05,4.939920394719e-05,2.500265163728e-05,9.156222699751e-06,1.271792985673e-06,4.422441154118e-07,5.393431912251e-06,1.455354483800e-05,2.616404299078e-05,1.481688000000e-04
0.056,1.262076038801e-04,7.949323681521e-05,4.678114990204e-05,2.247660716497e-05,7.308893476001e-06,5.670485206790e-07,1.161038143240e-06,7.588510748967e-06,1.803018940489e-05,3.049392289647e-05,1.481688000000e-04
0.058,1.254559931984e-04,7.743736675234e-05,4.423767339040e-05,2.009300619805e-05,5.680194385002e-06,1.466423282060e-07,2.195576575394e-06,1.007258154142e-05,2.169316218399e-05,3.482602785129e-05,1.481688000000e-04
