x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03,5.293878000000e-03
0.002,5.264769915412e-03,5.193126559794e-03,5.128982957985e-03,5.063594430274e-03,4.998749051207e-03,4.934314078379e-03,4.870297753080e-03,4.806699732926e-03,4.743520092294e-03,4.680758992054e-03,5.293878000000e-03
0.004,5.235742077369e-03,5.093343134658e-03,4.966697165828e-03,4.838432886822e-03,4.712087996181e-03,4.587402324896e-03,4.464392896090e-03,4.343060106974e-03,4.223405281091e-03,4.105430004896e-03,5.293878000000e-03
0.006,5.206794488968e-03,4.994527842101e-03,4.807021515594e-03,4.618396680951e-03,4.433903574343e-03,4.253161557041e-03,4.076198812242e-03,3.903019509633e-03,3.733629380497e-03,3.568034639887e-03,5.293878000000e-03
0.008,5.177927155334e-03,4.896680872541e-03,4.649957424789e-03,4.403490962298e-03,4.164209066366e-03,3.931619665583e-03,3.705766546278e-03,3.486662530939e-03,3.274322355411e-03,3.068760912234e-03,5.293878000000e-03
0.010,5.149140083580e-03,4.799802484701e-03,4.495506778019e-03,4.193722410123e-03,3.903021227837e-03,3.622810756362e-03,3.353156331577e-03,3.094084965391e-03,2.845624471925e-03,2.607800459156e-03,5.293878000000e-03
0.012,5.120433282778e-03,4.703893001045e-03,4.343671869599e-03,3.989098931861e-03,3.650359256025e-03,3.326772403445e-03,3.018431423758e-03,2.725381545269e-03,2.447664016256e-03,2.185310844125e-03,5.293878000000e-03
0.014,5.091806763921e-03,4.608952803268e-03,4.194455347130e-03,3.789629369031e-03,3.406243790203e-03,3.043543015738e-03,2.701652248338e-03,2.380634427811e-03,2.080536640063e-03,1.801381090089e-03,5.293878000000e-03
0.016,5.063260539891e-03,4.514982327823e-03,4.047860156050e-03,3.595323210539e-03,3.170695946062e-03,2.773159319547e-03,2.402870871292e-03,2.059902462104e-03,1.744286397207e-03,1.456000587645e-03,5.293878000000e-03
0.018,5.034794625424e-03,4.421982061494e-03,3.903889485153e-03,3.406190313503e-03,2.943736384821e-03,2.515653959894e-03,2.122125802278e-03,1.763211263500e-03,1.438888540314e-03,1.149031527092e-03,5.293878000000e-03
0.020,5.006409037077e-03,4.329952537024e-03,3.762546713098e-03,3.222240631664e-03,2.725384417726e-03,2.271053223620e-03,1.859437140833e-03,1.490544124250e-03,1.164234145313e-03,8.801849972875e-04,5.293878000000e-03
0.022,4.978103793193e-03,4.238894328777e-03,3.623835355905e-03,3.043483951529e-03,2.515657146651e-03,2.039374887490e-03,1.614802076121e-03,1.241833788725e-03,9.201166286897e-04,6.490008799740e-04,5.293878000000e-03
0.024,4.949878913870e-03,4.148808048453e-03,3.487759015457e-03,2.869929636329e-03,2.314568641581e-03,1.820626194550e-03,1.388190750702e-03,1.016955120238e-03,7.062202158128e-04,4.548316468174e-04,5.293878000000e-03
0.026,4.921734420924e-03,4.059694340847e-03,3.354321329008e-03,2.701586377945e-03,2.122129155763e-03,1.614801962044e-03,1.179542498452e-03,8.157186842393e-04,5.221104097457e-04,2.968301387751e-04,5.293878000000e-03
0.028,4.893670337857e-03,3.971553879653e-03,3.223525919717e-03,2.538461956914e-03,1.938344379340e-03,1.421882824103e-03,9.887624661167e-04,6.378652694647e-04,3.672264986814e-04,1.739413744969e-04,5.293878000000e-03
0.030,4.865686689823e-03,3.884387363320e-03,3.095376348210e-03,2.380563010661e-03,1.763214732260e-03,1.241833612338e-03,8.157186270998e-04,4.830613647502e-04,2.408761269187e-04,8.489839733690e-05,5.293878000000e-03
0.032,4.837783503597e-03,3.798195510947e-03,2.969876065186e-03,2.227894810093e-03,1.596734697282e-03,1.074601877244e-03,6.602391950104e-04,3.508956046036e-04,1.422319394391e-04,2.822213016118e-05,5.293878000000e-03
0.034,4.809960807540e-03,3.712979058231e-03,2.847028365083e-03,2.080461044678e-03,1.438892193837e-03,9.201165531465e-04,5.221104431467e-04,2.408761914885e-04,7.033029396841e-05,2.225164479189e-06,5.293878000000e-03
0.036,4.782218631563e-03,3.628738753458e-03,2.726836340810e-03,1.938263616180e-03,1.289667993514e-03,7.782867690908e-04,4.010749346353e-04,1.524292971047e-04,2.407201725186e-05,5.019366475480e-06,5.293878000000e-03
0.038,4.754557007102e-03,3.545475353546e-03,2.609302839556e-03,1.801302441158e-03,1.149035177870e-03,6.490008077773e-04,2.968301662866e-04,8.489843891176e-05,2.225164453927e-06,3.452713821519e-05,5.293878000000e-03
0.040,4.726975967075e-03,3.463189620134e-03,2.494430419697e-03,1.669575262382e-03,1.016958639230e-03,5.321252142603e-04,2.090276274462e-04,3.754482179278e-05,3.429722425553e-06,8.849612856008e-05,5.293878000000e-03
0.042,4.699475545858e-03,3.381882315715e-03,2.382221308813e-03,1.543077469296e-03,8.933946250954e-04,4.275040557265e-04,1.372722732257e-04,9.548628199440e-06,2.620417938149e-05,1.645171460297e-04,5.293878000000e-03
0.044,4.672055779247e-03,3.301554199824e-03,2.272677362812e-03,1.421801927662e-03,7.782903266960e-04,3.349583332243e-04,8.112240950932e-05,1.123344851794e-08,6.895386558611e-05,2.600449857968e-04,5.293878000000e-03
0.046,4.644716704427e-03,3.222206025270e-03,2.165800026205e-03,1.305738818503e-03,6.715835121624e-04,2.542855457445e-04,4.008998507458e-05,7.958316135051e-06,1.299809522493e-04,3.724218459788e-04,5.293878000000e-03
0.048,4.617458359938e-03,3.143838534420e-03,2.061590293511e-03,1.194875486469e-03,5.732022047187e-04,1.852594065561e-04,1.364128406136e-05,3.234382698262e-05,2.074959792523e-04,4.989029750712e-04,5.293878000000e-03
0.050,4.590280785647e-03,3.066452455528e-03,1.960048671833e-03,1.089196297739e-03,4.830644062068e-04,1.276297111829e-04,1.198009893034e-06,7.205477294453e-05,2.996307668085e-04,6.366841633900e-04,5.293878000000e-03
0.052,4.563184022711e-03,2.990048499121e-03,1.861175144603e-03,9.886825075631e-04,4.010778661680e-04,8.112235587223e-05,2.138749618199e-06,1.259167670826e-04,4.044525519554e-04,7.829306672775e-04,5.293878000000e-03
0.054,4.536168113546e-03,2.914627354425e-03,1.764969136509e-03,8.933121375369e-04,3.271398966133e-04,4.543950485803e-05,1.580080552187e-05,1.927002887569e-04,5.199791780719e-04,9.348071360500e-04,5.293878000000e-03
0.056,4.509233101796e-03,2.840189685850e-03,1.671429479628e-03,8.030598627056e-04,2.611372325142e-04,2.025990416711e-05,4.148237877109e-05,2.711275930339e-04,6.441951546236e-04,1.089508098569e-03,5.293878000000e-03
0.058,4.482379032300e-03,2.766736129523e-03,1.580554380764e-03,7.178969085645e-04,2.029459379470e-04,5.239339153441e-06,7.844508783086e-05,3.598802030207e-04,7.750683952106e-04,1.244288559193e-03,5.293878000000e-03
0.060,4.455605951060e-03,2.694267289869e-03,1.492341390013e-03,6.377909580292e-04,1.524313577155e-04,1.123238575487e-08,1.259168024302e-04,4.576069141328e-04,9.105674348703e-04,1.396494251849e-03,5.293878000000e-03
0.062,4.428913905210e-03,2.622783736243e-03,1.406787370557e-03,5.627060684301e-04,1.094481141694e-04,4.187377954329e-06,1.830947719927e-04,5.629322351377e-04,1.048678922584e-03,1.543591106202e-03,5.293878000000e-03
0.064,4.402302942985e-03,2.552285999625e-03,1.323888469715e-03,4.926025985740e-04,7.384014882994e-05,1.735880771169e-05,2.491490256882e-04,6.744651872587e-04,1.187425182136e-03,1.683193491238e-03,5.293878000000e-03
