x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03,1.300109000000e-03
0.002,1.292960425223e-03,1.275365729722e-03,1.259612878220e-03,1.243554288774e-03,1.227629089717e-03,1.211804681205e-03,1.196083087192e-03,1.180464223595e-03,1.164948108678e-03,1.149534781950e-03,1.300109000000e-03
0.004,1.285831557974e-03,1.250860191613e-03,1.219757554966e-03,1.188257481954e-03,1.157228786275e-03,1.126607573733e-03,1.096398024991e-03,1.066600237599e-03,1.037214536601e-03,1.008241311612e-03,1.300109000000e-03
0.006,1.278722399016e-03,1.226592414534e-03,1.180543249319e-03,1.134219392754e-03,1.088910235962e-03,1.044522298920e-03,1.001062503062e-03,9.585318724100e-04,9.169318144939e-04,8.762638556516e-04,1.300109000000e-03
0.008,1.271632949606e-03,1.202562445247e-03,1.141970309400e-03,1.081441285859e-03,1.022676700344e-03,9.655557063842e-04,9.100890573441e-04,8.562799022638e-04,8.041318600789e-04,7.536485882076e-04,1.300109000000e-03
0.010,1.264563211491e-03,1.178770347292e-03,1.104039198044e-03,1.029924801611e-03,9.585322943790e-04,8.897161720847e-04,8.234924803879e-04,7.598678530692e-04,6.988491209223e-04,6.404425729405e-04,1.300109000000e-03
0.012,1.257513186900e-03,1.155216199863e-03,1.066750478706e-03,9.796718819745e-04,8.964817326715e-04,8.170129237338e-04,7.412883069673e-04,6.693189898668e-04,6.011151024845e-04,5.366845054314e-04,1.300109000000e-03
0.014,1.250482878532e-03,1.131900096697e-03,1.030104801603e-03,9.306846983141e-04,8.365300839644e-04,7.474553940698e-04,6.634913768195e-04,5.846534894282e-04,5.109532955946e-04,4.423962485828e-04,1.300109000000e-03
0.016,1.243472289550e-03,1.108822144984e-03,9.941028900972e-04,8.829655809845e-04,7.786825340022e-04,6.810526026058e-04,5.901144766852e-04,5.058858043392e-04,4.283745193196e-04,3.575751968600e-04,1.300109000000e-03
0.018,1.236481423574e-03,1.085982464270e-03,9.587455273154e-04,8.365169507680e-04,7.229441569174e-04,6.178125665427e-04,5.211670640454e-04,4.330222254040e-04,3.533726960196e-04,2.821875059560e-04,1.300109000000e-03
0.020,1.229510284669e-03,1.063381185391e-03,9.240335430131e-04,7.913412521770e-04,6.693196953057e-04,5.577417415943e-04,4.566540750904e-04,3.660586494125e-04,2.859210753305e-04,2.161622229750e-04,1.300109000000e-03
0.022,1.222558877342e-03,1.041018449404e-03,8.899678006803e-04,7.474408886527e-04,6.178133491696e-04,5.008444935074e-04,3.965748195147e-04,3.049785592387e-04,2.259689229727e-04,1.593863487338e-04,1.300109000000e-03
0.024,1.215627206527e-03,1.018894406533e-03,8.565491848936e-04,7.048181596853e-04,5.684285739181e-04,4.471226010819e-04,3.409219647117e-04,2.497512229065e-04,1.734386887193e-04,1.117008585223e-04,1.300109000000e-03
0.026,1.208715277582e-03,9.970092151319e-04,8.237785889164e-04,6.634751998901e-04,5.211678876185e-04,3.965747914989e-04,2.896806118540e-04,2.003301177034e-04,1.282236656576e-04,7.289770087122e-05,1.300109000000e-03
0.028,1.201823096278e-03,9.753630406523e-04,7.916569025501e-04,6.234139200679e-04,4.760326876968e-04,3.491963087480e-04,2.428274661903e-04,1.566515846452e-04,9.018615011040e-05,4.271778580008e-05,1.300109000000e-03
0.030,1.194950668795e-03,9.539560546237e-04,7.601850002389e-04,5.846359502860e-04,4.330230772873e-04,3.049785159203e-04,2.003301036707e-04,1.186337176384e-04,5.915610833724e-05,2.084996489592e-05,1.300109000000e-03
0.032,1.188098001707e-03,9.327884336477e-04,7.293637294310e-04,5.471425850113e-04,3.921377014257e-04,2.639085320859e-04,1.621463357459e-04,8.617549055826e-05,3.493035248494e-05,6.930995656062e-06,1.300109000000e-03
0.034,1.181265101978e-03,9.118603584022e-04,6.991938991983e-04,5.109347303309e-04,3.533735932783e-04,2.259689044203e-04,1.282236738605e-04,5.915612419476e-05,1.727222428643e-05,5.464720505222e-07,1.300109000000e-03
0.036,1.174451976956e-03,8.911720126567e-04,6.696762691196e-04,4.760128532936e-04,3.167260305923e-04,1.911373161746e-04,9.849889479769e-05,3.743469362714e-05,5.911780792324e-06,1.232692466481e-06,1.300109000000e-03
0.038,1.167658634360e-03,8.707235823008e-04,6.408115384283e-04,4.423769334072e-04,2.821884025407e-04,1.593863310032e-04,7.289770762771e-05,2.084997510618e-05,5.464720443181e-07,8.479425316907e-06,1.300109000000e-03
0.040,1.160885082274e-03,8.505152543831e-04,6.126003354294e-04,4.100264163247e-04,2.497520871260e-04,1.306831740714e-04,5.133452257334e-05,9.220529962382e-06,8.422961377204e-07,2.173352185413e-05,1.300109000000e-03
0.042,1.154131329141e-03,8.305472161622e-04,5.850432071875e-04,3.789601697525e-04,2.194063392919e-04,1.049895502667e-04,3.371232164232e-05,2.345021449256e-06,6.435412650516e-06,4.040331534038e-05,1.300109000000e-03
0.044,1.147397383752e-03,8.108196541702e-04,5.581406094905e-04,3.491764416125e-04,1.911381898771e-04,8.226149972666e-05,1.992263038641e-05,2.758791857162e-09,1.693419100956e-05,6.386373589254e-05,1.300109000000e-03
0.046,1.140683255238e-03,7.913327532875e-04,5.318928970915e-04,3.206728204891e-04,1.649323555273e-04,6.244929078311e-05,9.845589642475e-06,1.954461064653e-06,3.192166609203e-05,9.146206122499e-05,1.300109000000e-03
0.048,1.133988953066e-03,7.720866958298e-04,5.063003142320e-04,2.934461983895e-04,1.407711596630e-04,4.549735029749e-05,3.350125594079e-06,7.943231890600e-06,5.095836928801e-05,1.225242153327e-04,1.300109000000e-03
0.050,1.127314487026e-03,7.530816606474e-04,4.813629854500e-04,2.674927358465e-04,1.186344645814e-04,3.134423123773e-05,2.942159687137e-07,1.769573435545e-05,7.358549944004e-05,1.563615200390e-04,1.300109000000e-03
0.052,1.120659867225e-03,7.343178222361e-04,4.570809066764e-04,2.428078293881e-04,9.849961474478e-05,1.992261721383e-05,5.252496614707e-07,3.092355398725e-05,9.932839458526e-05,1.922777984123e-04,1.300109000000e-03
0.054,1.114025104080e-03,7.157953498615e-04,4.334539366221e-04,2.193860813984e-04,8.034139129122e-05,1.115936355569e-05,3.880476555415e-06,4.732473617931e-05,1.277002623075e-04,2.295767244434e-04,1.300109000000e-03
0.056,1.107410208309e-03,6.975144066942e-04,4.104817884601e-04,1.972212723909e-04,6.413197777258e-05,4.975574379839e-06,1.018754379714e-05,6.658548305263e-05,1.582061238061e-04,2.675693101584e-04,1.300109000000e-03
0.058,1.100815190925e-03,6.794751489586e-04,3.881640218043e-04,1.763063357140e-04,4.984093710478e-05,1.286714954036e-06,1.926511428762e-05,8.838199347796e-05,1.903469245473e-04,3.055814195951e-04,1.300109000000e-03
0.060,1.094240063225e-03,6.616777250937e-04,3.665000349891e-04,1.566333347033e-04,3.743519968690e-05,2.758530856092e-09,3.092356266818e-05,1.123824288218e-04,2.236237626144e-04,3.429611988182e-04,1.300109000000e-03
0.062,1.087684836785e-03,6.441222749266e-04,3.454890576526e-04,1.381934422970e-04,2.687906262001e-05,1.028366684088e-06,4.496574362322e-05,1.382489859594e-04,2.575421846446e-04,3.790863124336e-04,1.300109000000e-03
0.064,1.081149523450e-03,6.268089288583e-04,3.251301436250e-04,1.209769231232e-04,1.813419992964e-05,4.263102046408e-06,6.118782688955e-05,1.656400582223e-04,2.916164985521e-04,4.133708798541e-04,1.300109000000e-03
0.066,1.074634135328e-03,6.097378070634e-04,3.054221641270e-04,1.049731180670e-04,1.115968366835e-05,9.601672213938e-06,7.938019296049e-05,1.942124642288e-04,3.253740521016e-04,4.452720088582e-04,1.300109000000e-03
0.068,1.068138684781e-03,5.929090187009e-04,2.863638012788e-04,9.017043132392e-05,5.912015747179e-06,1.693420345389e-05,9.932838310478e-05,2.236237239909e-04,3.583594268250e-04,4.742958297048e-04,1.300109000000e-03
0.070,1.061663184420e-03,5.763226611399e-04,2.679535419228e-04,7.655631993829e-05,2.345170317308e-06,2.614654272640e-05,1.208140969889e-04,2.535343613097e-04,3.901384977562e-04,5.000029401569e-04,1.300109000000e-03
0.072,1.055207647092e-03,5.599788191965e-04,2.501896717636e-04,6.411728582710e-05,4.106464951927e-07,3.712058641178e-05,1.436162308997e-04,2.836102112638e-04,4.203023110015e-04,5.220131801192e-04,1.300109000000e-03
0.074,1.048772085877e-03,5.438775643855e-04,2.330702698249e-04,5.283887028244e-05,5.753119717522e-08,4.973463402009e-05,1.675119493153e-04,3.135247115722e-04,4.484707332365e-04,5.400096641089e-04,1.300109000000e-03
0.076,1.042356514080e-03,5.280189541838e-04,2.165932032281e-04,4.270565094448e-05,1.232571822125e-06,6.386376505249e-05,1.922777823664e-04,3.429611567672e-04,4.742958298143e-04,5.537420103105e-04,1.300109000000e-03
0.078,1.035960945221e-03,5.124030313080e-04,2.007561222918e-04,3.370124123205e-05,3.880258493789e-06,7.938023708361e-05,2.176907415722e-04,3.716148944538e-04,4.974649312535e-04,5.630287163755e-04,1.300109000000e-03
0.080,1.029585393029e-03,4.970298230054e-04,1.855564559567e-04,2.580829221522e-05,7.942915548141e-06,9.615390304145e-05,2.435294461242e-04,3.991954434473e-04,5.177033514123e-04,5.677586442566e-04,1.300109000000e-03
0.082,1.023229871433e-03,4.818993403578e-04,1.709914075341e-04,1.900849690985e-05,1.336080192522e-05,1.140526455776e-04,2.695752519295e-04,4.254285142791e-04,5.347767246130e-04,5.678915890372e-04,1.300109000000e-03
0.084,1.016894394557e-03,4.670115775998e-04,1.570579507829e-04,1.328259697098e-05,2.007222009992e-05,1.329428263453e-04,2.956133756128e-04,4.500579134203e-04,5.484929333114e-04,5.634579197569e-04,1.300109000000e-03
0.086,1.010578976712e-03,4.523665114496e-04,1.437528263132e-04,8.610391757760e-06,2.801363316195e-05,1.526897479375e-04,3.214340057148e-04,4.728473136085e-04,5.587036025618e-04,5.545572934527e-04,1.300109000000e-03
0.088,1.004283632384e-03,4.379641004546e-04,1.310725383188e-04,4.970749739345e-06,3.711978963191e-05,1.731581261810e-04,3.468333934142e-04,4.935818738409e-04,5.653051424567e-04,5.413564568554e-04,1.300109000000e-03
0.090,9.980083762334e-04,4.238042843498e-04,1.190133516396e-04,2.341622207040e-06,4.732385557835e-05,1.942125704374e-04,3.716149152365e-04,5.120696939304e-04,5.682393248692e-04,5.240861631940e-04,1.300109000000e-03
0.092,9.917532230833e-04,4.098869834314e-04,1.075712891536e-04,7.000592546122e-07,5.855755357917e-05,2.157180695277e-04,3.955901004027e-04,5.281430899845e-04,5.674933861309e-04,5.030372442095e-04,1.300109000000e-03
0.094,9.855181879127e-04,3.962120979428e-04,9.674212949885e-05,2.222798483009e-08,7.075130805147e-05,2.375404808694e-04,4.185796157063e-04,5.416596787493e-04,5.630996526838e-04,4.785558895567e-04,1.300109000000e-03
0.096,9.793032858499e-04,3.827795074756e-04,8.652140512630e-05,2.834328966868e-07,8.383439645466e-05,2.595470204086e-04,4.404142010889e-04,5.525032604559e-04,5.551346921894e-04,4.510381971219e-04,1.300109000000e-03
0.098,9.731085321645e-04,3.695890703847e-04,7.690440068206e-05,1.458138404174e-06,9.773510585512e-05,2.816067509188e-04,4.609355494123e-04,5.605844915900e-04,5.437179979963e-04,4.209240682405e-04,1.300109000000e-03
0.100,9.669339422604e-04,3.566406232174e-04,6.788615171978e-05,3.519993433899e-06,1.123808943244e-04,3.035910662551e-04,4.799971242983e-04,5.658413408677e-04,5.290102202029e-04,3.886905312071e-04,1.300109000000e-03
0.102,9.607795316684e-04,3.439339801564e-04,5.946144374185e-05,6.441858045352e-06,1.276985566289e-04,3.253741691675e-04,4.974649103143e-04,5.682393236251e-04,5.112109617356e-04,3.548445847023e-04,1.300109000000e-03
0.104,9.546453160390e-04,3.314689324781e-04,5.162481156881e-05,1.019583201421e-05,1.436143936573e-04,3.468335403102e-04,5.132180902377e-04,5.677715117922e-04,4.905561628482e-04,3.199156596955e-04,1.300109000000e-03
0.106,9.485313111349e-04,3.192452480241e-04,4.437053903581e-05,1.475328531572e-05,1.600543850177e-04,3.678503961271e-04,5.271496446117e-04,5.644583186194e-04,4.673151021618e-04,2.844478039185e-04,1.300109000000e-03
0.108,9.424375328243e-04,3.072626706881e-04,3.769265901468e-05,2.008489044190e-05,1.769443642332e-04,3.883101333444e-04,5.391668693258e-04,5.583470593229e-04,4.417870467682e-04,2.489916970692e-04,1.300109000000e-03
0.110,9.363639970730e-04,2.955209199173e-04,3.158495376014e-05,2.616065648327e-05,1.942101959489e-04,4.081027578682e-04,5.491918074971e-04,5.495112908098e-04,4.142975879532e-04,2.140966074260e-04,1.300109000000e-03
0.112,9.303107199379e-04,2.840196902274e-04,2.604095557811e-05,3.294996490257e-05,2.117779545662e-04,4.271232959565e-04,5.571615925005e-04,5.380499356098e-04,3.851947027153e-04,1.803024015138e-04,1.300109000000e-03
0.114,9.242777175596e-04,2.727586507339e-04,2.105394781419e-05,4.042160692515e-05,2.295741037082e-04,4.452721856219e-04,5.630286995856e-04,5.240861970614e-04,3.548445844219e-04,1.481317178240e-04,1.300109000000e-03
0.116,9.182650061550e-04,2.617374446963e-04,1.661696615979e-05,4.854382246774e-05,2.475256759237e-04,4.624556463127e-04,5.667611041302e-04,5.077662746620e-04,3.236272886160e-04,1.180824133863e-04,1.300109000000e-03
0.118,9.122726020108e-04,2.509556890790e-04,1.272280027346e-05,5.728434052489e-05,2.655604520335e-04,4.785860250267e-04,5.683423451982e-04,4.892578902744e-04,2.919322421425e-04,9.062038822757e-05,1.300109000000e-03
0.120,9.063005214759e-04,2.404129741251e-04,9.363995714399e-06,6.661042092922e-05,2.836071395262e-04,4.935821171203e-04,5.677714937073e-04,4.687486375705e-04,2.601536653616e-04,6.617288750461e-05,1.300109000000e-03
0.122,9.003487809548e-04,2.301088629468e-04,6.532856185136e-06,7.648889740005e-05,3.015955494110e-04,5.073694601995e-04,5.650630251414e-04,4.464441686740e-04,2.286859582596e-04,4.512237442079e-05,1.300109000000e-03
0.124,8.944173969003e-04,2.200428911294e-04,4.221446079968e-06,8.688622179175e-05,3.194567709442e-04,5.198805996056e-04,5.602465973872e-04,4.225662334215e-04,1.979191017272e-04,2.780105904039e-05,1.300109000000e-03
0.126,8.885063858068e-04,2.102145663513e-04,2.421593335558e-06,9.776850945185e-05,3.371233436497e-04,5.310553241426e-04,5.533667349020e-04,3.973505879834e-04,1.682341251509e-04,1.448615889995e-05,1.300109000000e-03
0.128,8.826157642032e-04,2.006233680183e-04,1.124892579810e-06,1.091015855964e-04,3.545294260629e-04,5.408408708392e-04,5.444824210509e-04,3.710447907586e-04,1.399986907624e-04,5.395957022198e-06,1.300109000000e-03
0.130,8.767455486458e-04,1.912687469134e-04,3.227085749185e-07,1.208510326084e-04,3.716109606408e-04,5.491920976796e-04,5.336666010632e-04,3.439059044758e-04,1.135628439065e-04,6.867117069741e-07,1.300109000000e-03
0.132,8.708957557118e-04,1.821501248613e-04,6.179950217597e-09,1.329822381642e-04,3.883058342885e-04,5.560716233973e-04,5.210055986569e-04,3.161981242792e-04,8.925497655450e-05,4.504604657830e-07,1.300109000000e-03
0.134,8.650664019925e-04,1.732668944086e-04,1.662232202330e-07,1.454604440889e-04,4.045540339710e-04,5.614499335751e-04,5.065984499589e-04,2.881903522529e-04,6.737804900565e-05,4.713747852610e-06,1.300109000000e-03
0.136,8.592575040858e-04,1.646184185188e-04,7.935370830827e-07,1.582507958452e-04,4.202977968923e-04,5.653054524638e-04,4.905561589023e-04,2.601537393300e-04,4.820611183393e-05,1.343729390267e-05,1.300109000000e-03
0.138,8.534690785903e-04,1.562040302824e-04,1.878606994140e-06,1.713183925523e-04,4.354817547407e-04,5.676245800882e-04,4.730008788109e-04,2.323592158396e-04,3.198116676169e-05,2.651660660812e-05,1.300109000000e-03
0.140,8.477011420978e-04,1.480230326423e-04,3.411710009631e-06,1.846283374378e-04,4.500530715210e-04,5.684016943793e-04,4.540650253748e-04,2.050750320633e-04,1.891040133280e-05,4.378352852434e-05,1.300109000000e-03
0.142,8.419537111872e-04,1.400746981348e-04,5.382919894616e-06,1.981457886185e-04,4.639615745109e-04,5.676391182378e-04,4.338903266832e-04,1.785643301050e-04,9.163828045858e-06,6.500869440199e-05,1.300109000000e-03
0.144,8.362268024173e-04,1.323582686453e-04,7.782112489558e-06,2.118360101101e-04,4.771598779035e-04,5.653470516005e-04,4.126268164067e-04,1.530827681152e-04,2.872354047924e-06,8.990486386603e-05,1.300109000000e-03
0.146,8.305204323201e-04,1.248729551797e-04,1.059897132947e-05,2.256644229621e-04,4.896034987203e-04,5.615434687499e-04,3.904317766005e-04,1.288762174682e-04,1.263026296592e-07,1.181310807969e-04,1.300109000000e-03
0.148,8.248346173949e-04,1.176179376507e-04,1.382299350944e-05,2.395966564161e-04,5.012509646044e-04,5.562539812725e-04,3.674686369459e-04,1.061785528607e-04,9.744026604697e-07,1.492975993869e-04,1.300109000000e-03
0.150,8.191693741007e-04,1.105923646798e-04,1.744349578998e-05,2.535985989853e-04,5.120639131264e-04,5.495116672373e-04,3.439058375385e-04,8.520955449448e-05,5.423256814383e-06,1.829715060114e-04,1.300109000000e-03
