x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03,9.938079000000e-03
0.002,9.883435042551e-03,9.748940570265e-03,9.628525218396e-03,9.505772794919e-03,9.384040012268e-03,9.263077676090e-03,9.142901257573e-03,9.023510113966e-03,8.904904384896e-03,8.787084372362e-03,9.938079000000e-03
0.004,9.828941730149e-03,9.561619373613e-03,9.323869723306e-03,9.083082055431e-03,8.845897612487e-03,8.611827985004e-03,8.380905130111e-03,8.153129793481e-03,7.928504459774e-03,7.707032107206e-03,9.938079000000e-03
0.006,9.774599068610e-03,9.376115630640e-03,9.024114189385e-03,8.670012997774e-03,8.323668206974e-03,7.984365252398e-03,7.652157041731e-03,7.327051402635e-03,7.009059094317e-03,6.698191784158e-03,9.938079000000e-03
0.008,9.720407067552e-03,9.192429698815e-03,8.729261277686e-03,8.266575289251e-03,7.817376727243e-03,7.380741836990e-03,6.956752817588e-03,6.545433740409e-03,6.146812268726e-03,5.760916359971e-03,9.938079000000e-03
0.010,9.666365740331e-03,9.010562063831e-03,8.439314526136e-03,7.872781468683e-03,7.327054628181e-03,6.801021764910e-03,6.294805532460e-03,5.808456639683e-03,5.342027301408e-03,4.895565590921e-03,9.938079000000e-03
0.012,9.612475103975e-03,8.830513331046e-03,8.154278241801e-03,7.488646380527e-03,6.852737948393e-03,6.245275573115e-03,5.666433934706e-03,5.116297939247e-03,4.594945021213e-03,4.102435267392e-03,9.938079000000e-03
0.014,9.558735179123e-03,8.652284217006e-03,7.874157394967e-03,7.114186622765e-03,6.394465433525e-03,5.713575365790e-03,5.071751459801e-03,4.469111871053e-03,3.905744992866e-03,3.381692510182e-03,9.938079000000e-03
0.016,9.505145989956e-03,8.475875541050e-03,7.598957515035e-03,6.749420008711e-03,5.952276723593e-03,5.205990088409e-03,4.510855850041e-03,3.867008911177e-03,3.274509917696e-03,2.733317402491e-03,9.938079000000e-03
0.018,9.451707564141e-03,8.301288217014e-03,7.328684588259e-03,6.394365042909e-03,5.526210605444e-03,4.722581024740e-03,3.983819398744e-03,3.310037146747e-03,2.701193338009e-03,2.157051237246e-03,9.938079000000e-03
0.020,9.398419932757e-03,8.128523245000e-03,7.063344957318e-03,6.049040411299e-03,5.116303331647e-03,4.263397522486e-03,3.490679838322e-03,2.798165212682e-03,2.185590773081e-03,1.652351648009e-03,9.938079000000e-03
0.022,9.345283130241e-03,7.957581703250e-03,6.802945222760e-03,5.713464485870e-03,4.722587007168e-03,3.828472953569e-03,3.031431892055e-03,2.331266851488e-03,1.727314408290e-03,1.218354865044e-03,9.938079000000e-03
0.024,9.292297194321e-03,7.788464740095e-03,6.547492146319e-03,5.387654844007e-03,4.345088045276e-03,3.417820915199e-03,2.606019509241e-03,1.909107146856e-03,1.325771446970e-03,8.538452978651e-04,9.938079000000e-03
0.026,9.239462165951e-03,7.621173565992e-03,6.296992556131e-03,5.071627802783e-03,3.983825694165e-03,3.031431677901e-03,2.214328802718e-03,1.531330477534e-03,9.801462177208e-04,5.572325937106e-04,9.938079000000e-03
0.028,9.186778089253e-03,7.455709445656e-03,6.051453253872e-03,4.765397968428e-03,3.638810635811e-03,2.669268886567e-03,1.856181706587e-03,1.197450232003e-03,6.893861087824e-04,3.265362596415e-04,9.938079000000e-03
0.030,9.134245011447e-03,7.292073690266e-03,5.810880923822e-03,4.468977801232e-03,3.310043658574e-03,2.331266520360e-03,1.531330370267e-03,9.068403171994e-04,4.521913762523e-04,1.593778662273e-04,9.938079000000e-03
0.032,9.081862982797e-03,7.130267649772e-03,5.575282043905e-03,4.182377196148e-03,2.997514405059e-03,2.017326116998e-03,1.239452303002e-03,6.587284858668e-04,2.670088450224e-04,5.298077498010e-05,9.938079000000e-03
0.034,9.029632056544e-03,6.970292705280e-03,5.344662798697e-03,3.905603079336e-03,2.701200196686e-03,1.727314266475e-03,9.801462804238e-04,4.521914974678e-04,1.320294909613e-04,4.177251606889e-06,9.938079000000e-03
0.036,8.977552288842e-03,6.812150261533e-03,5.119028994442e-03,3.638659020934e-03,2.421064936388e-03,1.461060378777e-03,7.529290220375e-04,2.861521169435e-04,4.518986065383e-05,9.422744642637e-06,9.938079000000e-03
0.038,8.925623738700e-03,6.655841739476e-03,4.898385976108e-03,3.381544864299e-03,2.157058090771e-03,1.218354729511e-03,5.572326453575e-04,1.593779442748e-04,4.177251559465e-06,6.481702586015e-05,9.938079000000e-03
0.040,8.873846467919e-03,6.501368568915e-03,4.682738546479e-03,3.134256371982e-03,1.909113752980e-03,9.989467866866e-04,3.924028991116e-04,7.048205587994e-05,6.438541351579e-06,1.661318067444e-04,9.938079000000e-03
0.042,8.822220541030e-03,6.348732181263e-03,4.472090887335e-03,2.896784888693e-03,1.677149787429e-03,8.025438211139e-04,2.576981743491e-04,1.792542657531e-05,4.919252102587e-05,3.088443659067e-04,9.938079000000e-03
0.044,8.770746025232e-03,6.197934002377e-03,4.266446482737e-03,2.669117021484e-03,1.461067057390e-03,6.288098020566e-04,1.522892885658e-04,2.108830215084e-08,1.294455526837e-04,4.881766471389e-04,9.938079000000e-03
0.046,8.719422990332e-03,6.048975445489e-03,4.065808044429e-03,2.451234337408e-03,1.260748736364e-03,4.773645788903e-04,7.526003409599e-05,1.493996923562e-05,2.440103402362e-04,6.991392182938e-04,9.938079000000e-03
0.048,8.668251508682e-03,5.901857904226e-03,3.870177439401e-03,2.243113078861e-03,1.076059703958e-03,3.477833485863e-04,2.560847806905e-05,6.071834441889e-05,3.895275701464e-04,9.365794186404e-04,9.938079000000e-03
0.050,8.617231655120e-03,5.756582745727e-03,3.679555619627e-03,2.044723896818e-03,9.068460268580e-04,2.395964078664e-04,2.248997230339e-06,1.352668168495e-04,5.624901502025e-04,1.195232967934e-03,9.938079000000e-03
0.052,8.566363506912e-03,5.613151303845e-03,3.493942554002e-03,1.856031602179e-03,7.529345253384e-04,1.522891878741e-04,4.015026917296e-06,2.363807361430e-04,7.592697476377e-04,1.469778265182e-03,9.938079000000e-03
0.054,8.515647143682e-03,5.471564872450e-03,3.313337162508e-03,1.676994935376e-03,6.141324255290e-04,8.530256817403e-05,2.966249950224e-05,3.617519506473e-04,9.761453040727e-04,1.754892569838e-03,9.938079000000e-03
0.056,8.465082647364e-03,5.331824698825e-03,3.137737252629e-03,1.507566354438e-03,4.902270975204e-04,3.803346585342e-05,7.787394370157e-05,5.089817783203e-04,1.209333184117e-03,2.045309233557e-03,9.938079000000e-03
0.058,8.414670102133e-03,5.193931977155e-03,2.967139458037e-03,1.347691841627e-03,3.809858791696e-04,9.835694440765e-06,1.472632123417e-04,6.755950719220e-04,1.455018597332e-03,2.335875137291e-03,9.938079000000e-03
0.060,8.364409594347e-03,5.057887842113e-03,2.801539179580e-03,1.197310728804e-03,2.861559852822e-04,2.108630704947e-08,2.363808025003e-04,8.590552452470e-04,1.709387919889e-03,2.621607486596e-03,9.938079000000e-03
0.062,8.314301212491e-03,4.923693362541e-03,2.640930528584e-03,1.056355541597e-03,2.054645016407e-04,7.860871163443e-06,3.437197284392e-04,1.056780119309e-03,1.968661532865e-03,2.897749127791e-03,9.938079000000e-03
0.064,8.264345047112e-03,4.791349535231e-03,2.485306272495e-03,9.247518624784e-04,1.386184631462e-04,3.258730223563e-05,4.677219044455e-04,1.266158440698e-03,2.229126788841e-03,3.159821569030e-03,9.938079000000e-03
0.066,8.214541190764e-03,4.660857278799e-03,2.334657782882e-03,8.024182128009e-04,8.530501512647e-05,7.339552067882e-05,6.067849916250e-04,1.484566918843e-03,2.487170717483e-03,3.403674923042e-03,9.938079000000e-03
0.068,8.164889737946e-03,4.532217427663e-03,2.188974985827e-03,6.892659538248e-04,4.519165665702e-05,1.294456478086e-04,7.592696598805e-04,1.709387624650e-03,2.739312083973e-03,3.625534032129e-03,9.938079000000e-03
0.070,8.115390785044e-03,4.405430726115e-03,2.048246314700e-03,5.851992067558e-04,1.792656452795e-05,1.998650937666e-04,9.235072137713e-04,1.938025590093e-03,2.982232421776e-03,3.822040090109e-03,9.938079000000e-03
0.072,8.066044430275e-03,4.280497822492e-03,1.912458665366e-03,4.901147917715e-04,3.138996276695e-06,2.837510703231e-04,1.097807528725e-03,2.167926446741e-03,3.212805672921e-03,3.990287139821e-03,9.938079000000e-03
