x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03,2.922637000000e-03
0.002,2.906567048064e-03,2.867014281277e-03,2.831601968420e-03,2.795502358557e-03,2.759702609462e-03,2.724129436888e-03,2.688787390675e-03,2.653676281800e-03,2.618796151325e-03,2.584147088063e-03,2.922637000000e-03
0.004,2.890541398532e-03,2.811925983003e-03,2.742007447970e-03,2.671195478446e-03,2.601443162252e-03,2.532606865634e-03,2.464695986695e-03,2.397710744726e-03,2.331651870427e-03,2.266520239647e-03,2.922637000000e-03
0.006,2.874560053113e-03,2.757372170053e-03,2.653853931139e-03,2.549718187768e-03,2.447863483217e-03,2.348079674973e-03,2.250382322376e-03,2.154773727422e-03,2.061257054229e-03,1.969835733996e-03,2.922637000000e-03
0.008,2.858623014638e-03,2.703352947552e-03,2.567142200503e-03,2.431073329529e-03,2.298970904335e-03,2.170563262803e-03,2.045874578431e-03,1.924911930240e-03,1.807683453576e-03,1.694197370292e-03,2.922637000000e-03
0.010,2.842730287033e-03,2.649868458336e-03,2.481873296512e-03,2.315264591204e-03,2.154774676006e-03,2.000076458230e-03,1.851206008422e-03,1.708178239279e-03,1.571008506383e-03,1.439710947352e-03,2.922637000000e-03
0.012,2.826881875306e-03,2.596918880430e-03,2.398048485807e-03,2.202296338321e-03,2.015285396632e-03,1.836640005094e-03,1.666411534425e-03,1.504624954206e-03,1.351303036730e-03,1.206463452603e-03,2.922637000000e-03
0.014,2.811077785526e-03,2.544504424561e-03,2.315669230075e-03,2.092173452092e-03,1.880514460716e-03,1.680275108132e-03,1.491524516078e-03,1.314297432278e-03,1.148619851856e-03,9.945040337151e-04,2.922637000000e-03
0.016,2.795318024806e-03,2.492625331683e-03,2.234737155427e-03,1.984901171142e-03,1.750473525780e-03,1.531002043153e-03,1.326573697894e-03,1.137228162821e-03,9.629832729569e-04,8.038268334619e-04,2.922637000000e-03
0.018,2.779602601281e-03,2.441281870542e-03,2.155254022329e-03,1.880484937372e-03,1.625173998442e-03,1.388838832777e-03,1.171580340233e-03,9.734312875213e-04,7.943796375355e-04,6.343557700507e-04,2.922637000000e-03
