x,RFS_mode1,RFS_mode2,RFS_mode3,RFS_mode4,RFS_mode5,RFS_mode6,RFS_mode7,RFS_mode8,RFS_mode9,RFS_mode10,severity
0.000,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03,8.590945000000e-03
0.002,8.543708181594e-03,8.427444805723e-03,8.323352086691e-03,8.217239092549e-03,8.112007524110e-03,8.007441965999e-03,7.903555792245e-03,7.800348447222e-03,7.697820051632e-03,7.595970866534e-03,8.590945000000e-03
0.004,8.496601587884e-03,8.265515513576e-03,8.059993483659e-03,7.851845247828e-03,7.646811809859e-03,7.444470965529e-03,7.244850340091e-03,7.047950578141e-03,6.853773827535e-03,6.662322662784e-03,8.590945000000e-03
0.006,8.449625223896e-03,8.105157314252e-03,7.800870638553e-03,7.494768839447e-03,7.195372039643e-03,6.902062535754e-03,6.614886063682e-03,6.333849390029e-03,6.058961815561e-03,5.790233426113e-03,8.590945000000e-03
0.008,8.402779097947e-03,7.946370516765e-03,7.545985851715e-03,7.146018224278e-03,6.757709765441e-03,6.380261938024e-03,6.013745798810e-03,5.658182156230e-03,5.313594923722e-03,4.980008269014e-03,8.590945000000e-03
0.010,8.356063221581e-03,7.789155540971e-03,7.295342181495e-03,6.805604241471e-03,6.333852178343e-03,5.879124519552e-03,5.441527292655e-03,5.021104332779e-03,4.617900776890e-03,4.231958181807e-03,8.590945000000e-03
0.012,8.309477609518e-03,7.633512910170e-03,7.048943351126e-03,6.473539723276e-03,5.923830431822e-03,5.398711255815e-03,4.898333196908e-03,4.422769651930e-03,3.972087558900e-03,3.546338859675e-03,8.590945000000e-03
0.014,8.263022279598e-03,7.479443243776e-03,6.806793657155e-03,6.149839017773e-03,5.527678019446e-03,4.939084477076e-03,4.384261570553e-03,3.863311439068e-03,3.376310493983e-03,2.923294769732e-03,8.590945000000e-03
0.016,8.216697252727e-03,7.326947250068e-03,6.568897879460e-03,5.834517523632e-03,5.145429207915e-03,4.500303783062e-03,3.899396906649e-03,3.342825194933e-03,2.830641073076e-03,2.362808694954e-03,8.590945000000e-03
0.018,8.170502552819e-03,7.176025719006e-03,6.335261192840e-03,5.527591237054e-03,4.777117526414e-03,4.082422150356e-03,3.443801698954e-03,2.861352488309e-03,2.335039135954e-03,1.864656996725e-03,8.590945000000e-03
0.020,8.124438206742e-03,7.026679515128e-03,6.105889080208e-03,5.229076311051e-03,4.422774313375e-03,3.685482237444e-03,3.017508565149e-03,2.418866205739e-03,1.889327919817e-03,1.428370827874e-03,8.590945000000e-03
0.022,8.078504244264e-03,6.878909570515e-03,5.880787247389e-03,4.938988627235e-03,4.082427321849e-03,3.309512892592e-03,2.620512943789e-03,2.015257204280e-03,1.493172179385e-03,1.053203505031e-03,8.590945000000e-03
0.024,8.032700697999e-03,6.732716877839e-03,5.659961539545e-03,4.657343380330e-03,3.756099384713e-03,2.954525869871e-03,2.252766381995e-03,1.650322411177e-03,1.146059473213e-03,7.381042143525e-04,8.590945000000e-03
0.026,7.987027603350e-03,6.588102483477e-03,5.443417859240e-03,4.384154675585e-03,3.443807141014e-03,2.620512758664e-03,1.914170430329e-03,1.323754410618e-03,8.472846964084e-04,4.816981797765e-04,8.590945000000e-03
0.028,7.941484998456e-03,6.445067480708e-03,5.231162086162e-03,4.119435139313e-03,3.145559824757e-03,2.307442131896e-03,1.604571160211e-03,1.035132552617e-03,5.959379216359e-04,2.822733696407e-04,8.590945000000e-03
0.030,7.896072924140e-03,6.303613002978e-03,5.023199998521e-03,3.863195542781e-03,2.861358117440e-03,2.015256918038e-03,1.323754317891e-03,7.839156127500e-04,3.908955888616e-04,1.377737571794e-04,8.590945000000e-03
0.032,7.850791423850e-03,6.163740217246e-03,4.819537196140e-03,3.615444439651e-03,2.591193065639e-03,1.743872001641e-03,1.071441127124e-03,5.694360240057e-04,2.308150601440e-04,4.579908490478e-05,8.590945000000e-03
0.034,7.805640543611e-03,6.025450317407e-03,4.620179025257e-03,3.376187817224e-03,2.335045064919e-03,1.493172056793e-03,8.472847506118e-04,3.908956936459e-04,1.141325295589e-04,3.611013638144e-06,8.590945000000e-03
0.036,7.760620331964e-03,5.888744517785e-03,4.425130505066e-03,3.145428761695e-03,2.092882911269e-03,1.263009617427e-03,6.508674178609e-04,2.473634087931e-04,3.906425048893e-05,8.145465635153e-06,8.590945000000e-03
0.038,7.715730839920e-03,5.753624046714e-03,4.234396256009e-03,2.923167137655e-03,1.864662921236e-03,1.053203387870e-03,4.816982244225e-04,1.377738246474e-04,3.611013597148e-06,5.603089935471e-05,8.590945000000e-03
0.040,7.670972120904e-03,5.620090140185e-03,4.047980429838e-03,2.709399282054e-03,1.650328121823e-03,8.635367964323e-04,3.392116045876e-04,6.092801894124e-05,5.565779325325e-06,1.436121824440e-04,8.590945000000e-03
0.042,7.626344230697e-03,5.488144035579e-03,3.865886641483e-03,2.504117712849e-03,1.449807511146e-03,6.937567941731e-04,2.227664765427e-04,1.549558559658e-05,4.252433921532e-05,2.669796608645e-04,8.590945000000e-03
0.044,7.581847227391e-03,5.357786965474e-03,3.688117902729e-03,2.307310852543e-03,1.263015390736e-03,5.435729002485e-04,1.316460557576e-04,1.822972467026e-08,1.118988512368e-04,4.220029570961e-04,8.590945000000e-03
0.046,7.537481171328e-03,5.229020151535e-03,3.514676557738e-03,2.118962766827e-03,1.089850770247e-03,4.126564944991e-04,6.505832904093e-05,1.291481522786e-05,2.109340660706e-04,6.043689702713e-04,8.590945000000e-03
0.048,7.493246125056e-03,5.101844798479e-03,3.345564220423e-03,1.939052918504e-03,9.301968452271e-04,3.006403571174e-04,2.213717828415e-05,5.248780547968e-05,3.367260343887e-04,8.096234970230e-04,8.590945000000e-03
0.050,7.449142153267e-03,4.976262088125e-03,3.180781713715e-03,1.767555936892e-03,7.839205484486e-04,2.071184543993e-04,1.944139457031e-06,1.169310270002e-04,4.862430599949e-04,1.033215844803e-03,8.590945000000e-03
0.052,7.405169322752e-03,4.852273173519e-03,3.020329010727e-03,1.604441402869e-03,6.508721751742e-04,1.316459687150e-04,3.470778952352e-06,2.043386758410e-04,6.563486406296e-04,1.270545770302e-03,8.590945000000e-03
0.054,7.361327702344e-03,4.729879173143e-03,2.864205177838e-03,1.449673649716e-03,5.308850825634e-04,7.373956994524e-05,2.564166593829e-05,3.127154766685e-04,8.438261176327e-04,1.517012045123e-03,8.590945000000e-03
0.056,7.317617362869e-03,4.609081165208e-03,2.712408319735e-03,1.303211579906e-03,4.237754632769e-04,3.287792472832e-05,6.731791599496e-05,4.399878954023e-04,1.045404737819e-03,1.768061929622e-03,8.590945000000e-03
0.058,7.274038377092e-03,4.489880182023e-03,2.564935526405e-03,1.165008497957e-03,3.293421931666e-04,8.502438949964e-06,1.273012780187e-04,5.840162978331e-04,1.257786816110e-03,2.019240824241e-03,8.590945000000e-03
0.060,7.230590819665e-03,4.372277204454e-03,2.421782822125e-03,1.035011959461e-03,2.473667527678e-04,1.822800001037e-08,2.043387332034e-04,7.426079390070e-04,1.477675675896e-03,2.266241366056e-03,8.590945000000e-03
0.062,7.187274767079e-03,4.256273156458e-03,2.282945116444e-03,9.131636363832e-04,1.776132221376e-04,6.795308410934e-06,2.971275718814e-04,9.135306614159e-04,1.701804036017e-03,2.504951246680e-03,8.590945000000e-03
0.064,7.144090297608e-03,4.141868899708e-03,2.148416157203e-03,7.993991986982e-04,1.198283484035e-04,2.817000359976e-05,4.043209111526e-04,1.094527174248e-03,1.926962508646e-03,2.731499046179e-03,8.590945000000e-03
0.066,7.101037491258e-03,4.029065228302e-03,2.018188485578e-03,6.936482124132e-04,7.374168520653e-05,6.344655555648e-05,5.245336135762e-04,1.283329781198e-03,2.150027871534e-03,2.942297405941e-03,8.590945000000e-03
0.068,7.058116429720e-03,3.917862863547e-03,1.892253393198e-03,5.958340540140e-04,3.906580303893e-05,1.118989334672e-04,6.563485647681e-04,1.477675420677e-03,2.367990780838e-03,3.134082901298e-03,8.590945000000e-03
0.070,7.015327196315e-03,3.808262448846e-03,1.770600881321e-03,5.058738413412e-04,1.549656929659e-05,1.727728294340e-04,7.983232655539e-04,1.675320879727e-03,2.577982597310e-03,3.303952021505e-03,8.590945000000e-03
0.072,6.972669875943e-03,3.700264544652e-03,1.653219622115e-03,4.236783808818e-04,2.713496679619e-06,2.452878306599e-04,9.489966924053e-04,1.874058041599e-03,2.777301008751e-03,3.449392719902e-03,8.590945000000e-03
0.074,6.930144555038e-03,3.593869623524e-03,1.540096922028e-03,3.491521314433e-04,3.801583949626e-07,3.286397567140e-04,1.106896378235e-03,2.071729026764e-03,2.963434145402e-03,3.568311059941e-03,8.590945000000e-03
0.076,6.887751321508e-03,3.489078065262e-03,1.431218687284e-03,2.821931841509e-04,8.144668433510e-06,4.220031497812e-04,1.270545664273e-03,2.266241088188e-03,3.134082902021e-03,3.659052552338e-03,8.590945000000e-03
