x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,3.997210060383e+00,2.505008826661e+01,7.014096864605e+01,1.374483012955e+02,2.272119083091e+02,3.394152456110e+02,4.740593310902e+02,6.311440468857e+02,8.106695270019e+02,1.012635637256e+03
0.002,3.997464128034e+00,2.505559937934e+01,7.016622427151e+01,1.375174176942e+02,2.273583354801e+02,3.396817388686e+02,4.744978084459e+02,6.318154682682e+02,8.116437712057e+02,1.013991378346e+03
0.004,3.997717495259e+00,2.506105754157e+01,7.019108025950e+01,1.375849967883e+02,2.275005613359e+02,3.399388548854e+02,4.749179887770e+02,6.324544490678e+02,8.125644790451e+02,1.015263557383e+03
0.006,3.997970162031e+00,2.506646274685e+01,7.021553647339e+01,1.376510375838e+02,2.276385815405e+02,3.401865797146e+02,4.753198354558e+02,6.330609060595e+02,8.134314809099e+02,1.016451856830e+03
0.008,3.998222128306e+00,2.507181498478e+01,7.023959269608e+01,1.377155385352e+02,2.277723895047e+02,3.404248926847e+02,4.757032956423e+02,6.336347226625e+02,8.142445467362e+02,1.017555860945e+03
0.010,3.998473394021e+00,2.507711424121e+01,7.026324863891e+01,1.377784976378e+02,2.279019769154e+02,3.406537685181e+02,4.760683069847e+02,6.341757668543e+02,8.150034282246e+02,1.018575145977e+03
0.012,3.998723959097e+00,2.508236049849e+01,7.028650395049e+01,1.378399125183e+02,2.280273342478e+02,3.408731793663e+02,4.764148040028e+02,6.346839080766e+02,8.157078982828e+02,1.019509363517e+03
0.014,3.998973823439e+00,2.508755373574e+01,7.030935822529e+01,1.378997805230e+02,2.281484512619e+02,3.410830967625e+02,4.767427241460e+02,6.351590331014e+02,8.163577875881e+02,1.020358316717e+03
0.016,3.999222986933e+00,2.509269392910e+01,7.033181101220e+01,1.379580988040e+02,2.282653174812e+02,3.412834934867e+02,4.770520135170e+02,6.356010608239e+02,8.169530181564e+02,1.021122029035e+03
0.018,3.999471449452e+00,2.509778105194e+01,7.035386182280e+01,1.380148644027e+02,2.283779226546e+02,3.414743453437e+02,4.773426322520e+02,6.360099559414e+02,8.174936337953e+02,1.021800805200e+03
0.020,3.999719210850e+00,2.510281507511e+01,7.037551013963e+01,1.380700743318e+02,2.284862572011e+02,3.416556328509e+02,4.776145595444e+02,6.363857414802e+02,8.179798273225e+02,1.022395284058e+03
0.022,3.999966270968e+00,2.510779596719e+01,7.039675542416e+01,1.381237256539e+02,2.285903126355e+02,3.418273428329e+02,4.778677983039e+02,6.367285101311e+02,8.184119644324e+02,1.022906483031e+03
0.024,4.000212629630e+00,2.511272369473e+01,7.041759712471e+01,1.381758155589e+02,2.286900819772e+02,3.419894699215e+02,4.781023794382e+02,6.370384343553e+02,8.187906041095e+02,1.023335833948e+03
0.026,4.000458286646e+00,2.511759822246e+01,7.043803468420e+01,1.382263414378e+02,2.287855601388e+02,3.421420179580e+02,4.783183657468e+02,6.373157752287e+02,8.191165155008e+02,1.023685210062e+03
0.028,4.000703241811e+00,2.512241951352e+01,7.045806754771e+01,1.382753009556e+02,2.288767442974e+02,3.422850012954e+02,4.785158554190e+02,6.375608899920e+02,8.193906911790e+02,1.023956944171e+03
0.030,4.000947494904e+00,2.512718752971e+01,7.047769516987e+01,1.383226921200e+02,2.289636342446e+02,3.424184459991e+02,4.786949851247e+02,6.377742382851e+02,8.196143567530e+02,1.024153837795e+03
0.032,4.001191045693e+00,2.513190223169e+01,7.049691702217e+01,1.383685133492e+02,2.290462327178e+02,3.425423909423e+02,4.788559326919e+02,6.379563870455e+02,8.197889768076e+02,1.024279161497e+03
0.034,4.001433893930e+00,2.513656357923e+01,7.051573260004e+01,1.384127635358e+02,2.291245457105e+02,3.426568887960e+02,4.789989193640e+02,6.381080140606e+02,8.199162571835e+02,1.024336646511e+03
0.036,4.001676039354e+00,2.514117153139e+01,7.053414142975e+01,1.384554421089e+02,2.291985827631e+02,3.427620069097e+02,4.791242116318e+02,6.382299101715e+02,8.199981436383e+02,1.024330467915e+03
0.038,4.001917481690e+00,2.514572604677e+01,7.055214307522e+01,1.384965490936e+02,2.292683572309e+02,3.428578280834e+02,4.792321226373e+02,6.383229801322e+02,8.200368169624e+02,1.024265219737e+03
0.040,4.002158220651e+00,2.515022708370e+01,7.056973714461e+01,1.385360851674e+02,2.293338865325e+02,3.429444512282e+02,4.793230131482e+02,6.383882421384e+02,8.200346846525e+02,1.024145882419e+03
0.042,4.002398255937e+00,2.515467460047e+01,7.058692329675e+01,1.385740517141e+02,2.293951923756e+02,3.430219919148e+02,4.793972921030e+02,6.384268260496e+02,8.199943692825e+02,1.023977783215e+03
0.044,4.002637587235e+00,2.515906855555e+01,7.060370124736e+01,1.386104508749e+02,2.294523009610e+02,3.430905828094e+02,4.794554167298e+02,6.384399703362e+02,8.199186937386e+02,1.023766550133e+03
0.046,4.002876214222e+00,2.516340890775e+01,7.062007077522e+01,1.386452855969e+02,2.295052431649e+02,3.431503739972e+02,4.794978922444e+02,6.384290177926e+02,8.198106635193e+02,1.023518060158e+03
0.048,4.003114136560e+00,2.516769561647e+01,7.063603172799e+01,1.386785596784e+02,2.295540546983e+02,3.432015331919e+02,4.795252711332e+02,6.383954100672e+02,8.196734463290e+02,1.023238382540e+03
0.050,4.003351353902e+00,2.517192864186e+01,7.065158402802e+01,1.387102778116e+02,2.295987762442e+02,3.432442458345e+02,4.795381520312e+02,6.383406810695e+02,8.195103492216e+02,1.022933718003e+03
0.052,4.003587865888e+00,2.517610794507e+01,7.066672767783e+01,1.387404456226e+02,2.296394535724e+02,3.432787150787e+02,4.795371782061e+02,6.382664493211e+02,8.193247935765e+02,1.022610334790e+03
0.054,4.003823672148e+00,2.518023348839e+01,7.068146276554e+01,1.387690697078e+02,2.296761376312e+02,3.433051616676e+02,4.795230356624e+02,6.381744093278e+02,8.191202882096e+02,1.022274502485e+03
0.056,4.004058772302e+00,2.518430523547e+01,7.069578947004e+01,1.387961576682e+02,2.297088846166e+02,3.433238237007e+02,4.794964508809e+02,6.380663220574e+02,8.189004009444e+02,1.021932424603e+03
0.058,4.004293165957e+00,2.518832315153e+01,7.070970806597e+01,1.388217181400e+02,2.297377560190e+02,3.433349562951e+02,4.794581882115e+02,6.379440046140e+02,8.186687289828e+02,1.021590170934e+03
0.060,4.004526852713e+00,2.519228720350e+01,7.072321892856e+01,1.388457608228e+02,2.297628186470e+02,3.433388311421e+02,4.794090469401e+02,6.378093192064e+02,8.184288684263e+02,1.021253610643e+03
0.062,4.004759832157e+00,2.519619736024e+01,7.073632253826e+01,1.388682965042e+02,2.297841446294e+02,3.433357359633e+02,4.793498580495e+02,6.376641615148e+02,8.181843833113e+02,1.020928347118e+03
0.064,4.004992103870e+00,2.520005359270e+01,7.074901948515e+01,1.388893370820e+02,2.298018113939e+02,3.433259738681e+02,4.792814807002e+02,6.375104485642e+02,8.179387745224e+02,1.020619655514e+03
0.066,4.005223667420e+00,2.520385587411e+01,7.076131047320e+01,1.389088955830e+02,2.298159016250e+02,3.433098626181e+02,4.792047984548e+02,6.373501062164e+02,8.176954489527e+02,1.020332423928e+03
0.068,4.005454522368e+00,2.520760418017e+01,7.077319632431e+01,1.389269861784e+02,2.298265031994e+02,3.432877338009e+02,4.791207152737e+02,6.371850563974e+02,8.174576892737e+02,1.020071099068e+03
0.070,4.005684668266e+00,2.521129848918e+01,7.078467798217e+01,1.389436241972e+02,2.298337091008e+02,3.432599319183e+02,4.790301513098e+02,6.370172041763e+02,8.172286246726e+02,1.019839637225e+03
0.072,4.005914104658e+00,2.521493878226e+01,7.079575651591e+01,1.389588261357e+02,2.298376173128e+02,3.432268133948e+02,4.789340385326e+02,6.368484248166e+02,8.170112029026e+02,1.019641461288e+03
0.074,4.006142831078e+00,2.521852504347e+01,7.080643312356e+01,1.389726096641e+02,2.298383306921e+02,3.431887455100e+02,4.788333162112e+02,6.366805509172e+02,8.168081639775e+02,1.019479424433e+03
0.076,4.006370847054e+00,2.522205726001e+01,7.081670913529e+01,1.389849936302e+02,2.298359568223e+02,3.431461052608e+02,4.787289262885e+02,6.365153597629e+02,8.166220158217e+02,1.019355781048e+03
0.078,4.006598152105e+00,2.522553542237e+01,7.082658601651e+01,1.389959980604e+02,2.298306078467e+02,3.430992781607e+02,4.786218086786e+02,6.363545609988e+02,8.164550121673e+02,1.019272165345e+03
0.080,4.006824745743e+00,2.522895952449e+01,7.083606537066e+01,1.390056441570e+02,2.298224002844e+02,3.430486569799e+02,4.785128965187e+02,6.361997847445e+02,8.163091329611e+02,1.019229577991e+03
0.082,4.007050627473e+00,2.523232956388e+01,7.084514894191e+01,1.390139542934e+02,2.298114548270e+02,3.429946404350e+02,4.784031114108e+02,6.360525702550e+02,8.161860675188e+02,1.019228380982e+03
0.084,4.007275796794e+00,2.523564554184e+01,7.085383861761e+01,1.390209520055e+02,2.297978961185e+02,3.429376318325e+02,4.782933586837e+02,6.359143552345e+02,8.160872006299e+02,1.019268300881e+03
0.086,4.007500253196e+00,2.523890746355e+01,7.086213643047e+01,1.390266619807e+02,2.297818525190e+02,3.428780376752e+02,4.781845227090e+02,6.357864659021e+02,8.160136017860e+02,1.019348440396e+03
0.088,4.007723996165e+00,2.524211533825e+01,7.087004456069e+01,1.390311100442e+02,2.297634558526e+02,3.428162662367e+02,4.780774623040e+02,6.356701079003e+02,8.159660176667e+02,1.019467298172e+03
0.090,4.007947025179e+00,2.524526917935e+01,7.087756533771e+01,1.390343231422e+02,2.297428411402e+02,3.427527261119e+02,4.779730062520e+02,6.355663581329e+02,8.159448679822e+02,1.019622796550e+03
0.092,4.008169339712e+00,2.524836900462e+01,7.088470124189e+01,1.390363293220e+02,2.297201463188e+02,3.426878247504e+02,4.778719489720e+02,6.354761576066e+02,8.159502447335e+02,1.019812316939e+03
0.094,4.008390939232e+00,2.525141483626e+01,7.089145490590e+01,1.390371577102e+02,2.296955119482e+02,3.426219669808e+02,4.777750463675e+02,6.354003053464e+02,8.159819149104e+02,1.020032742314e+03
0.096,4.008611823200e+00,2.525440670110e+01,7.089782911596e+01,1.390368384876e+02,2.296690809052e+02,3.425555535313e+02,4.776830118830e+02,6.353394534410e+02,8.160393266108e+02,1.020280506286e+03
0.098,4.008831991075e+00,2.525734463069e+01,7.090382681281e+01,1.390354028615e+02,2.296409980676e+02,3.424889795571e+02,4.775965127954e+02,6.352941032673e+02,8.161216185226e+02,1.020551648069e+03
0.100,4.009051442308e+00,2.526022866143e+01,7.090945109257e+01,1.390328830362e+02,2.296114099877e+02,3.424226331780e+02,4.775161667669e+02,6.352646029321e+02,8.162276326745e+02,1.020841872592e+03
0.102,4.009270176348e+00,2.526305883470e+01,7.091470520729e+01,1.390293121797e+02,2.295804645582e+02,3.423568940371e+02,4.774425386831e+02,6.352511459560e+02,8.163559303220e+02,1.021146614938e+03
0.104,4.009488192638e+00,2.526583519701e+01,7.091959256534e+01,1.390247243893e+02,2.295483106692e+02,3.422921318850e+02,4.773761377981e+02,6.352537712179e+02,8.165048107999e+02,1.021461108213e+03
0.106,4.009705490618e+00,2.526855780006e+01,7.092411673166e+01,1.390191546542e+02,2.295150978601e+02,3.422287051982e+02,4.773174152071e+02,6.352723641628e+02,8.166723331390e+02,1.021780453915e+03
0.108,4.009922069725e+00,2.527122670089e+01,7.092828142767e+01,1.390126388160e+02,2.294809759653e+02,3.421669598374e+02,4.772667616654e+02,6.353066592678e+02,8.168563402120e+02,1.022099693833e+03
0.110,4.010137929390e+00,2.527384196199e+01,7.093209053110e+01,1.390052135272e+02,2.294460947564e+02,3.421072277534e+02,4.772245057672e+02,6.353562437469e+02,8.170544851462e+02,1.022413882460e+03
0.112,4.010353069044e+00,2.527640365139e+01,7.093554807556e+01,1.389969162070e+02,2.294106035812e+02,3.420498257461e+02,4.771909125003e+02,6.354205624675e+02,8.172642597118e+02,1.022718158944e+03
0.114,4.010567488112e+00,2.527891184281e+01,7.093865824994e+01,1.389877849962e+02,2.293746510012e+02,3.419950542831e+02,4.771661821852e+02,6.354989240385e+02,8.174830243747e+02,1.023007817548e+03
