x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,3.983226063518e+00,2.496245205272e+01,6.989558472304e+01,1.369674467531e+02,2.264170212340e+02,3.382278219682e+02,4.724008632839e+02,6.289360277323e+02,8.078334488490e+02,1.009092992921e+03
0.002,3.983557021373e+00,2.496963103063e+01,6.992848362859e+01,1.370574803132e+02,2.266077626462e+02,3.385749658759e+02,4.729720399960e+02,6.298106458914e+02,8.091025351399e+02,1.010859031071e+03
0.004,3.983887066828e+00,2.497674103326e+01,6.996086195169e+01,1.371455113238e+02,2.267930312709e+02,3.389098946450e+02,4.735193823315e+02,6.306430057553e+02,8.103018829958e+02,1.012516218220e+03
0.006,3.984216199848e+00,2.498378205224e+01,6.999271951436e+01,1.372315384902e+02,2.269728214599e+02,3.392325901082e+02,4.740428425780e+02,6.314329989122e+02,8.114312714762e+02,1.014064140735e+03
0.008,3.984544420374e+00,2.499075407399e+01,7.002405603379e+01,1.373155597991e+02,2.271471246299e+02,3.395430253381e+02,4.745423519041e+02,6.321804734996e+02,8.124904008912e+02,1.015502257054e+03
0.010,3.984871728325e+00,2.499765708009e+01,7.005487113398e+01,1.373975726390e+02,2.273159299517e+02,3.398411674069e+02,4.750178290883e+02,6.328852575404e+02,8.134789477972e+02,1.016830015182e+03
0.012,3.985198123599e+00,2.500449104756e+01,7.008516435717e+01,1.374775739186e+02,2.274792250182e+02,3.401269800384e+02,4.754691888334e+02,6.335471809642e+02,8.143966163753e+02,1.018046961270e+03
0.014,3.985523606069e+00,2.501125594920e+01,7.011493517513e+01,1.375555601809e+02,2.276369964903e+02,3.404004261504e+02,4.758963496588e+02,6.341660962763e+02,8.152431860595e+02,1.019152838896e+03
0.016,3.985848175591e+00,2.501795175390e+01,7.014418300021e+01,1.376315277161e+02,2.277892307208e+02,3.406614702853e+02,4.762992413559e+02,6.347418978265e+02,8.160185552648e+02,1.020147678619e+03
0.018,3.986171831995e+00,2.502457842699e+01,7.017290719619e+01,1.377054726705e+02,2.279359143566e+02,3.409100809256e+02,4.766778119966e+02,6.352745396282e+02,8.167227810568e+02,1.021031877388e+03
0.020,3.986494575095e+00,2.503113593051e+01,7.020110708899e+01,1.377773911524e+02,2.280770349167e+02,3.411462326925e+02,4.770320344775e+02,6.357640516764e+02,8.173561146068e+02,1.021806267387e+03
0.022,3.986816404681e+00,2.503762422352e+01,7.022878197710e+01,1.378472793356e+02,2.282125813483e+02,3.413699084232e+02,4.773619125890e+02,6.362105547134e+02,8.179190322816e+02,1.022472173950e+03
0.024,3.987137320525e+00,2.504404326244e+01,7.025593114191e+01,1.379151335594e+02,2.283425445579e+02,3.415811011250e+02,4.776674865923e+02,6.366142733936e+02,8.184122622351e+02,1.023031462227e+03
0.026,3.987457322379e+00,2.505039300134e+01,7.028255385772e+01,1.379809504255e+02,2.284669179190e+02,3.417798158014e+02,4.779488382927e+02,6.369755478040e+02,8.188368063865e+02,1.023486572389e+03
0.028,3.987776409975e+00,2.505667339219e+01,7.030864940167e+01,1.380447268920e+02,2.285856977538e+02,3.419660711496e+02,4.782060955949e+02,6.372948432996e+02,8.191939576974e+02,1.023840543222e+03
0.030,3.988094583028e+00,2.506288438525e+01,7.033421706337e+01,1.381064603638e+02,2.286988837911e+02,3.421399011230e+02,4.784394365302e+02,6.375727586240e+02,8.194853126910e+02,1.024097024089e+03
0.032,3.988411841233e+00,2.506902592926e+01,7.035925615433e+01,1.381661487803e+02,2.288064795966e+02,3.423013563595e+02,4.786490927440e+02,6.378100322908e+02,8.197127791892e+02,1.024260275348e+03
0.034,3.988728184268e+00,2.507509797181e+01,7.038376601729e+01,1.382237906989e+02,2.289084929781e+02,3.424505054700e+02,4.788353524360e+02,6.380075472110e+02,8.198785792827e+02,1.024335157439e+03
0.036,3.989043611793e+00,2.508110045957e+01,7.040774603516e+01,1.382793853761e+02,2.290049363626e+02,3.425874361866e+02,4.789985627470e+02,6.381663335633e+02,8.199852475870e+02,1.024327108973e+03
0.038,3.989358123449e+00,2.508703333862e+01,7.043119563989e+01,1.383329328446e+02,2.290958271477e+02,3.427122563676e+02,4.791391315871e+02,6.382875699133e+02,8.200356248797e+02,1.024242114299e+03
0.040,3.989671718864e+00,2.509289655468e+01,7.045411432104e+01,1.383844339868e+02,2.291811880234e+02,3.428250948584e+02,4.792575289057e+02,6.383725826001e+02,8.200328472545e+02,1.024086661124e+03
0.042,3.989984397646e+00,2.509869005343e+01,7.047650163417e+01,1.384338906053e+02,2.292610472668e+02,3.429261022054e+02,4.793542874010e+02,6.384228434203e+02,8.199803309724e+02,1.023867688926e+03
0.044,3.990296159388e+00,2.510441378073e+01,7.049835720902e+01,1.384813054894e+02,2.293354390082e+02,3.430154512246e+02,4.794300026752e+02,6.384399656509e+02,8.198817532289e+02,1.023592528953e+03
0.046,3.990607003667e+00,2.511006768296e+01,7.051968075738e+01,1.385266824780e+02,2.294044034679e+02,3.430933374223e+02,4.794853328409e+02,6.384256984651e+02,8.197410290965e+02,1.023268836783e+03
0.048,3.990916930045e+00,2.511565170722e+01,7.054047208082e+01,1.385700265189e+02,2.294679871644e+02,3.431599792688e+02,4.795209975873e+02,6.383819198074e+02,8.195622849434e+02,1.022904518443e+03
0.050,3.991225938069e+00,2.512116580160e+01,7.056073107818e+01,1.386113437245e+02,2.295262430931e+02,3.432156183261e+02,4.795377767183e+02,6.383106278045e+02,8.193498286597e+02,1.022507651225e+03
0.052,3.991534027271e+00,2.512660991550e+01,7.058045775276e+01,1.386506414233e+02,2.295792308752e+02,3.432605192299e+02,4.795365081779e+02,6.382139308019e+02,8.191081170595e+02,1.022086400371e+03
0.054,3.991841197168e+00,2.513198399978e+01,7.059965221934e+01,1.386879282083e+02,2.296270168778e+02,3.432949695282e+02,4.795180855810e+02,6.380940361253e+02,8.188417208556e+02,1.021648932874e+03
0.056,3.992147447265e+00,2.513728800712e+01,7.061831471094e+01,1.387232139806e+02,2.296696743040e+02,3.433192793781e+02,4.794834552679e+02,6.379532376761e+02,8.185552876259e+02,1.021203329658e+03
0.058,3.992452777052e+00,2.514252189219e+01,7.063644558533e+01,1.387565099902e+02,2.297072832534e+02,3.433337811046e+02,4.794336129091e+02,6.377939024807e+02,8.182535032177e+02,1.020757497454e+03
0.060,3.992757186005e+00,2.514768561191e+01,7.065404533130e+01,1.387878288721e+02,2.297399307535e+02,3.433388286227e+02,4.793695996836e+02,6.376184563208e+02,8.179410520451e+02,1.020319081654e+03
0.062,3.993060673588e+00,2.515277912573e+01,7.067111457468e+01,1.388171846786e+02,2.297677107616e+02,3.433347967290e+02,4.792924980603e+02,6.374293685790e+02,8.176225767525e+02,1.019895381438e+03
0.064,3.993363239254e+00,2.515780239580e+01,7.068765408415e+01,1.388445929083e+02,2.297907241380e+02,3.433220802652e+02,4.792034272131e+02,6.372291364426e+02,8.173026377211e+02,1.019493268414e+03
0.066,3.993664882441e+00,2.516275538725e+01,7.070366477672e+01,1.388700705301e+02,2.298090785906e+02,3.433010931591e+02,4.791035381032e+02,6.370202686099e+02,8.169856728949e+02,1.019119109999e+03
0.068,3.993965602577e+00,2.516763806842e+01,7.071914772303e+01,1.388936360043e+02,2.298228885910e+02,3.432722673488e+02,4.789940082625e+02,6.368052686522e+02,8.166759584024e+02,1.018778698635e+03
0.070,3.994265399079e+00,2.517245041106e+01,7.073410415236e+01,1.389153092989e+02,2.298322752629e+02,3.432360515951e+02,4.788760363161e+02,6.365866181825e+02,8.163775704378e+02,1.018477187935e+03
0.072,3.994564271352e+00,2.517719239055e+01,7.074853545740e+01,1.389351119024e+02,2.298373662434e+02,3.431929101898e+02,4.787508362815e+02,6.363667599881e+02,8.160943488528e+02,1.018219036680e+03
0.074,3.994862218790e+00,2.518186398616e+01,7.076244319875e+01,1.389530668328e+02,2.298382955176e+02,3.431433215645e+02,4.786196316854e+02,6.361480812795e+02,8.158298628899e+02,1.018007961519e+03
0.076,3.995159240776e+00,2.518646518119e+01,7.077582910915e+01,1.389691986420e+02,2.298352032275e+02,3.430877768095e+02,4.784836495372e+02,6.359328972132e+02,8.155873794636e+02,1.017846899103e+03
0.078,3.995455336686e+00,2.519099596326e+01,7.078869509747e+01,1.389835334171e+02,2.298282354554e+02,3.430267781085e+02,4.783441142032e+02,6.357234348358e+02,8.153698343681e+02,1.017737978217e+03
0.080,3.995750505884e+00,2.519545632446e+01,7.080104325243e+01,1.389960987770e+02,2.298175439832e+02,3.429608370988e+02,4.782022412226e+02,6.355218176009e+02,8.151798067549e+02,1.017682502365e+03
0.082,3.996044747724e+00,2.519984626159e+01,7.081287584606e+01,1.390069238659e+02,2.298032860282e+02,3.428904731629e+02,4.780592311079e+02,6.353300505986e+02,8.150194971886e+02,1.017680943097e+03
0.084,3.996338061553e+00,2.520416577630e+01,7.082419533685e+01,1.390160393427e+02,2.297856239564e+02,3.428162116630e+02,4.779162631736e+02,6.351500066353e+02,8.148907095471e+02,1.017732944224e+03
0.086,3.996630446708e+00,2.520841487535e+01,7.083500437273e+01,1.390234773661e+02,2.297647249744e+02,3.427385821244e+02,4.777744894346e+02,6.349834132926e+02,8.147948369893e+02,1.017837336901e+03
0.088,3.996921902519e+00,2.521259357078e+01,7.084530579367e+01,1.390292715771e+02,2.297407608009e+02,3.426581163793e+02,4.776350286180e+02,6.348318410849e+02,8.147328521674e+02,1.017992165406e+03
0.090,3.997212428307e+00,2.521670188007e+01,7.085510263411e+01,1.390334570766e+02,2.297139073191e+02,3.425753466784e+02,4.774989603272e+02,6.346966928264e+02,8.147053018114e+02,1.018194723306e+03
0.092,3.997502023385e+00,2.522073982633e+01,7.086439812505e+01,1.390360704001e+02,2.296843442110e+02,3.424908037807e+02,4.773673194017e+02,6.345791943071e+02,8.147123057651e+02,1.018441599527e+03
0.094,3.997790687060e+00,2.522470743853e+01,7.087319569590e+01,1.390371494890e+02,2.296522545749e+02,3.424050150305e+02,4.772410905092e+02,6.344803863663e+02,8.147535605010e+02,1.018728733718e+03
