x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.042818154155e+00,2.533590931614e+01,7.094127581702e+01,1.390165839025e+02,2.298043920324e+02,3.432879673633e+02,4.794683393982e+02,6.383453889314e+02,8.199192514963e+02,1.024189791379e+03
0.002,4.042821448317e+00,2.533598077152e+01,7.094160327365e+01,1.390174800443e+02,2.298062905618e+02,3.432914226324e+02,4.794740245599e+02,6.383540943733e+02,8.199318832452e+02,1.024207369498e+03
0.004,4.042824733398e+00,2.533605154036e+01,7.094192554870e+01,1.390183562540e+02,2.298081346182e+02,3.432947563191e+02,4.794794724881e+02,6.383623792006e+02,8.199438208581e+02,1.024223864178e+03
0.006,4.042828009397e+00,2.533612162258e+01,7.094224264040e+01,1.390192125185e+02,2.298099241455e+02,3.432979682426e+02,4.794846827078e+02,6.383702423343e+02,8.199550621360e+02,1.024239271301e+03
0.008,4.042831276314e+00,2.533619101804e+01,7.094255454594e+01,1.390200488179e+02,2.298116590581e+02,3.433010581348e+02,4.794896545339e+02,6.383776822629e+02,8.199656040960e+02,1.024253585477e+03
0.010,4.042834534148e+00,2.533625972656e+01,7.094286126157e+01,1.390208651261e+02,2.298133392484e+02,3.433040256680e+02,4.794943871580e+02,6.383846972744e+02,8.199754435185e+02,1.024266801211e+03
0.012,4.042837782897e+00,2.533632774791e+01,7.094316278275e+01,1.390216614124e+02,2.298149645928e+02,3.433068704812e+02,4.794988797311e+02,6.383912856763e+02,8.199845774593e+02,1.024278913987e+03
0.014,4.042841022561e+00,2.533639508182e+01,7.094345910420e+01,1.390224376425e+02,2.298165349585e+02,3.433095922052e+02,4.795031314422e+02,6.383974460003e+02,8.199930037229e+02,1.024289921251e+03
0.016,4.042844253137e+00,2.533646172797e+01,7.094375022009e+01,1.390231937792e+02,2.298180502097e+02,3.433121904871e+02,4.795071415925e+02,6.384031771950e+02,8.200007212983e+02,1.024299823309e+03
0.018,4.042847474626e+00,2.533652768603e+01,7.094403612408e+01,1.390239297844e+02,2.298195102136e+02,3.433146650132e+02,4.795109096651e+02,6.384084788026e+02,8.200077307534e+02,1.024308624110e+03
0.020,4.042850687023e+00,2.533659295562e+01,7.094431680945e+01,1.390246456193e+02,2.298209148458e+02,3.433170155310e+02,4.795144353902e+02,6.384133511216e+02,8.200140345882e+02,1.024316331939e+03
0.022,4.042853890328e+00,2.533665753632e+01,7.094459226924e+01,1.390253412457e+02,2.298222639964e+02,3.433192418694e+02,4.795177188056e+02,6.384177953538e+02,8.200196375443e+02,1.024322959987e+03
0.024,4.042857084538e+00,2.533672142772e+01,7.094486249628e+01,1.390260166273e+02,2.298235575748e+02,3.433213439591e+02,4.795207603120e+02,6.384218137354e+02,8.200245468691e+02,1.024328526818e+03
0.026,4.042860269651e+00,2.533678462933e+01,7.094512748335e+01,1.390266717302e+02,2.298247955151e+02,3.433233218497e+02,4.795235607237e+02,6.384254096514e+02,8.200287725354e+02,1.024333056721e+03
0.028,4.042863445664e+00,2.533684714070e+01,7.094538722326e+01,1.390273065242e+02,2.298259777806e+02,3.433251757275e+02,4.795261213136e+02,6.384285877336e+02,8.200323274124e+02,1.024336579941e+03
0.030,4.042866612574e+00,2.533690896132e+01,7.094564170894e+01,1.390279209834e+02,2.298271043688e+02,3.433269059302e+02,4.795284438540e+02,6.384313539415e+02,8.200352273910e+02,1.024339132803e+03
0.032,4.042869770378e+00,2.533697009069e+01,7.094589093352e+01,1.390285150872e+02,2.298281753151e+02,3.433285129620e+02,4.795305306503e+02,6.384337156260e+02,8.200374914606e+02,1.024340757711e+03
0.034,4.042872919073e+00,2.533703052828e+01,7.094613489048e+01,1.390290888215e+02,2.298291906971e+02,3.433299975057e+02,4.795323845713e+02,6.384356815749e+02,8.200391417386e+02,1.024341503044e+03
0.036,4.042876058656e+00,2.533709027356e+01,7.094637357367e+01,1.390296421786e+02,2.298301506386e+02,3.433313604346e+02,4.795340090720e+02,6.384372620422e+02,8.200402034530e+02,1.024341422934e+03
0.038,4.042879189123e+00,2.533714932600e+01,7.094660697744e+01,1.390301751591e+02,2.298310553128e+02,3.433326028223e+02,4.795354082128e+02,6.384384687585e+02,8.200407048794e+02,1.024340576947e+03
0.040,4.042882310470e+00,2.533720768505e+01,7.094683509670e+01,1.390306877716e+02,2.298319049454e+02,3.433337259512e+02,4.795365866710e+02,6.384393149255e+02,8.200406772325e+02,1.024339029656e+03
0.042,4.042885422693e+00,2.533726535018e+01,7.094705792703e+01,1.390311800341e+02,2.298326998180e+02,3.433347313198e+02,4.795375497489e+02,6.384398151925e+02,8.200401545159e+02,1.024336850134e+03
0.044,4.042888525788e+00,2.533732232084e+01,7.094727546475e+01,1.390316519743e+02,2.298334402703e+02,3.433356206481e+02,4.795383033749e+02,6.384399856173e+02,8.200391733302e+02,1.024334111351e+03
