x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.039750710669e+00,2.531668597563e+01,7.088744990992e+01,1.389111066096e+02,2.296300304958e+02,3.430275014212e+02,4.791045481075e+02,6.378610514395e+02,8.192971468478e+02,1.023412698721e+03
0.002,4.039770870994e+00,2.531712328365e+01,7.088945394943e+01,1.389165910112e+02,2.296416495244e+02,3.430486477205e+02,4.791393413833e+02,6.379143288757e+02,8.193744533422e+02,1.023520277079e+03
0.004,4.039790975739e+00,2.531755639004e+01,7.089142627761e+01,1.389219534274e+02,2.296529351778e+02,3.430690499336e+02,4.791726827861e+02,6.379650321444e+02,8.194475117143e+02,1.023621224768e+03
0.006,4.039811024904e+00,2.531798529428e+01,7.089336688362e+01,1.389271937792e+02,2.296638871117e+02,3.430887069540e+02,4.792045694095e+02,6.380131546417e+02,8.195163085052e+02,1.023715516594e+03
0.008,4.039831018484e+00,2.531840999555e+01,7.089527575025e+01,1.389323119440e+02,2.296745048035e+02,3.431076171412e+02,4.792349970607e+02,6.380586871169e+02,8.195808254596e+02,1.023803119566e+03
0.010,4.039850956474e+00,2.531883049273e+01,7.089715285458e+01,1.389373077628e+02,2.296847875934e+02,3.431257784895e+02,4.792639607920e+02,6.381016190940e+02,8.196410428746e+02,1.023884000060e+03
0.012,4.039870838869e+00,2.531924678441e+01,7.089899816873e+01,1.389421810473e+02,2.296947347256e+02,3.431431887892e+02,4.792914554075e+02,6.381419402131e+02,8.196969427305e+02,1.023958130430e+03
0.014,4.039890665660e+00,2.531965886894e+01,7.090081166052e+01,1.389469315868e+02,2.297043453876e+02,3.431598457813e+02,4.793174759438e+02,6.381796414896e+02,8.197485115916e+02,1.024025495056e+03
0.016,4.039910436839e+00,2.532006674443e+01,7.090259329416e+01,1.389515591554e+02,2.297136187481e+02,3.431757473060e+02,4.793420181243e+02,6.382147164877e+02,8.197957432697e+02,1.024086095798e+03
0.018,4.039930152395e+00,2.532047040876e+01,7.090434303089e+01,1.389560635183e+02,2.297225539937e+02,3.431908914433e+02,4.793650787856e+02,6.382471624063e+02,8.198386412410e+02,1.024139956838e+03
0.020,4.039949812317e+00,2.532086985962e+01,7.090606082965e+01,1.389604444384e+02,2.297311503641e+02,3.432052766474e+02,4.793866562768e+02,6.382769810725e+02,8.198772208056e+02,1.024187128868e+03
0.022,4.039969416592e+00,2.532126509452e+01,7.090774664771e+01,1.389647016828e+02,2.297394071860e+02,3.432189018727e+02,4.794067508287e+02,6.383041798412e+02,8.199115109815e+02,1.024227692620e+03
0.024,4.039988965207e+00,2.532165611079e+01,7.090940044129e+01,1.389688350283e+02,2.297473239055e+02,3.432317666933e+02,4.794253648940e+02,6.383287723974e+02,8.199415561241e+02,1.024261761711e+03
0.026,4.040008458146e+00,2.532204290565e+01,7.091102216618e+01,1.389728442681e+02,2.297549001188e+02,3.432438714139e+02,4.794425034556e+02,6.383507794575e+02,8.199674172656e+02,1.024289484783e+03
0.028,4.040027895393e+00,2.532242547617e+01,7.091261177836e+01,1.389767292167e+02,2.297621356021e+02,3.432552171736e+02,4.794581743051e+02,6.383702293685e+02,8.199891731667e+02,1.024311046945e+03
0.030,4.040047276930e+00,2.532280381932e+01,7.091416923455e+01,1.389804897162e+02,2.297690303388e+02,3.432658060405e+02,4.794723882871e+02,6.383871586031e+02,8.200069210798e+02,1.024326670498e+03
0.032,4.040066602739e+00,2.532317793197e+01,7.091569449281e+01,1.389841256409e+02,2.297755845460e+02,3.432756410994e+02,4.794851595124e+02,6.384016121477e+02,8.200207772200e+02,1.024336614962e+03
0.034,4.040085872801e+00,2.532354781094e+01,7.091718751310e+01,1.389876369030e+02,2.297817986994e+02,3.432847265295e+02,4.794965055367e+02,6.384136437852e+02,8.200308769462e+02,1.024341176410e+03
0.036,4.040105087094e+00,2.532391345296e+01,7.091864825784e+01,1.389910234573e+02,2.297876735560e+02,3.432930676752e+02,4.795064475060e+02,6.384233162687e+02,8.200373746546e+02,1.024340686138e+03
