x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.041056417845e+00,2.532486870296e+01,7.091036178214e+01,1.389560047337e+02,2.297042503178e+02,3.431383729829e+02,4.792594017832e+02,6.380672175651e+02,8.195619558028e+02,1.023743480841e+03
0.002,4.041069398814e+00,2.532515027986e+01,7.091165215689e+01,1.389595360679e+02,2.297117316580e+02,3.431519888076e+02,4.792818047172e+02,6.381015222075e+02,8.196117324406e+02,1.023812749135e+03
0.004,4.041082343996e+00,2.532542915138e+01,7.091292211313e+01,1.389629888574e+02,2.297189983421e+02,3.431651255251e+02,4.793032728091e+02,6.381341693771e+02,8.196587737681e+02,1.023877748028e+03
0.006,4.041095253390e+00,2.532570531720e+01,7.091417164389e+01,1.389663630512e+02,2.297260501487e+02,3.431777824227e+02,4.793238041877e+02,6.381651548220e+02,8.197030711194e+02,1.023938461298e+03
0.008,4.041108126994e+00,2.532597877678e+01,7.091540073808e+01,1.389696585704e+02,2.297328867412e+02,3.431899584442e+02,4.793433961532e+02,6.381944725855e+02,8.197446127401e+02,1.023994867703e+03
0.010,4.041120964804e+00,2.532624952939e+01,7.091660938093e+01,1.389728753126e+02,2.297395076947e+02,3.432016522982e+02,4.793620455199e+02,6.382221159225e+02,8.197833859438e+02,1.024046945592e+03
0.012,4.041133766817e+00,2.532651757415e+01,7.091779755451e+01,1.389760131565e+02,2.297459125227e+02,3.432128625618e+02,4.793797489422e+02,6.382480781622e+02,8.198193791279e+02,1.024094677165e+03
0.014,4.041146533028e+00,2.532678290997e+01,7.091896523809e+01,1.389790719666e+02,2.297521007019e+02,3.432235877805e+02,4.793965032243e+02,6.382723535196e+02,8.198525836411e+02,1.024138052364e+03
0.016,4.041159263431e+00,2.532704553565e+01,7.092011240862e+01,1.389820515973e+02,2.297580716971e+02,3.432338265637e+02,4.794123056124e+02,6.382949378509e+02,8.198829954992e+02,1.024177072387e+03
0.018,4.041171958019e+00,2.532730544982e+01,7.092123904116e+01,1.389849518975e+02,2.297638249846e+02,3.432435776751e+02,4.794271540697e+02,6.383158293523e+02,8.199106169402e+02,1.024211752804e+03
0.020,4.041184616785e+00,2.532756265099e+01,7.092234510925e+01,1.389877727145e+02,2.297693600747e+02,3.432528401193e+02,4.794410475333e+02,6.383350292004e+02,8.199354578159e+02,1.024242126255e+03
0.022,4.041197239721e+00,2.532781713755e+01,7.092343058538e+01,1.389905138983e+02,2.297746765340e+02,3.432616132232e+02,4.794539861517e+02,6.383525421308e+02,8.199575368104e+02,1.024268244723e+03
0.024,4.041209826817e+00,2.532806890780e+01,7.092449544137e+01,1.389931753053e+02,2.297797740059e+02,3.432698967124e+02,4.794659715042e+02,6.383683769552e+02,8.199768824836e+02,1.024290181364e+03
0.026,4.041222378065e+00,2.532831795994e+01,7.092553964876e+01,1.389957568022e+02,2.297846522303e+02,3.432776907833e+02,4.794770067992e+02,6.383825470125e+02,8.199935341334e+02,1.024308031887e+03
0.028,4.041234893453e+00,2.532856429208e+01,7.092656317920e+01,1.389982582697e+02,2.297893110631e+02,3.432849961691e+02,4.794870970536e+02,6.383950705551e+02,8.200075424728e+02,1.024321915480e+03
0.030,4.041247372971e+00,2.532880790227e+01,7.092756600481e+01,1.390006796060e+02,2.297937504936e+02,3.432918142016e+02,4.794962492502e+02,6.384059710672e+02,8.200189701212e+02,1.024331975281e+03
0.032,4.041259816606e+00,2.532904878850e+01,7.092854809860e+01,1.390030207302e+02,2.297979706616e+02,3.432981468670e+02,4.795044724747e+02,6.384152775150e+02,8.200278919082e+02,1.024338378390e+03
0.034,4.041272224346e+00,2.532928694871e+01,7.092950943478e+01,1.390052815859e+02,2.298019718735e+02,3.433039968563e+02,4.795117780309e+02,6.384230245286e+02,8.200343949894e+02,1.024341315447e+03
