x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.031599821541e+00,2.526560522455e+01,7.074442233566e+01,1.386308296544e+02,2.291667125703e+02,3.423353846713e+02,4.781378726040e+02,6.365740574932e+02,8.176440744962e+02,1.021347788276e+03
0.002,4.031664799062e+00,2.526701468554e+01,7.075088143398e+01,1.386485060971e+02,2.292041611575e+02,3.424035400277e+02,4.782500127035e+02,6.367457727703e+02,8.178932363755e+02,1.021694517563e+03
0.004,4.031729597450e+00,2.526841060450e+01,7.075723832546e+01,1.386657893758e+02,2.292405352631e+02,3.424692971650e+02,4.783574733591e+02,6.369091914041e+02,8.181287063886e+02,1.022019875946e+03
0.006,4.031794216698e+00,2.526979297979e+01,7.076349297515e+01,1.386826792363e+02,2.292758337780e+02,3.425326525165e+02,4.784602452035e+02,6.370642921100e+02,8.183504411581e+02,1.022323782217e+03
0.008,4.031858656794e+00,2.527116180873e+01,7.076964532754e+01,1.386991752834e+02,2.293100550171e+02,3.425936007955e+02,4.785583147227e+02,6.372110450726e+02,8.185583818453e+02,1.022606130051e+03
0.010,4.031922917723e+00,2.527251708771e+01,7.077569530880e+01,1.387152770043e+02,2.293431968543e+02,3.426521355371e+02,4.786516659704e+02,6.373494165271e+02,8.187524649479e+02,1.022866811072e+03
0.012,4.031986999465e+00,2.527385881221e+01,7.078164282905e+01,1.387309837922e+02,2.293752568536e+02,3.427082496192e+02,4.787402822002e+02,6.374793730836e+02,8.189326323873e+02,1.023105736176e+03
0.014,4.032050901994e+00,2.527518697691e+01,7.078748778459e+01,1.387462949683e+02,2.294062323962e+02,3.427619357615e+02,4.788241474146e+02,6.376008857840e+02,8.190988408595e+02,1.023322855020e+03
0.016,4.032114625283e+00,2.527650157568e+01,7.079323006005e+01,1.387612098042e+02,2.294361208027e+02,3.428131870024e+02,4.789032478297e+02,6.377139338859e+02,8.192510704200e+02,1.023518173602e+03
0.018,4.032178169298e+00,2.527780260173e+01,7.079886953051e+01,1.387757275434e+02,2.294649194515e+02,3.428619971540e+02,4.789775732503e+02,6.378185083606e+02,8.193893322726e+02,1.023691769856e+03
0.020,4.032241534002e+00,2.527909004759e+01,7.080440606363e+01,1.387898474218e+02,2.294926258921e+02,3.429083612338e+02,4.790471183550e+02,6.379146150972e+02,8.195136757303e+02,1.023843807168e+03
0.022,4.032304719354e+00,2.528036390524e+01,7.080983952169e+01,1.388035686882e+02,2.295192379545e+02,3.429522758721e+02,4.791118838881e+02,6.380022778011e+02,8.196241943189e+02,1.023974545740e+03
0.024,4.032367725310e+00,2.528162416612e+01,7.081516976359e+01,1.388168906239e+02,2.295447538535e+02,3.429937396960e+02,4.791718777541e+02,6.380815405792e+02,8.197210309982e+02,1.024084351763e+03
0.026,4.032430551820e+00,2.528287082120e+01,7.082039664686e+01,1.388298125616e+02,2.295691722879e+02,3.430327536878e+02,4.792271160140e+02,6.381524702013e+02,8.198043824766e+02,1.024173704319e+03
0.028,4.032493198833e+00,2.528410386107e+01,7.082552002958e+01,1.388423339042e+02,2.295924925358e+02,3.430693215185e+02,4.792776237796e+02,6.382151580313e+02,8.198745026035e+02,1.024243200017e+03
0.030,4.032555666292e+00,2.528532327594e+01,7.083053977227e+01,1.388544541422e+02,2.296147145438e+02,3.431034498541e+02,4.793234360040e+02,6.382697216217e+02,8.199317048271e+02,1.024293555344e+03
0.032,4.032617954138e+00,2.528652905577e+01,7.083545573977e+01,1.388661728710e+02,2.296358390121e+02,3.431351486364e+02,4.793645981666e+02,6.383163059660e+02,8.199763637132e+02,1.024325606742e+03
0.034,4.032680062306e+00,2.528772119025e+01,7.084026780303e+01,1.388774898073e+02,2.296558674735e+02,3.431644313361e+02,4.794011668501e+02,6.383550844076e+02,8.200089155288e+02,1.024340308471e+03
0.036,4.032741990731e+00,2.528889966893e+01,7.084497584090e+01,1.388884048052e+02,2.296748023679e+02,3.431913151775e+02,4.794332102092e+02,6.383862592034e+02,8.200298578992e+02,1.024338728302e+03
0.038,4.032803739341e+00,2.529006448121e+01,7.084957974185e+01,1.388989178712e+02,2.296926471110e+02,3.432158213369e+02,4.794608083297e+02,6.384100617431e+02,8.200397485591e+02,1.024322041152e+03
0.040,4.032865308065e+00,2.529121561643e+01,7.085407940566e+01,1.389090291784e+02,2.297094061576e+02,3.432379751105e+02,4.794840534775e+02,6.384267524291e+02,8.200392032232e+02,1.024291520765e+03
0.042,4.032926696824e+00,2.529235306394e+01,7.085847474509e+01,1.389187390808e+02,2.297250850592e+02,3.432578060555e+02,4.795030502381e+02,6.384366202218e+02,8.200288926118e+02,1.024248529579e+03
0.044,4.032987905539e+00,2.529347681310e+01,7.086276568743e+01,1.389280481260e+02,2.297396905169e+02,3.432753481011e+02,4.795179155472e+02,6.384399818586e+02,8.200095386750e+02,1.024194506952e+03
0.046,4.033048934128e+00,2.529458685338e+01,7.086695217611e+01,1.389369570677e+02,2.297532304271e+02,3.432906396313e+02,4.795287786132e+02,6.384371807576e+02,8.199819100658e+02,1.024130955915e+03
0.048,4.033109782503e+00,2.529568317440e+01,7.087103417215e+01,1.389454668773e+02,2.297657139228e+02,3.433037235389e+02,4.795357807338e+02,6.384285856190e+02,8.199468169209e+02,1.024059428673e+03
0.050,4.033170450576e+00,2.529676576597e+01,7.087501165571e+01,1.389535787548e+02,2.297771514088e+02,3.433146472500e+02,4.795390750092e+02,6.384145887383e+02,8.199051050158e+02,1.023981511054e+03
0.052,4.033230938255e+00,2.529783461815e+01,7.087888462742e+01,1.389612941391e+02,2.297875545905e+02,3.433234627212e+02,4.795388259545e+02,6.383956040506e+02,8.198576493644e+02,1.023898806155e+03
