x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.003233462254e+00,2.508783628241e+01,7.024666417753e+01,1.376554223481e+02,2.275542942765e+02,3.399267109567e+02,4.747736918114e+02,6.320951188022e+02,8.118911261352e+02,1.014161579425e+03
0.002,4.003454410575e+00,2.509262898665e+01,7.026862757202e+01,1.377155289859e+02,2.276816337370e+02,3.401584651279e+02,4.751550108627e+02,6.326790161488e+02,8.127383714276e+02,1.015340591066e+03
0.004,4.003674749775e+00,2.509737564280e+01,7.029024342432e+01,1.377742987164e+02,2.278053195504e+02,3.403820644410e+02,4.755204180225e+02,6.332347017483e+02,8.135390591603e+02,1.016446933495e+03
0.006,4.003894479831e+00,2.510207624530e+01,7.031151161561e+01,1.378317306753e+02,2.279253479459e+02,3.405974967675e+02,4.758698814379e+02,6.337621032244e+02,8.142930418329e+02,1.017480330572e+03
0.008,4.004113600704e+00,2.510673078506e+01,7.033243195709e+01,1.378878235186e+02,2.280417131933e+02,3.408047441304e+02,4.762033551568e+02,6.342611191936e+02,8.150001193715e+02,1.018440420749e+03
0.010,4.004332112339e+00,2.511133924980e+01,7.035300419773e+01,1.379425755028e+02,2.281544080630e+02,3.410037845471e+02,4.765207849556e+02,6.347316348433e+02,8.156600758445e+02,1.019326835512e+03
0.012,4.004550014668e+00,2.511590162417e+01,7.037322803193e+01,1.379959845641e+02,2.282634242721e+02,3.411945937997e+02,4.768221138896e+02,6.351735366342e+02,8.162727137623e+02,1.020139271870e+03
0.014,4.004767307608e+00,2.512041789001e+01,7.039310310706e+01,1.380480483946e+02,2.283687529151e+02,3.413771471318e+02,4.771072875622e+02,6.355867260984e+02,8.168378858746e+02,1.020877558635e+03
0.016,4.004983991061e+00,2.512488802656e+01,7.041262903078e+01,1.380987645178e+02,2.284703848815e+02,3.415514208719e+02,4.773762591020e+02,6.359711327036e+02,8.173555243628e+02,1.021541716209e+03
0.018,4.005200064914e+00,2.512931201067e+01,7.043180537836e+01,1.381481303607e+02,2.285683112564e+02,3.417173939788e+02,4.776289938415e+02,6.363267257490e+02,8.178256673242e+02,1.022132009596e+03
0.020,4.005415529043e+00,2.513368981699e+01,7.045063169977e+01,1.381961433254e+02,2.286625237075e+02,3.418750495095e+02,4.778654736865e+02,6.366535252593e+02,8.182484824413e+02,1.022648994364e+03
0.022,4.005630383307e+00,2.513802141819e+01,7.046910752671e+01,1.382428008573e+02,2.287530148561e+02,3.420243760063e+02,4.780857011676e+02,6.369516118424e+02,8.186242877379e+02,1.023093555308e+03
0.024,4.005844627555e+00,2.514230678519e+01,7.048723237940e+01,1.382881005127e+02,2.288397786312e+02,3.421653688006e+02,4.782897031630e+02,6.372211354782e+02,8.189535693315e+02,1.023466937609e+03
0.026,4.006058261621e+00,2.514654588731e+01,7.050500577338e+01,1.383320400229e+02,2.289228106089e+02,3.422980312329e+02,4.784775342864e+02,6.374623232096e+02,8.192369961058e+02,1.023770770331e+03
0.028,4.006271285326e+00,2.515073869250e+01,7.052242722606e+01,1.383746173570e+02,2.290021083341e+02,3.424223757854e+02,4.786492799271e+02,6.376754857089e+02,8.194754312453e+02,1.024007082176e+03
0.030,4.006483698480e+00,2.515488516754e+01,7.053949626318e+01,1.384158307826e+02,2.290776716255e+02,3.425384251255e+02,4.788050589395e+02,6.378610226988e+02,8.196699405931e+02,1.024178309466e+03
0.032,4.006695500879e+00,2.515898527822e+01,7.055621242512e+01,1.384556789239e+02,2.291495028638e+02,3.426462130593e+02,4.789450259705e+02,6.380194272128e+02,8.198217978160e+02,1.024287296430e+03
0.034,4.006906692308e+00,2.516303898954e+01,7.057257527306e+01,1.384941608179e+02,2.292176072612e+02,3.427457853914e+02,4.790693734229e+02,6.381512886848e+02,8.199324863875e+02,1.024337287907e+03
0.036,4.007117272539e+00,2.516704626591e+01,7.058858439506e+01,1.385312759683e+02,2.292819931144e+02,3.428372006923e+02,4.791783330489e+02,6.382572948645e+02,8.200036984236e+02,1.024331914731e+03
0.038,4.007327241335e+00,2.517100707131e+01,7.060423941186e+01,1.385670243969e+02,2.293426720378e+02,3.429205309682e+02,4.792721771704e+02,6.383382325655e+02,8.200373304346e+02,1.024275172066e+03
0.040,4.007536598446e+00,2.517492136953e+01,7.061953998271e+01,1.386014066927e+02,2.293996591793e+02,3.429958622367e+02,4.793512195268e+02,6.383949872553e+02,8.200354760848e+02,1.024171391124e+03
0.042,4.007745343610e+00,2.517878912429e+01,7.063448581091e+01,1.386344240592e+02,2.294529734169e+02,3.430632950029e+02,4.794158157486e+02,6.384285415089e+02,8.200004160790e+02,1.024025204718e+03
0.044,4.007953476556e+00,2.518261029945e+01,7.064907664924e+01,1.386660783586e+02,2.295026375359e+02,3.431229446394e+02,4.794663634616e+02,6.384399723544e+02,8.199346053222e+02,1.023841507208e+03
0.046,4.008160997001e+00,2.518638485921e+01,7.066331230531e+01,1.386963721536e+02,2.295486783877e+02,3.431749416666e+02,4.795033020235e+02,6.384304475443e+02,8.198406575272e+02,1.023625409477e+03
0.048,4.008367904653e+00,2.519011276826e+01,7.067719264666e+01,1.387253087475e+02,2.295911270281e+02,3.432194319358e+02,4.795271119005e+02,6.384012207991e+02,8.197213274680e+02,1.023382189610e+03
