x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.028768794641e+00,2.524786348152e+01,7.069474494417e+01,1.385334817962e+02,2.290057895728e+02,3.420949935795e+02,4.778021197418e+02,6.361270492680e+02,8.170699172207e+02,1.020630588357e+03
0.002,4.028849338401e+00,2.524961059785e+01,7.070275140636e+01,1.385553928684e+02,2.290522094728e+02,3.421794764681e+02,4.779411245103e+02,6.363399012492e+02,8.173787691791e+02,1.021060381308e+03
0.004,4.028929660114e+00,2.525134092797e+01,7.071063117669e+01,1.385768165889e+02,2.290972974845e+02,3.422609866121e+02,4.780743288112e+02,6.365424690146e+02,8.176706492007e+02,1.021463683668e+03
0.006,4.029009759772e+00,2.525305446984e+01,7.071838421184e+01,1.385977526427e+02,2.291410522334e+02,3.423395195901e+02,4.782017210331e+02,6.367347261805e+02,8.179455035164e+02,1.021840394774e+03
0.008,4.029089637360e+00,2.525475122017e+01,7.072601044298e+01,1.386182005397e+02,2.291834716306e+02,3.424150688489e+02,4.783232844246e+02,6.369166357889e+02,8.182032591917e+02,1.022190382828e+03
0.010,4.029169292859e+00,2.525643117445e+01,7.073350977861e+01,1.386381596445e+02,2.292245530406e+02,3.424876263751e+02,4.784389992192e+02,6.370881559864e+02,8.184438375118e+02,1.022513513494e+03
0.012,4.029248726244e+00,2.525809432711e+01,7.074088210733e+01,1.386576292046e+02,2.292642934439e+02,3.425571833403e+02,4.785488446585e+02,6.372492453837e+02,8.186671664844e+02,1.022809676320e+03
0.014,4.029327937483e+00,2.525974067152e+01,7.074812730058e+01,1.386766083789e+02,2.293026895943e+02,3.426237307200e+02,4.786528009131e+02,6.373998680857e+02,8.188731924314e+02,1.023078808902e+03
0.016,4.029406926543e+00,2.526137020011e+01,7.075524521535e+01,1.386950962644e+02,2.293397381706e+02,3.426872598849e+02,4.787508508964e+02,6.375399983808e+02,8.190618906305e+02,1.023320918678e+03
0.018,4.029485693381e+00,2.526298290444e+01,7.076223569681e+01,1.387130919232e+02,2.293754359230e+02,3.427477631649e+02,4.788429819710e+02,6.376696250774e+02,8.192332749694e+02,1.023536102250e+03
0.020,4.029564237952e+00,2.526457877528e+01,7.076909858090e+01,1.387305944084e+02,2.294097798141e+02,3.428052343835e+02,4.789291875409e+02,6.377887554753e+02,8.193874065747e+02,1.023724562144e+03
0.022,4.029642560205e+00,2.526615780266e+01,7.077583369691e+01,1.387476027887e+02,2.294427671540e+02,3.428596693640e+02,4.790094685285e+02,6.378974189589e+02,8.195244013776e+02,1.023886620900e+03
0.024,4.029720660085e+00,2.526771997598e+01,7.078244086994e+01,1.387641161732e+02,2.294743957297e+02,3.429110664045e+02,4.790838347320e+02,6.379956702015e+02,8.196444365857e+02,1.024022732432e+03
0.026,4.029798537531e+00,2.526926528406e+01,7.078891992339e+01,1.387801337349e+02,2.295046639285e+02,3.429594267228e+02,4.791523060600e+02,6.380835919685e+02,8.197477560318e+02,1.024133490594e+03
0.028,4.029876192478e+00,2.527079371520e+01,7.079527068135e+01,1.387956547335e+02,2.295335708554e+02,3.430047548691e+02,4.792149136401e+02,6.381612975113e+02,8.198346743782e+02,1.024219634922e+03
0.030,4.029953624857e+00,2.527230525731e+01,7.080149297091e+01,1.388106785375e+02,2.295611164443e+02,3.430470591065e+02,4.792717007990e+02,6.382289325436e+02,8.199055801637e+02,1.024282053544e+03
0.032,4.030030834594e+00,2.527379989791e+01,7.080758662454e+01,1.388252046454e+02,2.295873015630e+02,3.430863517585e+02,4.793227239112e+02,6.382866767941e+02,8.199609376866e+02,1.024321783286e+03
0.034,4.030107821609e+00,2.527527762425e+01,7.081355148227e+01,1.388392327060e+02,2.296121281118e+02,3.431226495226e+02,4.793680531146e+02,6.383347451330e+02,8.200012877274e+02,1.024340007012e+03
0.036,4.030184585821e+00,2.527673842334e+01,7.081938739393e+01,1.388527625385e+02,2.296355991148e+02,3.431559737499e+02,4.794077728913e+02,6.383733882703e+02,8.200272471242e+02,1.024338048292e+03
0.038,4.030261127142e+00,2.527818228206e+01,7.082509422127e+01,1.388657941508e+02,2.296577188061e+02,3.431863506893e+02,4.794419825128e+02,6.384028930285e+02,8.200395072248e+02,1.024317363511e+03
