x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.013598030548e+00,2.515278992425e+01,7.042853624548e+01,1.380118190058e+02,2.281434435345e+02,3.408067979273e+02,4.760029042467e+02,6.337316441482e+02,8.139931521857e+02,1.016787293626e+03
0.002,4.013761989885e+00,2.515634645096e+01,7.044483464310e+01,1.380564223973e+02,2.282379384524e+02,3.409787759717e+02,4.762858700479e+02,6.341649374231e+02,8.146218683282e+02,1.017662203947e+03
0.004,4.013925497210e+00,2.515986880674e+01,7.046087513975e+01,1.381000337086e+02,2.283297221049e+02,3.411447025327e+02,4.765570280962e+02,6.345772955792e+02,8.152160354568e+02,1.018483188555e+03
0.006,4.014088552507e+00,2.516335698743e+01,7.047665764726e+01,1.381426522985e+02,2.284187916937e+02,3.413045686098e+02,4.768163547545e+02,6.349686649082e+02,8.157755441158e+02,1.019250042535e+03
0.008,4.014251155748e+00,2.516681098630e+01,7.049218202551e+01,1.381842771696e+02,2.285051429666e+02,3.414583608630e+02,4.770638159232e+02,6.353389701764e+02,8.163002458363e+02,1.019962497591e+03
0.010,4.014413306890e+00,2.517023079424e+01,7.050744808824e+01,1.382249070281e+02,2.285887705587e+02,3.416060629797e+02,4.772993713643e+02,6.356881261846e+02,8.167899803814e+02,1.020620280260e+03
0.012,4.014575005885e+00,2.517361639985e+01,7.052245560866e+01,1.382645403424e+02,2.286696683235e+02,3.417476569882e+02,4.775229788210e+02,6.360160486786e+02,8.172446012001e+02,1.021223165703e+03
0.014,4.014736252669e+00,2.517696778965e+01,7.053720432509e+01,1.383031754000e+02,2.287478296527e+02,3.418831245179e+02,4.777345979270e+02,6.363226645883e+02,8.176639990220e+02,1.021771026885e+03
0.016,4.014897047171e+00,2.518028494825e+01,7.055169394639e+01,1.383408103631e+02,2.288232477853e+02,3.420124480026e+02,4.779341939005e+02,6.366079215736e+02,8.180481235210e+02,1.022263878945e+03
0.018,4.015057389307e+00,2.518356785847e+01,7.056592415739e+01,1.383774433224e+02,2.288959161061e+02,3.421356118283e+02,4.781217410157e+02,6.368717968524e+02,8.183970029680e+02,1.022701918535e+03
0.020,4.015217278983e+00,2.518681650148e+01,7.057989462413e+01,1.384130723501e+02,2.289658284318e+02,3.422526034221e+02,4.782972258455e+02,6.371143052846e+02,8.187107617954e+02,1.023085557927e+03
0.022,4.015376716097e+00,2.519003085702e+01,7.059360499909e+01,1.384476955504e+02,2.290329792869e+02,3.423634142816e+02,4.784606502677e+02,6.373355066867e+02,8.189896359993e+02,1.023415453702e+03
0.024,4.015535700536e+00,2.519321090350e+01,7.060705492625e+01,1.384813111100e+02,2.290973641663e+02,3.424680409423e+02,4.786120342279e+02,6.375355123547e+02,8.192339863133e+02,1.023692529872e+03
0.026,4.015694232176e+00,2.519635661816e+01,7.062024404609e+01,1.385139173453e+02,2.291589797872e+02,3.425664858831e+02,4.787514182533e+02,6.377144907704e+02,8.194443090968e+02,1.023917995317e+03
0.028,4.015852310885e+00,2.519946797720e+01,7.063317200052e+01,1.385455127492e+02,2.292178243277e+02,3.426587583668e+02,4.788788657088e+02,6.378726724746e+02,8.196212448939e+02,1.024093355478e+03
0.030,4.016009936522e+00,2.520254495599e+01,7.064583843758e+01,1.385760960362e+02,2.292738976532e+02,3.427448752141e+02,4.789944647929e+02,6.380103540901e+02,8.197655846358e+02,1.024220418281e+03
0.032,4.016167108935e+00,2.520558752913e+01,7.065824301621e+01,1.386056661854e+02,2.293272015304e+02,3.428248615114e+02,4.790983302644e+02,6.381279014827e+02,8.198782734737e+02,1.024301294343e+03
0.034,4.016323827965e+00,2.520859567065e+01,7.067038541079e+01,1.386342224822e+02,2.293777398272e+02,3.428987512493e+02,4.791906049000e+02,6.382257520541e+02,8.199604122502e+02,1.024338391568e+03
