x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.000,4.025581663982e+00,2.522789007429e+01,7.063881882865e+01,1.384238889331e+02,2.288246247033e+02,3.418243646361e+02,4.774241338453e+02,6.356238136333e+02,8.164235389557e+02,1.019823174677e+03
0.002,4.025679731997e+00,2.523001731830e+01,7.064856729154e+01,1.384505672923e+02,2.288811443822e+02,3.419272288331e+02,4.775933824841e+02,6.358829767430e+02,8.167995891740e+02,1.020346479544e+03
0.004,4.025777529654e+00,2.523212412385e+01,7.065816149766e+01,1.384766522646e+02,2.289360423882e+02,3.420264734925e+02,4.777555686224e+02,6.361296180555e+02,8.171549747976e+02,1.020837530147e+03
0.006,4.025875056942e+00,2.523421048846e+01,7.066760139429e+01,1.385021434663e+02,2.289893170475e+02,3.421220932311e+02,4.779106781223e+02,6.363637054467e+02,8.174896303586e+02,1.021296203922e+03
0.008,4.025972313843e+00,2.523627640810e+01,7.067688689761e+01,1.385270403010e+02,2.290409658169e+02,3.422140800698e+02,4.780586905880e+02,6.365851939174e+02,8.178034670539e+02,1.021722340395e+03
0.010,4.026069300335e+00,2.523832187733e+01,7.068601789622e+01,1.385513419947e+02,2.290909854874e+02,3.423024242516e+02,4.781995819523e+02,6.367940325081e+02,8.180963890423e+02,1.022115776000e+03
0.012,4.026166016385e+00,2.524034688932e+01,7.069499425446e+01,1.385750476315e+02,2.291393723826e+02,3.423871150274e+02,4.783333269402e+02,6.369901708241e+02,8.183683086679e+02,1.022476376257e+03
0.014,4.026262461958e+00,2.524235143602e+01,7.070381581583e+01,1.385981561870e+02,2.291861225500e+02,3.424681414090e+02,4.784599014078e+02,6.371735651605e+02,8.186191605736e+02,1.022804065182e+03
0.016,4.026358637009e+00,2.524433550821e+01,7.071248240618e+01,1.386206665619e+02,2.292312319456e+02,3.425454928898e+02,4.785792845512e+02,6.373441842115e+02,8.188489146580e+02,1.023098851831e+03
0.018,4.026454541490e+00,2.524629909562e+01,7.072099383700e+01,1.386425776143e+02,2.292746966128e+02,3.426191601307e+02,4.786914609832e+02,6.375020143506e+02,8.190575878308e+02,1.023360853826e+03
0.020,4.026550175344e+00,2.524824218700e+01,7.072934990854e+01,1.386638881911e+02,2.293165128532e+02,3.426891356116e+02,4.787964226728e+02,6.376470644657e+02,8.192452545177e+02,1.023590317757e+03
0.022,4.026645538509e+00,2.525016477021e+01,7.073755041294e+01,1.386845971584e+02,2.293566773917e+02,3.427554142469e+02,4.788941707430e+02,6.377793703346e+02,8.194120558739e+02,1.023787636339e+03
0.024,4.026740630919e+00,2.525206683236e+01,7.074559513727e+01,1.387047034316e+02,2.293951875338e+02,3.428179939644e+02,4.789847171238e+02,6.378989985261e+02,8.195582076628e+02,1.023953362248e+03
0.026,4.026835452499e+00,2.525394835981e+01,7.075348386648e+01,1.387242060037e+02,2.294320413158e+02,3.428768762468e+02,4.790680860555e+02,6.380060498132e+02,8.196840067688e+02,1.024088218543e+03
0.028,4.026930003170e+00,2.525580933835e+01,7.076121638637e+01,1.387431039733e+02,2.294672376481e+02,3.429320666344e+02,4.791443154383e+02,6.381006620879e+02,8.197898363167e+02,1.024193105666e+03
0.030,4.027024282847e+00,2.525764975323e+01,7.076879248646e+01,1.387613965714e+02,2.295007764503e+02,3.429835751882e+02,4.792134580256e+02,6.381830127675e+02,8.198761693814e+02,1.024269104978e+03
0.032,4.027118291440e+00,2.525946958927e+01,7.077621196273e+01,1.387790831875e+02,2.295326587789e+02,3.430314169129e+02,4.792755824576e+02,6.382533206849e+02,8.199435712807e+02,1.024317478893e+03
0.034,4.027212028855e+00,2.526126883093e+01,7.078347462043e+01,1.387961633942e+02,2.295628869474e+02,3.430756121390e+02,4.793307741324e+02,6.383118474608e+02,8.199927004548e+02,1.024339667633e+03
0.036,4.027305494989e+00,2.526304746241e+01,7.079058027669e+01,1.388126369710e+02,2.295914646384e+02,3.431161868629e+02,4.793791359132e+02,6.383588983531e+02,8.200243079502e+02,1.024337282747e+03
0.038,4.027398689737e+00,2.526480546774e+01,7.079752876321e+01,1.388285039277e+02,2.296183970068e+02,3.431531730447e+02,4.794207886703e+02,6.383948225894e+02,8.200392355340e+02,1.024312097488e+03
0.040,4.027491612988e+00,2.526654283083e+01,7.080431992872e+01,1.388437645257e+02,2.296436907762e+02,3.431866088634e+02,4.794558716570e+02,6.384200131849e+02,8.200384124800e+02,1.024266034269e+03
0.042,4.027584264626e+00,2.526825953558e+01,7.081095364153e+01,1.388584192992e+02,2.296673543254e+02,3.432165389281e+02,4.794845427202e+02,6.384349062561e+02,8.200228510800e+02,1.024201149364e+03
0.044,4.027676644531e+00,2.526995556596e+01,7.081742979193e+01,1.388724690748e+02,2.296893977678e+02,3.432430144471e+02,4.795069783462e+02,6.384399798422e+02,8.199936409449e+02,1.024119615139e+03
0.046,4.027768752578e+00,2.527163090607e+01,7.082374829452e+01,1.388859149898e+02,2.297098330214e+02,3.432660933519e+02,4.795233735441e+02,6.384357522508e+02,8.199519421723e+02,1.024023700060e+03
0.048,4.027860588636e+00,2.527328554024e+01,7.082990909050e+01,1.388987585105e+02,2.297286738702e+02,3.432858403786e+02,4.795339415691e+02,6.384227799463e+02,8.198989774699e+02,1.023915746809e+03
0.050,4.027952152571e+00,2.527491945309e+01,7.083591214989e+01,1.389110014480e+02,2.297459360177e+02,3.433023271060e+02,4.795389134894e+02,6.384016550051e+02,8.198360233331e+02,1.023798148813e+03
0.052,4.028043444245e+00,2.527653262962e+01,7.084175747368e+01,1.389226459740e+02,2.297616371305e+02,3.433156319496e+02,4.795385376010e+02,6.383730021631e+02,8.197644003863e+02,1.023673325563e+03
0.054,4.028134463514e+00,2.527812505527e+01,7.084744509586e+01,1.389336946345e+02,2.297757968743e+02,3.433258401146e+02,4.795330786959e+02,6.383374754857e+02,8.196854630032e+02,1.023543697067e+03
0.056,4.028225210232e+00,2.527969671603e+01,7.085297508550e+01,1.389441503636e+02,2.297884369402e+02,3.433330435052e+02,4.795228171897e+02,6.382957546918e+02,8.196005883345e+02,1.023411657829e+03
0.058,4.028315684248e+00,2.528124759845e+01,7.085834754860e+01,1.389540164946e+02,2.297995810632e+02,3.433373405948e+02,4.795080481153e+02,6.382485411686e+02,8.195111648703e+02,1.023279550738e+03
0.060,4.028405885406e+00,2.528277768978e+01,7.086356263001e+01,1.389632967717e+02,2.298092550307e+02,3.433388362537e+02,4.794890799903e+02,6.381965537134e+02,8.194185806760e+02,1.023149641245e+03
0.062,4.028495813548e+00,2.528428697799e+01,7.086862051515e+01,1.389719953586e+02,2.298174866837e+02,3.433376415403e+02,4.794662335672e+02,6.381405240430e+02,8.193242114403e+02,1.023024092210e+03
0.064,4.028585468511e+00,2.528577545188e+01,7.087352143181e+01,1.389801168479e+02,2.298243059090e+02,3.433338734521e+02,4.794398404750e+02,6.380811921133e+02,8.192294084758e+02,1.022904939800e+03
0.066,4.028674850129e+00,2.528724310111e+01,7.087826565171e+01,1.389876662678e+02,2.298297446218e+02,3.433276546427e+02,4.794102417615e+02,6.380193012910e+02,8.191354868151e+02,1.022794070780e+03
0.068,4.028763958233e+00,2.528868991630e+01,7.088285349210e+01,1.389946490882e+02,2.298338367420e+02,3.433191131019e+02,4.793777863478e+02,6.379555934237e+02,8.190437135422e+02,1.022693201541e+03
