x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,1.337693841476e-03,8.383184345195e-03,2.347315762133e-02,4.599801946527e-02,7.603802799042e-02,1.135876466080e-01,1.586472159616e-01,2.112166966081e-01,2.712961333932e-01,3.388854814115e-01
0.002,1.330338608603e-03,8.223638187107e-03,2.274200981018e-02,4.399710668965e-02,7.179897615183e-02,1.058726936638e-01,1.459533407136e-01,1.917791152678e-01,2.430918619039e-01,2.996369135052e-01
0.004,1.323003652984e-03,8.065624940956e-03,2.202243146346e-02,4.204069872964e-02,6.768155196378e-02,9.842921089775e-02,1.337891624860e-01,1.732806855325e-01,2.164374627659e-01,2.628074586552e-01
0.006,1.315688975402e-03,7.909144792824e-03,2.131442653659e-02,4.012882435688e-02,6.368588095394e-02,9.125760206561e-02,1.221557416450e-01,1.557238167600e-01,1.913378461786e-01,2.284063094448e-01
0.008,1.308394577151e-03,7.754198044251e-03,2.061800131483e-02,3.826152831609e-02,5.981215387780e-02,8.435846560335e-02,1.110546079019e-01,1.391118839483e-01,1.677996724718e-01,1.964455015924e-01
0.010,1.301120460030e-03,7.600785104940e-03,1.993316415456e-02,3.643886864275e-02,5.606061140236e-02,7.773253330003e-02,1.004875663339e-01,1.234487091344e-01,1.458301298825e-01,1.669373026780e-01
0.012,1.293866626329e-03,7.448906485536e-03,1.925992522881e-02,3.466091404385e-02,5.243152926545e-02,7.138061136046e-02,9.045651258873e-02,1.087380719745e-01,1.254357927130e-01,1.398917990639e-01
0.014,1.286633078828e-03,7.298562790473e-03,1.859829627710e-02,3.292774134252e-02,4.892520391699e-02,6.530352390211e-02,8.096325750142e-02,9.498325040243e-02,1.066215628377e-01,1.153146895188e-01
0.016,1.279419820781e-03,7.149754710901e-03,1.794829035956e-02,3.123943298700e-02,4.554193864984e-02,5.950205893986e-02,7.200936138795e-02,8.218659239609e-02,8.938969789116e-02,9.320529488582e-02
0.018,1.272226855912e-03,7.002483017676e-03,1.730992161536e-02,2.959607462486e-02,4.228203022915e-02,5.397691691884e-02,6.359597830771e-02,7.034911996435e-02,7.373892964116e-02,7.355479333211e-02
0.020,1.265054188405e-03,6.856748554428e-03,1.668320502554e-02,2.799775274328e-02,3.914575602983e-02,4.872866186046e-02,5.572371060473e-02,5.947016649662e-02,5.966367604008e-02,5.634469032662e-02
0.022,1.257901822895e-03,6.712552230698e-03,1.606815618020e-02,2.644455237629e-02,3.613336169276e-02,4.375767519037e-02,4.839247404370e-02,4.954704860801e-02,4.715335027258e-02,4.154553158317e-02
0.024,1.250769764459e-03,6.569895015150e-03,1.546479105016e-02,2.493655488015e-02,3.324504931059e-02,3.906411231839e-02,4.160137385531e-02,4.057477355834e-02,3.619176979033e-02,2.911586583463e-02
0.026,1.243658018611e-03,6.428777928857e-03,1.487312576308e-02,2.347383577782e-02,3.048096615471e-02,3.464786204112e-02,3.534859199396e-02,3.254578323236e-02,2.675666786585e-02,1.900146253394e-02
0.028,1.236566591290e-03,6.289202038658e-03,1.429317638411e-02,2.205646267367e-02,2.784119395485e-02,3.050850883648e-02,2.963128589225e-02,2.544973554309e-02,1.881930961986e-02,1.113478747220e-02
0.030,1.229495488851e-03,6.151168450588e-03,1.372495870114e-02,2.068449323968e-02,2.532573874288e-02,2.664529811684e-02,2.444549897020e-02,1.927332396431e-02,1.234421379937e-02,5.434736926801e-03
0.032,1.222444718060e-03,6.014678303384e-03,1.316848801463e-02,1.935797327426e-02,2.293452127253e-02,2.305710450386e-02,1.978608312415e-02,1.400013571501e-02,7.288980821782e-03,1.806628366980e-03
0.034,1.215414286084e-03,5.879732762069e-03,1.262377893219e-02,1.807693483488e-02,2.066736802589e-02,1.974240318288e-02,1.564663338099e-02,9.610548912866e-03,3.604226771761e-03,1.424430135620e-04
0.036,1.208404200481e-03,5.746333011601e-03,1.209084516784e-02,1.684139444579e-02,1.852400281782e-02,1.669924438893e-02,1.201943485888e-02,6.081668788126e-03,1.233622158162e-03,3.213127360365e-04
0.038,1.201414469193e-03,5.614480250607e-03,1.156969934605e-02,1.565135138196e-02,1.650403900824e-02,1.392523106919e-02,8.895422126234e-03,3.387302807910e-03,1.140333253835e-04,2.210240934116e-03
0.040,1.194445100541e-03,5.484175685188e-03,1.106035281074e-02,1.450678603054e-02,1.460697233198e-02,1.141749975889e-02,6.264150997321e-03,1.497974308024e-03,1.757634823969e-04,5.665044251139e-03
0.042,1.187496103208e-03,5.355420522799e-03,1.056281543901e-02,1.340765833083e-02,1.283217435488e-02,9.172704698777e-03,4.113782746027e-03,3.809739675574e-04,1.342889379948e-03,1.053149925871e-02
0.044,1.180567486242e-03,5.228215966212e-03,1.007709546002e-02,1.235390629409e-02,1.117888656406e-02,7.187005212944e-03,2.431080659726e-03,4.481954226139e-07,3.533688746893e-03,1.664667568848e-02
0.046,1.173659259037e-03,5.102563207546e-03,9.603199278750e-03,1.134544460414e-02,9.646215098970e-03,5.456056355577e-03,1.201418793562e-03,3.175232305332e-04,6.661152705070e-03,2.384043541666e-02
0.048,1.166771431332e-03,4.978463422385e-03,9.141131304912e-03,1.038216329979e-02,8.233126129194e-03,3.975002824526e-03,4.088027224042e-04,1.290463492157e-03,1.063357653232e-02,3.193707427422e-02
0.050,1.159904013203e-03,4.855917763966e-03,8.690893787015e-03,9.463926540225e-03,6.938441883308e-03,2.738476128563e-03,3.590202385175e-05,2.874862457388e-03,1.535522134828e-02,4.075708190054e-02
0.052,1.153057015047e-03,4.734927357451e-03,8.252486651593e-03,8.590571454019e-03,5.760837332107e-03,1.740594983644e-03,6.409416170265e-05,5.023864091835e-03,2.072703856918e-02,5.011899331495e-02
0.054,1.146230447583e-03,4.615493294272e-03,7.825907347706e-03,7.761907072846e-03,4.698837528077e-03,9.749689017874e-04,4.735193757760e-04,7.688412620515e-03,2.664744832727e-02,5.984130467819e-02
0.056,1.139424321839e-03,4.497616626565e-03,7.411150696758e-03,6.977713350499e-03,3.750815601578e-03,4.347049242248e-04,1.243146121519e-03,1.081752820143e-02,3.301316248693e-02,6.974442487820e-02
0.058,1.132638649147e-03,4.381298361675e-03,7.008208747684e-03,6.237740267948e-03,2.914991412752e-03,1.124174384488e-04,2.350846542030e-03,1.435860585694e-02,3.972004242181e-02,7.965263411752e-02
0.060,1.125873441129e-03,4.266539456746e-03,6.617070637557e-03,5.541707025020e-03,2.189430856659e-03,2.410067371574e-07,3.773481396498e-03,1.825773483034e-02,4.666398135243e-02,8.939602061594e-02
0.062,1.119128709696e-03,4.153340813390e-03,6.237722457674e-03,4.889301319160e-03,1.572045817586e-03,8.984612174487e-05,5.486993813185e-03,2.246003536916e-02,5.374180078726e-02,9.881236687505e-02
0.064,1.112404467035e-03,4.041703272444e-03,5.870147125169e-03,4.280178711684e-03,1.060594766927e-03,3.724577929245e-04,7.466511182344e-03,2.691000979433e-02,6.085215046649e-02,1.077489576803e-01
0.066,1.105700725606e-03,3.931627608798e-03,5.514324260198e-03,3.713962081777e-03,6.526839973710e-04,8.388768559272e-04,9.686454455491e-03,3.155190459763e-02,6.789640117993e-02,1.160642831339e-01
0.068,1.099017498128e-03,3.823114526319e-03,5.170230068756e-03,3.190241168417e-03,3.457694846076e-04,1.479503885834e-03,1.212065407250e-02,3.633008021986e-02,7.477951991919e-02,1.236296115026e-01
0.070,1.092354797574e-03,3.716164652848e-03,4.837837231146e-03,2.708572200263e-03,1.371593660453e-04,2.284365584137e-03,1.474247169752e-02,4.118938509962e-02,8.141091703009e-02,1.303304085136e-01
0.072,1.085712637165e-03,3.610778535284e-03,4.517114796172e-03,2.268477613442e-03,2.401702449228e-05,3.243143498909e-03,1.752492690930e-02,4.607553054972e-02,8.770525535238e-02,1.360675819088e-01
0.074,1.079091030359e-03,3.506956634759e-03,4.208028081066e-03,1.869445857059e-03,3.364763093811e-06,4.345204927627e-03,2.044082796071e-02,5.093546301371e-02,9.358321176691e-02,1.407585325449e-01
0.076,1.072489990845e-03,3.404699321887e-03,3.910538577213e-03,1.510931286085e-03,7.208805624060e-05,5.579635842717e-03,2.346290569767e-02,5.571773028052e-02,9.897218211176e-02,1.443379960771e-01
0.078,1.065909532533e-03,3.304006872110e-03,3.624603861679e-03,1.192354141226e-03,2.269403595858e-04,6.935275671126e-03,2.656394970809e-02,6.037283829041e-02,1.038069210718e-01,1.467586622332e-01
0.080,1.059349669549e-03,3.204879461117e-03,3.350177514598e-03,9.131006151646e-04,4.645484607637e-04,8.400753751148e-03,2.971694575783e-02,6.485359524930e-02,1.080301093853e-01,1.479915618494e-01
0.082,1.052810416226e-03,3.107317160367e-03,3.087209042427e-03,6.725230045057e-04,7.814183508956e-04,9.964527282386e-03,3.289521356345e-02,6.911543988153e-02,1.115928415357e-01,1.480262151407e-01
0.084,1.046291787097e-03,3.011319932682e-03,2.835643807105e-03,4.699399465894e-04,1.173941595503e-03,1.161492057818e-02,3.607254394975e-02,7.311675079165e-02,1.144550280022e-01,1.468705380794e-01
0.086,1.039793796883e-03,2.916887627941e-03,2.595422961122e-03,3.046367402095e-04,1.638402182034e-03,1.334016542412e-02,3.922333444506e-02,7.681913407293e-02,1.165857071121e-01,1.445505071975e-01
0.088,1.033316460493e-03,2.824019978854e-03,2.366483388535e-03,1.758657491544e-04,2.170983819841e-03,1.512844234133e-02,4.232272237764e-02,8.018768649269e-02,1.179632625694e-01,1.411095865783e-01
0.090,1.026859793009e-03,2.732716596830e-03,2.148757651920e-03,8.284688734539e-05,2.767777667165e-03,1.696792254932e-02,4.534671455398e-02,8.319123180065e-02,1.185755438036e-01,1.366079241933e-01
0.092,1.020423809682e-03,2.642976967932e-03,1.942173945286e-03,2.476818422186e-05,3.424790458418e-03,1.884681042010e-02,4.827231262212e-02,8.580252794415e-02,1.184198873968e-01,1.311213280362e-01
0.094,1.014008525926e-03,2.554800448924e-03,1.746656052954e-03,7.864288908764e-07,4.137953003922e-03,2.075338621307e-02,5.107763325234e-02,8.799844323150e-02,1.175030389669e-01,1.247400356545e-01
0.096,1.007613957305e-03,2.468186263406e-03,1.562123314390e-03,1.002789142979e-05,4.903129033165e-03,2.267604887924e-02,5.374202230174e-02,8.976009975989e-02,1.158409760285e-01,1.175672936397e-01
0.098,1.001240119531e-03,2.383133498041e-03,1.388490595007e-03,5.158911960324e-05,5.716124351618e-03,2.460335872284e-02,5.624616216947e-02,9.107298271405e-02,1.134586334782e-01,1.097177663591e-01
0.100,9.948870284534e-04,2.299641098874e-03,1.225668262910e-03,1.245378091299e-04,6.572696280253e-03,2.652407970957e-02,5.857217159445e-02,9.192701444448e-02,1.103895344671e-01,1.013157956665e-01
0.102,9.885547000511e-04,2.217707867746e-03,1.073562171591e-03,2.279137455111e-04,7.468563346064e-03,2.842722121204e-02,6.070369719765e-02,9.231659254643e-02,1.066753305047e-01,9.249353547518e-02
0.104,9.822431504273e-04,2.137332458793e-03,9.320736485374e-04,3.607298153112e-04,8.399415191141e-03,3.030207898611e-02,6.262599612596e-02,9.224059148038e-02,1.023652556770e-01,8.338898688261e-02
0.106,9.759523958007e-04,2.058513375043e-03,8.010994897590e-04,5.219730846638e-04,9.360922667228e-03,3.213827517531e-02,6.432600921367e-02,9.170232759851e-02,9.751550084857e-02,7.414396098125e-02
0.108,9.696824524978e-04,1.981248965106e-03,6.805319601809e-04,7.106059426589e-04,1.034874808213e-02,3.392579714518e-02,6.579242414078e-02,9.070948776683e-02,9.218851463331e-02,6.490199754693e-02
0.110,9.634333369464e-04,1.905537419961e-03,5.702587998963e-04,9.255673071580e-04,1.135855556387e-02,3.565503495513e-02,6.701572813381e-02,8.927402209639e-02,8.645223876291e-02,5.580626845605e-02
0.112,9.572050656674e-04,1.831376769826e-03,4.701632362327e-04,1.165773890473e-03,1.238602150824e-02,3.731681728159e-02,6.798824982437e-02,8.741200161658e-02,8.037928623693e-02,4.699749493053e-02
0.114,9.509976552679e-04,1.758764881136e-03,3.801240015981e-04,1.430121522242e-03,1.342684507502e-02,3.890244561402e-02,6.870418995309e-02,8.514344203543e-02,7.404607129799e-02,3.861190754552e-02
0.116,9.448111224337e-04,1.687699453607e-03,3.000153570640e-04,1.717486526737e-03,1.447675869810e-02,4.040372655312e-02,6.915964068055e-02,8.249209503444e-02,6.753190083449e-02,3.077927735800e-02
0.118,9.386454839223e-04,1.618178017401e-03,2.297071216364e-04,2.026727151738e-03,1.553153857474e-02,4.181300205003e-02,6.935259334314e-02,7.948520883497e-02,6.091803726154e-02,2.362104553556e-02
0.120,9.325007565554e-04,1.550197930379e-03,1.690647071665e-04,2.356685046017e-03,1.658701509918e-02,4.312317743473e-02,6.928293456856e-02,7.615326004759e-02,5.428674326588e-02,1.724857749495e-02
0.122,9.263769572115e-04,1.483756375463e-03,1.179491588407e-04,2.706186782404e-03,1.763908320602e-02,4.432774709262e-02,6.895243074351e-02,7.252965907265e-02,4.772031901721e-02,1.176156582103e-02
0.124,9.202741028193e-04,1.418850358076e-03,7.621720119240e-05,3.074045423300e-03,1.868371258932e-02,4.542081765941e-02,6.836470090387e-02,6.865043155723e-02,4.130014254438e-02,7.246604151385e-03
0.126,9.141922103497e-04,1.355476703698e-03,4.372128956904e-05,3.459062125450e-03,1.971695776328e-02,4.639712861615e-02,6.752517819502e-02,6.455387862799e-02,3.510572394947e-02,3.775951810666e-03
0.128,9.081312968096e-04,1.293632055506e-03,2.030966698403e-05,3.860027780713e-03,2.073496793146e-02,4.725207017876e-02,6.644106012629e-02,6.028021881065e-02,2.921378398575e-02,1.406506295351e-03
0.130,9.020913792341e-04,1.233312872113e-03,5.826426280271e-06,4.275724689485e-03,2.173399663163e-02,4.798169838924e-02,6.512124791871e-02,5.587121471155e-02,2.369736725842e-02,1.789977820389e-04
0.132,8.960724746794e-04,1.174515425408e-03,1.115775258456e-07,4.704928263407e-03,2.271041112435e-02,4.858274732902e-02,6.357627531792e-02,5.136978767468e-02,1.862499992334e-02,1.174167026024e-04
0.134,8.900746002164e-04,1.117235798496e-03,3.001120559010e-06,5.146408753904e-03,2.366070149405e-02,4.905263838879e-02,6.181822731511e-02,4.681962373708e-02,1.405990126275e-02,1.228682141485e-03
0.136,8.840977729231e-04,1.061469883723e-03,1.432712259478e-05,5.598933003065e-03,2.458148943235e-02,4.938948654308e-02,5.986064928606e-02,4.226477428550e-02,1.005925791335e-02,3.502555411181e-03
0.138,8.781420098777e-04,1.007213380816e-03,3.391780080130e-05,6.061266213356e-03,2.546953667445e-02,4.959210359214e-02,5.771844712307e-02,3.774925486717e-02,6.673568819113e-03,6.911799699711e-03
0.140,8.722073281518e-04,9.544617951073e-04,6.159760974991e-05,6.532173732590e-03,2.632175306031e-02,4.965999834825e-02,5.540777899486e-02,3.331664562681e-02,3.946068185437e-03,1.141258320792e-02
