x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,1.464846779786e-02,9.180038220751e-02,2.570437142409e-01,5.037030791433e-01,8.326573464684e-01,1.243845887588e+00,1.737272432733e+00,2.312936549982e+00,2.970838730415e+00,3.710978482297e+00
0.002,1.456792403774e-02,9.005326587449e-02,2.490372520483e-01,4.817920069298e-01,7.862374464691e-01,1.159362999008e+00,1.598267664202e+00,2.100084568831e+00,2.661986772020e+00,3.281185531727e+00
0.004,1.448760232446e-02,8.832293575252e-02,2.411574817203e-01,4.603682864094e-01,7.411494347293e-01,1.077852855040e+00,1.465063363241e+00,1.897516803407e+00,2.370106750345e+00,2.877883171608e+00
0.006,1.440750266661e-02,8.660939387930e-02,2.334044465710e-01,4.394322326469e-01,6.973946858445e-01,9.993198770305e-01,1.337671141429e+00,1.705259637476e+00,2.095252434717e+00,2.501172065679e+00
0.008,1.432762507836e-02,8.491264355686e-02,2.257782154273e-01,4.189843356211e-01,6.549752886901e-01,9.237706181739e-01,1.216107749932e+00,1.523350029083e+00,1.837496759336e+00,2.151184011535e+00
0.010,1.424796957939e-02,8.323268927166e-02,2.182788797961e-01,3.990252308517e-01,6.138938786993e-01,8.512130919549e-01,1.100392955315e+00,1.351829831591e+00,1.596918439263e+00,1.828053345781e+00
0.012,1.416853619480e-02,8.156953661554e-02,2.109065510776e-01,3.795556707173e-01,5.741534753499e-01,7.816561267500e-01,9.905475159404e-01,1.190740434271e+00,1.373589466651e+00,1.531890519517e+00
0.014,1.408932495502e-02,7.992319220738e-02,2.036613578258e-01,3.605764964725e-01,5.357573249280e-01,7.151087470893e-01,8.865912614287e-01,1.040117732262e+00,1.167563519663e+00,1.262757937327e+00
0.016,1.401033589568e-02,7.829366361565e-02,1.965434430561e-01,3.420886109699e-01,4.987087486538e-01,6.515795821601e-01,7.885412780790e-01,8.999874371865e-01,9.788653206137e-01,1.020648162078e+00
0.018,1.393156905757e-02,7.668095928163e-02,1.895529616002e-01,3.240929520966e-01,4.630109962654e-01,5.910763022135e-01,6.964102034634e-01,7.703607405927e-01,8.074809816763e-01,8.054645899505e-01
0.020,1.385302448650e-02,7.508508844352e-02,1.826900775083e-01,3.065904669337e-01,4.286671051676e-01,5.336050835880e-01,6.102046335730e-01,6.512303427352e-01,6.533493764245e-01,6.170046958722e-01
0.022,1.377470223322e-02,7.350606106129e-02,1.759549615007e-01,2.895820866496e-01,3.956797652599e-01,4.791701030994e-01,5.299236459860e-01,5.425668591049e-01,5.163545735301e-01,4.549459395505e-01
0.024,1.369660235335e-02,7.194388774233e-02,1.693477884663e-01,2.730687021393e-01,3.640511895660e-01,4.277730625690e-01,4.555574424966e-01,4.443156165084e-01,3.963193653761e-01,3.188344072922e-01
0.026,1.361872490725e-02,7.039857966795e-02,1.628687350116e-01,2.570511404196e-01,3.337829907869e-01,3.794127442600e-01,3.870861145268e-01,3.563938495144e-01,2.929999193078e-01,2.080762454087e-01
0.028,1.354106995995e-02,6.887014852059e-02,1.565179770588e-01,2.415301417950e-01,3.048760639068e-01,3.340845979816e-01,3.244785344328e-01,2.786883067024e-01,2.060815729258e-01,1.219319179511e-01
0.030,1.346363758106e-02,6.735860641194e-02,1.502956874936e-01,2.265063378047e-01,2.773304749784e-01,2.917803605931e-01,2.676913755337e-01,2.110532744454e-01,1.351757874062e-01,5.951329548939e-02
0.032,1.338642784466e-02,6.586396581180e-02,1.442020338645e-01,2.119802299658e-01,2.511453562119e-01,2.524877085956e-01,2.166682633226e-01,1.533090239548e-01,7.981826449114e-02,1.978355333325e-02
0.034,1.330944082924e-02,6.438623947777e-02,1.382371761326e-01,1.979521693250e-01,2.263188074932e-01,2.161899444478e-01,1.713390598954e-01,1.052406850543e-01,3.946822371857e-02,1.559827691882e-03
0.036,1.323267661755e-02,6.292544038579e-02,1.324012644736e-01,1.844223368316e-01,2.028478044460e-01,1.828657171733e-01,1.316192831422e-01,6.659754768836e-02,1.350882683187e-02,3.518547459022e-03
0.038,1.315613529658e-02,6.148158166147e-02,1.266944371326e-01,1.713907245463e-01,1.807281131534e-01,1.524887777533e-01,9.740966170612e-02,3.709278951940e-02,1.248726310140e-03,2.420332825424e-02
0.040,1.307981695743e-02,6.005467651227e-02,1.211168183314e-01,1.588571176977e-01,1.599542116402e-01,1.250277697068e-01,6.859582613011e-02,1.640362520388e-02,1.924704765846e-03,6.203528469169e-02
0.042,1.300372169520e-02,5.864473816047e-02,1.156685162297e-01,1.468210775996e-01,1.405192182141e-01,1.004460551684e-01,4.504813598909e-02,4.171870066645e-03,1.470536174148e-02,1.153255871943e-01
0.044,1.292784960894e-02,5.725177977707e-02,1.103496209411e-01,1.352819254420e-01,1.224148267506e-01,7.870157666923e-02,2.662164215296e-02,4.907981192517e-06,3.869579436758e-02,1.822900615997e-01
0.046,1.285220080156e-02,5.587581441642e-02,1.051602026036e-01,1.242387269667e-01,1.056312489954e-01,5.974675471317e-02,1.315618265075e-02,3.477050333436e-03,7.294320858141e-02,2.610656038474e-01
0.048,1.277677537969e-02,5.451685495179e-02,1.001003095060e-01,1.136902780395e-01,9.015716394879e-02,4.352842112754e-02,4.476609915621e-03,1.413127004332e-02,1.164433883002e-01,3.497281586851e-01
0.050,1.270157345365e-02,5.317491401175e-02,9.516996627065e-02,1.036350911303e-01,7.597967437963e-02,2.998778804290e-02,3.931464913452e-04,3.148129177590e-02,1.681479412368e-01,4.463119910130e-01
0.052,1.262659513732e-02,5.185000391741e-02,9.036917209304e-02,9.407138270935e-02,6.308427050466e-02,1.906045223240e-02,7.018655798672e-04,5.501401672663e-02,2.269722320697e-01,5.488299615891e-01
0.054,1.255184054807e-02,5.054213662058e-02,8.569789903901e-02,8.499706157063e-02,5.145480085449e-02,1.067643441192e-02,5.185292114423e-03,8.419225774713e-02,2.918039065550e-01,6.552945056496e-01
0.056,1.247730980667e-02,4.925132364269e-02,8.115609040016e-02,7.640971808969e-02,4.107345033062e-02,4.760252971676e-03,1.361311935848e-02,1.184577581192e-01,3.615119039958e-01,7.637390038228e-01
