x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,1.783559845638e-02,1.117737894358e-01,3.129698297598e-01,6.132959422660e-01,1.013822215968e+00,1.514474831005e+00,2.115258329209e+00,2.816172184683e+00,3.617216995356e+00,4.518392162503e+00
0.002,1.773753044111e-02,1.096465454263e-01,3.032213668697e-01,5.866175830587e-01,9.573025370368e-01,1.411610634015e+00,1.946009690426e+00,2.557009075009e+00,3.241166777107e+00,3.995087295978e+00
0.004,1.763973278438e-02,1.075397398765e-01,2.936271607426e-01,5.605326107656e-01,9.024045310688e-01,1.312365974574e+00,1.783823552095e+00,2.310367762473e+00,2.885781153445e+00,3.504036692539e+00
0.006,1.754220549664e-02,1.054533752675e-01,2.841872641166e-01,5.350414090015e-01,8.491298717367e-01,1.216746235999e+00,1.628714052176e+00,2.076280371271e+00,2.551125592523e+00,3.045362917771e+00
0.008,1.744494859514e-02,1.033874556198e-01,2.749017607936e-01,5.101445743522e-01,7.974811024014e-01,1.124759397291e+00,1.480701586458e+00,1.854791900570e+00,2.237288897150e+00,2.619226445043e+00
0.010,1.734796210385e-02,1.013419863961e-01,2.657707621900e-01,4.858428806101e-01,7.474614318987e-01,1.036415215463e+00,1.339810222206e+00,1.645953309952e+00,1.944366908767e+00,2.225790839158e+00
0.012,1.725124605333e-02,9.931697440467e-02,2.567944039437e-01,4.621372438519e-01,6.990745366674e-01,9.517244397205e-01,1.206065234267e+00,1.449814993930e+00,1.672447283168e+00,1.865190582542e+00
0.014,1.715480048062e-02,9.731242770464e-02,2.479728425790e-01,4.390286883677e-01,6.523243693021e-01,8.706980580995e-01,1.079490766679e+00,1.266420657503e+00,1.421595377509e+00,1.537501657413e+00
0.016,1.705862542913e-02,9.532835551112e-02,2.393062522277e-01,4.165183134478e-01,6.072149736352e-01,7.933465772769e-01,9.601076232801e-01,1.095801606485e+00,1.191841293046e+00,1.242715008509e+00
0.018,1.696272094850e-02,9.336476810203e-02,2.307948214087e-01,3.946072610394e-01,5.637503064645e-01,7.196793363537e-01,8.479311912550e-01,9.379714674171e-01,9.831681203167e-01,9.807130134995e-01
0.020,1.686708709451e-02,9.142167672554e-02,2.224387498657e-01,3.732966842841e-01,5.219340660560e-01,6.497038554810e-01,7.429695017127e-01,7.929213523160e-01,7.955014333537e-01,7.512490830533e-01
0.022,1.677172392896e-02,8.949909350866e-02,2.142382454630e-01,3.525877169486e-01,4.817695275626e-01,5.834252202426e-01,6.452214315362e-01,6.606154833578e-01,6.287000771469e-01,5.539305003878e-01
0.024,1.667663151956e-02,8.759703136670e-02,2.061935211410e-01,3.324814437639e-01,4.432593855049e-01,5.208455027325e-01,5.546750506816e-01,5.409872918655e-01,4.825482882496e-01,3.882045918395e-01
0.026,1.658180993981e-02,8.571550391369e-02,1.983047919312e-01,3.129788716844e-01,4.064056034662e-01,4.619632202655e-01,4.713061189750e-01,4.339360047740e-01,3.567491822789e-01,2.533482963974e-01
0.028,1.648725926890e-02,8.385452537391e-02,1.905722720320e-01,2.940809020857e-01,3.712092711566e-01,4.067728326461e-01,3.950767361965e-01,3.393237300599e-01,2.509196343730e-01,1.484611740697e-01
0.030,1.639297959156e-02,8.201411049422e-02,1.829961719446e-01,2.757883039139e-01,3.376704689998e-01,3.552642788863e-01,3.259341488912e-01,2.569730505509e-01,1.645865696311e-01,7.246186125485e-02
0.032,1.629897099802e-02,8.019427445754e-02,1.755766956717e-01,2.581016878034e-01,3.057881403975e-01,3.074225542102e-01,2.638097169062e-01,1.866651330862e-01,9.718467041018e-02,2.408794681884e-02
0.034,1.620523358381e-02,7.839503279719e-02,1.683140379777e-01,2.410214811795e-01,2.755599718193e-01,2.632273281197e-01,2.086180421296e-01,1.281383572538e-01,4.805549629797e-02,1.899206166641e-03
0.036,1.611176744972e-02,7.661640131234e-02,1.612083817130e-01,2.245479043614e-01,2.469822808626e-01,2.226526042142e-01,1.602562613125e-01,8.108746492399e-02,1.644800086363e-02,4.284093087060e-03
0.038,1.601857270164e-02,7.485839598441e-02,1.542598952011e-01,2.086809476826e-01,2.200499124184e-01,1.856664223619e-01,1.186035041983e-01,4.516322857956e-02,1.520417108254e-03,2.946935133472e-02
