x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,4.620720205500e-02,2.895755971153e-01,8.108200123590e-01,1.588883579831e+00,2.626538610166e+00,3.923593856108e+00,5.480061084316e+00,7.295938932332e+00,9.371228949228e+00,1.170592958387e+01
0.002,4.595313440441e-02,2.840644843813e-01,7.855643868979e-01,1.519767181107e+00,2.480111439199e+00,3.657100598472e+00,5.041583728542e+00,6.624517549797e+00,8.396984745426e+00,1.035018849321e+01
0.004,4.569976717954e-02,2.786063221578e-01,7.607083989053e-01,1.452188087067e+00,2.337885583398e+00,3.399984581711e+00,4.621403397464e+00,5.985536750172e+00,7.476276905981e+00,9.078009457115e+00
0.006,4.544710040742e-02,2.732011168723e-01,7.362521850114e-01,1.386147291552e+00,2.199865378795e+00,3.152259752537e+00,4.219556718704e+00,5.379079758541e+00,6.609275041133e+00,7.889710009811e+00
0.008,4.519513413279e-02,2.678488789408e-01,7.121959623241e-01,1.321646340156e+00,2.066057414548e+00,2.913946782385e+00,3.836096532224e+00,4.805263155550e+00,5.796209214895e+00,6.785705894305e+00
0.010,4.494386841773e-02,2.625496225154e-01,6.885400194930e-01,1.258687237563e+00,1.936470003882e+00,2.685070949029e+00,3.471085189781e+00,4.264218963667e+00,5.037327726467e+00,5.766420862676e+00
0.012,4.469330334143e-02,2.573033652351e-01,6.652847079195e-01,1.197272357080e+00,1.811112671453e+00,2.465660100748e+00,3.124588171661e+00,3.756077741418e+00,4.332857668257e+00,4.832203322439e+00
0.014,4.444343899983e-02,2.521101279785e-01,6.424304331152e-01,1.137404352367e+00,1.689995657363e+00,2.255742704564e+00,2.796668028517e+00,3.280952716613e+00,3.682968362944e+00,3.983250122934e+00
0.016,4.419427550538e-02,2.469699346196e-01,6.199776462087e-01,1.079086071385e+00,1.573129438085e+00,2.055345980430e+00,2.487378657462e+00,2.838924994129e+00,3.087737794723e+00,3.219537804431e+00
0.018,4.394581298670e-02,2.418828117857e-01,5.979268356014e-01,1.022320472611e+00,1.460524264610e+00,1.864494123426e+00,2.196759922516e+00,2.430029876641e+00,2.547122155762e+00,2.540761639346e+00
0.020,4.369805158831e-02,2.368487886177e-01,5.762785187750e-01,9.671105435213e-01,1.352189718143e+00,1.683206616226e+00,1.924832630108e+00,2.054244337795e+00,2.060928628547e+00,1.946282781550e+00
0.022,4.345099147031e-02,2.318678965334e-01,5.550332342494e-01,9.134592213995e-01,1.248134283718e+00,1.511496634199e+00,1.671593870547e+00,1.711475686943e+00,1.628791518702e+00,1.435083808286e+00
0.024,4.320463280812e-02,2.269401689929e-01,5.341915336957e-01,8.613693164886e-01,1.148364942107e+00,1.349369545578e+00,1.437012736320e+00,1.401551462686e+00,1.250151841609e+00,1.005732891872e+00
0.026,4.295897579217e-02,2.220656412664e-01,5.137539742024e-01,8.108434375352e-01,1.052886780423e+00,1.196821509129e+00,1.221026427709e+00,1.124210589321e+00,9.242404502903e-01,6.563567771812e-01
0.028,4.271402062758e-02,2.172443502053e-01,4.937211106990e-01,7.618839197590e-01,9.617026218084e-01,1.053838171707e+00,1.023536755512e+00,8.790958259843e-01,6.500647720568e-01,3.846226682181e-01
0.030,4.246976753393e-02,2.124763340146e-01,4.740934885374e-01,7.144927552908e-01,8.748126746204e-01,9.203934680170e-01,8.444070498265e-01,6.657475328646e-01,4.263991980469e-01,1.877290449476e-01
0.032,4.222621674490e-02,2.077616320292e-01,4.548716362331e-01,6.686715261188e-01,7.922142014987e-01,7.964485247521e-01,6.834594826168e-01,4.835987725466e-01,2.517791434515e-01,6.240534224127e-02
