x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,4.018380018408e-02,2.518275813111e-01,7.051244808785e-01,1.381762527229e+00,2.284152642721e+00,3.412128510392e+00,4.765700363042e+00,6.344867015818e+00,8.149629815862e+00,1.017998741424e+01
0.002,3.996285186324e-02,2.470348770779e-01,6.831610863877e-01,1.321655889470e+00,2.156813182248e+00,3.180374339202e+00,4.384381311768e+00,5.760969669189e+00,7.302384523462e+00,9.000975773937e+00
0.004,3.974251266318e-02,2.422882209202e-01,6.615452340865e-01,1.262886158979e+00,2.033127368861e+00,2.956775026062e+00,4.018974151966e+00,5.205284069723e+00,6.501696790755e+00,7.894633344379e+00
0.006,3.952278260743e-02,2.375876184278e-01,6.402770427945e-01,1.205454200043e+00,1.913098973362e+00,2.741342699640e+00,3.669510736615e+00,4.677882593586e+00,5.747714118209e+00,6.861236267177e+00
0.008,3.930366173487e-02,2.329330786589e-01,6.193567013184e-01,1.149361356777e+00,1.796733725972e+00,2.534095336718e+00,3.336037017654e+00,4.178866624400e+00,5.040636579535e+00,5.901146090605e+00
0.010,3.908515009950e-02,2.283246139207e-01,5.987844606802e-01,1.094609372544e+00,1.684038856234e+00,2.335054919955e+00,3.018607218892e+00,3.708350974664e+00,4.380680106558e+00,5.014731327970e+00
0.012,3.886724777017e-02,2.237622395528e-01,5.785606264741e-01,1.041200311275e+00,1.575022647203e+00,2.144245667426e+00,2.717278284846e+00,3.266449183773e+00,3.768042188749e+00,4.202294969658e+00
0.014,3.864995483034e-02,2.192459737123e-01,5.586855513507e-01,9.891364807070e-01,1.469694004120e+00,1.961692335298e+00,2.432104612293e+00,2.853259719574e+00,3.202870076502e+00,3.464008204449e+00
0.016,3.843327137779e-02,2.147758371610e-01,5.391596276310e-01,9.384203575525e-01,1.368062037784e+00,1.787418595232e+00,2.163133072515e+00,2.468853114410e+00,2.685231588277e+00,2.799850630738e+00
0.018,3.821719752437e-02,2.103518530550e-01,5.199832800503e-01,8.890545146313e-01,1.270135662904e+00,1.621445488324e+00,1.910398333006e+00,2.113260069026e+00,2.215088626871e+00,2.209557244113e+00
0.020,3.800173339575e-02,2.059740467368e-01,5.011569586331e-01,8.410415499842e-01,1.175923211714e+00,1.463789957557e+00,1.673918487945e+00,1.786460558701e+00,1.792273509757e+00,1.692572476091e+00
0.022,3.778687913119e-02,2.016424455285e-01,4.826811317000e-01,7.943840180006e-01,1.085432063169e+00,1.314463460810e+00,1.453691006935e+00,1.488373975602e+00,1.416468213140e+00,1.248011531426e+00
0.024,3.757263488323e-02,1.973570785285e-01,4.645562790082e-01,7.490843625908e-01,9.986682880537e-01,1.173470666531e+00,1.249689011456e+00,1.218850339764e+00,1.087186619592e+00,8.746292302538e-01
0.026,3.735900081745e-02,1.931179764093e-01,4.467828850262e-01,7.051448524345e-01,9.156363103440e-01,1.040808234214e+00,1.061857888130e+00,9.776626083594e-01,8.037598453223e-01,5.707965081357e-01
0.028,3.714597711227e-02,1.889251712185e-01,4.293614323449e-01,6.625675183408e-01,8.363385851680e-01,9.164636817396e-01,8.901122473421e-01,7.645001091379e-01,5.653247057881e-01,3.344846638311e-01
0.030,3.693356395863e-02,1.847786961808e-01,4.122923952262e-01,6.213540927537e-01,7.607752937215e-01,8.004143415890e-01,7.343332349763e-01,5.789631192520e-01,3.708153580165e-01,1.632573732108e-01
0.032,3.672176155974e-02,1.806785855036e-01,3.955762332902e-01,5.815059514393e-01,6.889440554769e-01,6.926264078367e-01,5.943662040107e-01,4.205586051747e-01,2.189581351178e-01,5.427041005549e-02
0.034,3.651057013090e-02,1.766248741836e-01,3.792133853436e-01,5.430240573914e-01,6.208396580244e-01,5.930540756464e-01,4.700187515565e-01,2.886971332303e-01,1.082695635757e-01,4.278932456084e-03
0.036,3.629998989915e-02,1.726175978164e-01,3.632042633499e-01,5.059089069919e-01,5.564538048702e-01,5.016387748406e-01,3.610591255784e-01,1.826909534832e-01,3.705752749189e-02,9.652109011168e-03
0.038,3.609002110309e-02,1.686567924085e-01,3.475492465442e-01,4.701604784618e-01,4.957748814973e-01,4.183084988896e-01,2.672150040545e-01,1.017532524825e-01,3.425516526622e-03,6.639477382747e-02
0.040,3.588066399261e-02,1.647424941905e-01,3.322486756923e-01,4.357781826380e-01,4.387877399772e-01,3.429772304304e-01,1.881726477275e-01,4.499856275641e-02,5.279866317171e-03,1.701757152224e-01
0.042,3.567191882864e-02,1.608747394340e-01,3.173028474994e-01,4.027608161133e-01,3.854735023936e-01,2.755444641627e-01,1.235764258918e-01,1.144430908852e-02,4.033987212919e-02,3.163621216825e-01
0.044,3.546378588289e-02,1.570535642698e-01,3.027120091656e-01,3.711065167700e-01,3.358093833154e-01,2.158948276836e-01,7.302871287351e-02,1.346361532611e-05,1.061506288773e-01,5.000596316248e-01
