x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,2.140535769044e-02,1.341450890556e-01,3.756101130394e-01,7.360458941935e-01,1.216736697700e+00,1.817593928800e+00,2.538623038366e+00,3.379823395242e+00,4.341195717033e+00,5.422739285178e+00
0.002,2.128766155874e-02,1.315920814270e-01,3.639105148675e-01,7.040279149357e-01,1.148904718468e+00,1.694141669237e+00,2.335499624221e+00,3.068789309321e+00,3.889879802354e+00,4.794695999919e+00
0.004,2.117028989731e-02,1.290636029748e-01,3.523960476402e-01,6.727220877921e-01,1.083018986789e+00,1.575033390398e+00,2.140852255819e+00,2.772783233103e+00,3.463364459394e+00,4.205362603766e+00
0.006,2.105324271866e-02,1.265596566769e-01,3.410667746508e-01,6.421288731570e-01,1.019081511317e+00,1.460275553061e+00,1.954697900805e+00,2.491843720378e+00,3.061728259624e+00,3.654886193560e+00
0.008,2.093652004353e-02,1.240802473581e-01,3.299227964742e-01,6.122489870220e-01,9.570953444607e-01,1.349877733207e+00,1.777061037143e+00,2.226024776805e+00,2.685077779559e+00,3.143459361094e+00
0.010,2.082012190066e-02,1.216253815746e-01,3.189642468265e-01,5.830833580521e-01,8.970643372990e-01,1.243851640698e+00,1.607970549111e+00,1.975387561424e+00,2.333528043110e+00,2.671278408337e+00
0.012,2.070404832675e-02,1.191950674974e-01,3.081912884932e-01,5.546330856752e-01,8.389929021022e-01,1.142210176170e+00,1.447456770270e+00,1.739992555110e+00,2.007184250205e+00,2.238504734102e+00
0.014,2.058829936624e-02,1.167893147986e-01,2.976041093267e-01,5.268993991910e-01,7.828857825687e-01,1.044966526892e+00,1.295548677035e+00,1.519892210330e+00,1.706124839101e+00,1.845229528298e+00
0.016,2.047287507122e-02,1.144081345377e-01,2.872029183109e-01,4.998836179104e-01,7.287478318961e-01,9.521333024308e-01,1.152271237093e+00,1.315124098692e+00,1.430385935761e+00,1.491441923268e+00
0.018,2.035777550127e-02,1.120515390497e-01,2.769879416964e-01,4.735871123391e-01,6.765837988270e-01,8.637217110908e-01,1.017642917342e+00,1.125704574063e+00,1.179947246328e+00,1.177000754809e+00
0.020,2.024300072334e-02,1.097195418341e-01,2.669594192051e-01,4.480112664175e-01,6.263981218281e-01,7.797407781658e-01,8.916733563019e-01,9.516229695474e-01,9.547194486265e-01,9.016100792302e-01
0.022,2.012855081161e-02,1.074121574451e-01,2.571176003050e-01,4.231574408339e-01,5.781947315676e-01,7.001966071092e-01,7.743612060650e-01,7.928363464620e-01,7.545331357538e-01,6.647985782729e-01
0.024,2.001442584732e-02,1.051294013829e-01,2.474627405561e-01,3.990269374256e-01,5.319768618689e-01,6.250916847403e-01,6.656921488137e-01,6.492648125426e-01,5.791293596430e-01,4.659029617492e-01
0.026,1.990062591870e-02,1.028712899865e-01,2.379950980282e-01,3.756209646870e-01,4.877468693227e-01,5.544242316172e-01,5.656370927518e-01,5.207874251972e-01,4.281518150978e-01,3.040554494381e-01
0.028,1.978715112077e-02,1.006378403271e-01,2.287149297907e-01,3.529406044024e-01,4.455060617421e-01,4.881875986858e-01,4.741505520066e-01,4.072386935909e-01,3.011406955839e-01,1.781753800904e-01
0.030,1.967400155525e-02,9.842907010303e-02,2.196224884764e-01,3.309867794207e-01,4.052545356478e-01,4.263697112714e-01,3.911692146248e-01,3.084056908603e-01,1.975282412090e-01,8.696495735025e-02
0.032,1.956117733038e-02,9.624499753611e-02,2.107180189187e-01,3.097602225937e-01,3.669910229653e-01,3.689525614222e-01,3.166107022651e-01,2.240257848267e-01,1.166359871381e-01,2.890910102886e-02
0.034,1.944867856086e-02,9.408564126861e-02,2.020017548639e-01,2.892614468948e-01,3.307127471157e-01,3.159117495318e-01,2.503725245545e-01,1.537849922778e-01,5.767370743211e-02,2.279328469089e-03
0.036,1.933650536762e-02,9.195102026188e-02,1.934739157592e-01,2.694907167400e-01,2.964152886708e-01,2.672160760722e-01,1.923312303714e-01,9.731695828174e-02,1.974003522449e-02,5.141545720036e-03
0.038,1.922465787776e-02,8.984115369598e-02,1.851347036179e-01,2.504480205277e-01,2.640924607373e-01,2.228271841555e-01,1.423417575202e-01,5.420255813480e-02,1.824725540914e-03,3.536758285784e-02
0.040,1.911313622440e-02,8.775606087053e-02,1.769842999615e-01,2.321330444191e-01,2.337361942217e-01,1.826992535153e-01,1.002369814132e-01,2.397011549292e-02,2.812512170553e-03,9.065026298847e-02
0.042,1.900194054653e-02,8.569576110689e-02,1.690228628404e-01,2.145451473755e-01,2.053364331179e-01,1.467787463606e-01,6.582746246507e-02,6.096226052232e-03,2.148849506907e-02,1.685217511360e-01
0.044,1.889107098888e-02,8.366027365141e-02,1.612505239350e-01,1.976833374725e-01,1.788810399401e-01,1.150042053991e-01,3.890139094783e-02,7.171882712480e-06,5.654498006098e-02,2.663748881999e-01
0.046,1.878052770181e-02,8.164961758001e-02,1.536673857356e-01,1.815462495071e-01,1.543557114120e-01,8.730610416917e-02,1.922472707495e-02,5.080907240397e-03,1.065896783418e-01,3.814871772352e-01
0.048,1.867031084116e-02,7.966381170402e-02,1.462735188054e-01,1.661321239152e-01,1.317439045032e-01,6.360674964732e-02,6.541533067264e-03,2.064959244008e-02,1.701551596828e-01,5.110470551854e-01
0.050,1.856042056813e-02,7.770287447718e-02,1.390689591241e-01,1.514387870143e-01,1.110267728845e-01,4.382023691906e-02,5.744929359245e-04,4.600264821683e-02,2.457094405198e-01,6.521820535089e-01
0.052,1.845085704911e-02,7.576682390396e-02,1.320537055161e-01,1.374636325871e-01,9.218311385375e-02,2.785245552001e-02,1.025614691925e-03,8.039029899044e-02,3.316675764519e-01,8.019884264459e-01
0.054,1.834162045564e-02,7.385567744914e-02,1.252277171622e-01,1.242036048181e-01,7.518932576292e-02,1.560114686392e-02,7.577108675822e-03,1.230275696211e-01,4.264041182649e-01,9.575618064343e-01
0.056,1.823271096416e-02,7.196945194866e-02,1.185909111960e-01,1.116551825970e-01,6.001937595385e-02,6.956011984449e-03,1.989243470184e-02,1.730986966514e-01,5.282662815775e-01,1.116028432773e+00
0.058,1.812412875599e-02,7.010816352174e-02,1.121431603871e-01,9.981436519751e-02,4.664477918632e-02,1.798868624517e-03,3.761750973749e-02,2.297619117127e-01,6.355876727223e-01,1.274576492324e+00
0.060,1.801587401714e-02,6.827182748429e-02,1.058842909104e-01,8.867665934332e-02,3.503458651912e-02,3.856514289525e-06,6.038206690192e-02,2.921545517691e-01,7.467024076355e-01,1.430487110022e+00
0.062,1.790794693818e-02,6.646045826365e-02,9.981408020308e-02,7.823706766678e-02,2.515538457894e-02,1.437689487250e-03,8.780115567169e-02,3.593984482178e-01,8.599594564260e-01,1.581164532287e+00
0.064,1.780034771415e-02,6.467406931459e-02,9.393225491055e-02,6.849007856801e-02,1.697130512736e-02,5.959952894263e-03,1.194767723394e-01,4.306055445882e-01,9.737370439943e-01,1.724165058109e+00
0.066,1.769307654439e-02,6.291267303669e-02,8.823848892092e-02,5.942965747789e-02,1.044404481009e-02,1.342344458994e-02,1.549996089862e-01,5.048836907121e-01,1.086456936624e+00,1.857224290444e+00
0.068,1.758613363244e-02,6.117628069299e-02,8.273240148996e-02,5.104923952809e-02,5.532894947249e-03,2.367455758467e-02,1.939509085111e-01,5.813425597974e-01,1.196598445893e+00,1.978282304435e+00
0.070,1.747951918591e-02,5.946490232999e-02,7.741355545645e-02,4.334172362867e-02,2.194781197135e-03,3.655370228083e-02,2.359044126110e-01,6.590996338401e-01,1.302711984540e+00,2.085506358539e+00
0.072,1.737323341634e-02,5.777854669904e-02,7.228145554904e-02,3.629946795220e-02,3.843129002898e-04,5.189576604390e-02,2.804283890390e-01,7.372862022791e-01,1.403432014069e+00,2.177310809488e+00
0.074,1.726727653908e-02,5.611722117901e-02,6.733554678497e-02,2.991428682150e-02,5.384188469252e-05,6.953060769984e-02,3.270877239780e-01,8.150533187281e-01,1.497489230781e+00,2.252373931677e+00
0.076,1.716164877318e-02,5.448093170035e-02,6.257521296142e-02,2.417744899585e-02,1.153530487467e-03,8.928358439926e-02,3.754460649694e-01,8.915776610278e-01,1.583721845627e+00,2.309651385510e+00
0.078,1.705635034123e-02,5.286968267057e-02,5.799977523991e-02,1.907967734865e-02,3.631428523266e-03,1.109761081493e-01,4.250679995248e-01,9.660672407432e-01,1.661085823521e+00,2.348386126834e+00
0.080,1.695138146927e-02,5.128347690103e-02,5.360849082429e-02,1.461114992755e-02,7.433558904796e-03,1.344262291843e-01,4.755212543344e-01,1.037766909573e+00,1.728663959595e+00,2.368114600168e+00
0.082,1.684674238665e-02,4.972231553517e-02,4.940055173270e-02,1.076150238579e-02,1.250401159681e-02,1.594492432292e-01,5.263788998627e-01,1.105963611946e+00,1.785673683098e+00,2.368669111278e+00
0.084,1.674243332590e-02,4.818619797810e-02,4.537508366399e-02,7.519831771578e-03,1.878504556148e-02,1.858583196046e-01,5.772215451010e-01,1.169991335336e+00,1.831473494080e+00,2.350176329069e+00
0.086,1.663845452262e-02,4.667512182760e-02,4.153114495879e-02,4.874701660166e-03,2.621719833033e-02,2.134651470310e-01,6.276395073196e-01,1.229235712476e+00,1.865567953558e+00,2.313051921868e+00
0.088,1.653480621535e-02,4.518908280661e-02,3.786772565553e-02,2.814148611161e-03,3.473940281627e-02,2.420805939109e-01,6.772349418364e-01,1.283138232775e+00,1.887611164333e+00,2.257991388318e+00
0.090,1.643148864544e-02,4.372807469700e-02,3.438374664167e-02,1.325689931570e-03,4.428911095826e-02,2.715153798057e-01,7.256239170867e-01,1.331200023645e+00,1.897408696788e+00,2.185957197412e+00
0.092,1.632850205694e-02,4.229208927492e-02,3.107805890027e-02,3.963327229098e-04,5.480242377163e-02,3.015807547721e-01,7.724384206491e-01,1.372985166294e+00,1.894917931740e+00,2.098162404908e+00
0.094,1.622584669648e-02,4.088111624750e-02,2.794944285190e-02,1.258418868755e-05,6.621422735824e-02,3.320891831936e-01,8.173282823382e-01,1.408123514641e+00,1.880246810455e+00,1.996050963767e+00
0.096,1.612352281312e-02,3.949514319103e-02,2.499660779197e-02,1.604631764611e-04,7.845833441344e-02,3.628550287191e-01,8.599630010313e-01,1.436312990401e+00,1.853651000115e+00,1.881274993596e+00
0.098,1.602153065828e-02,3.813415549059e-02,2.221819142350e-02,8.255129266532e-04,9.146763075059e-02,3.936952369219e-01,9.000334625327e-01,1.457321332047e+00,1.815529501123e+00,1.755669317669e+00
