x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,3.666551769518e-03,2.297788809520e-02,6.433874848204e-02,1.260782657702e-01,2.084164234257e-01,3.113380459362e-01,4.348440669887e-01,5.789343784718e-01,7.436091033049e-01,9.288681184048e-01
0.002,3.646391444884e-03,2.254058007290e-02,6.233470897940e-02,1.205938641451e-01,1.967973948125e-01,2.901917466172e-01,4.000507911961e-01,5.256569422987e-01,6.663026088511e-01,8.212897610514e-01
0.004,3.626286699187e-03,2.210747368539e-02,6.036238079885e-02,1.152314479888e-01,1.855117414929e-01,2.697895334491e-01,3.667093883862e-01,4.749536736012e-01,5.932442368270e-01,7.203420713305e-01
0.006,3.606237534572e-03,2.167856944270e-02,5.842177478203e-02,1.099910961630e-01,1.745598075322e-01,2.501325131067e-01,3.348227649692e-01,4.268311763084e-01,5.244474458430e-01,6.260502456526e-01
0.008,3.586243954588e-03,2.125386817134e-02,5.651290815650e-02,1.048729313107e-01,1.639421157814e-01,2.312223258728e-01,3.043951138077e-01,3.812987011204e-01,4.599304915297e-01,5.384472733185e-01
0.010,3.566305964162e-03,2.083337099429e-02,5.463580382666e-02,9.987711250426e-02,1.536593258969e-01,2.130609775447e-01,2.754313825275e-01,3.383667240495e-01,3.997130764839e-01,4.575667791498e-01
0.012,3.546423569578e-03,2.041707931120e-02,5.279048967630e-02,9.500382806608e-02,1.437121936621e-01,1.956506778892e-01,2.479367670040e-01,2.980456049438e-01,3.438132205388e-01,3.834364093604e-01
0.014,3.526596778448e-03,2.000499477880e-02,5.097699788286e-02,9.025328856449e-02,1.341015316315e-01,1.789936857711e-01,2.219162306453e-01,2.603443284552e-01,2.922443594866e-01,3.160717839892e-01
0.016,3.506825599696e-03,1.959711929148e-02,4.919536424348e-02,8.562571998601e-02,1.248281711155e-01,1.630921610996e-01,1.973740501994e-01,2.252693302737e-01,2.450126813905e-01,2.554710415016e-01
0.018,3.487110043527e-03,1.919345496213e-02,4.744562751294e-02,8.112135708636e-02,1.158929255326e-01,1.479480237597e-01,1.743133888851e-01,1.928234116745e-01,2.021147100894e-01,2.016100016958e-01
0.020,3.467450121409e-03,1.879400410310e-02,4.572782875350e-02,7.674043692251e-02,1.072965551534e-01,1.335628197059e-01,1.527358976973e-01,1.630047455113e-01,1.635351454705e-01,1.544379719893e-01
0.022,3.447845846047e-03,1.839876920738e-02,4.404201069686e-02,7.248319256851e-02,9.903973326742e-02,1.199375944067e-01,1.326413457511e-01,1.358059767605e-01,1.292449696037e-01,1.138742196599e-01
0.024,3.428297231359e-03,1.800775293005e-02,4.238821711823e-02,6.834984701780e-02,9.112301380037e-02,1.070727738326e-01,1.140272805288e-01,1.112134205716e-01,9.919982693525e-02,7.980512886210e-02
0.026,3.408804292456e-03,1.762095806981e-02,4.076649222271e-02,6.434060727498e-02,8.354680041578e-02,9.496805318079e-02,9.688871885847e-02,8.920636052964e-02,7.333868548107e-02,5.208205638472e-02
0.028,3.389367045615e-03,1.723838755082e-02,3.917688004409e-02,6.045565864028e-02,7.631131713070e-02,8.362229352596e-02,8.121786940537e-02,6.975644949248e-02,5.158278437740e-02,3.051989434619e-02
