x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,6.826594362772e-02,4.278153731339e-01,1.197895366831e+00,2.347396770803e+00,3.880415362181e+00,5.796668594656e+00,8.096173852142e+00,1.077892912176e+01,1.384493669210e+01,1.729419427151e+01
0.002,6.789058725162e-02,4.196733239622e-01,1.160583020978e+00,2.245285065935e+00,3.664085687276e+00,5.402954781789e+00,7.448372879133e+00,9.786979550871e+00,1.240560046444e+01,1.529123930448e+01
0.004,6.751626567574e-02,4.116095032135e-01,1.123861094532e+00,2.145444555820e+00,3.453962982964e+00,5.023094787559e+00,6.827603702053e+00,8.842957292296e+00,1.104535819333e+01,1.341173787397e+01
0.006,6.714297894002e-02,4.036239203843e-01,1.087729789351e+00,2.047876708748e+00,3.250053655242e+00,4.657109216665e+00,6.233920434094e+00,7.946985301738e+00,9.764460458805e+00,1.165615910108e+01
0.008,6.677072711054e-02,3.957165908629e-01,1.052189426186e+00,1.952583808157e+00,3.052367438853e+00,4.305028608823e+00,5.667401140358e+00,7.099235813990e+00,8.563247154577e+00,1.002511719934e+01
0.010,6.639951027903e-02,3.878875355574e-01,1.017240431485e+00,1.859568815746e+00,2.860916615649e+00,3.966890309105e+00,5.128137938551e+00,6.299903877397e+00,7.442085114783e+00,8.519238214782e+00
0.012,6.602932856247e-02,3.801367805273e-01,9.828833244037e-01,1.768835237809e+00,2.675715257238e+00,3.642735460208e+00,4.616227568432e+00,5.549182377495e+00,6.401309842913e+00,7.139036880325e+00
0.014,6.566018210262e-02,3.724643566185e-01,9.491187040403e-01,1.680386994827e+00,2.496778492220e+00,3.332606118957e+00,4.131762441555e+00,4.847238595639e+00,5.441171494179e+00,5.884804018725e+00
0.016,6.529207106560e-02,3.648702991022e-01,9.159472368863e-01,1.594228294345e+00,2.324121798406e+00,3.036542499770e+00,3.674822184839e+00,4.194192355163e+00,4.561785281455e+00,4.756504970869e+00
0.018,6.492499564144e-02,3.573546473171e-01,8.833696445000e-01,1.510363507179e+00,2.157760320482e+00,2.754580348157e+00,3.245465692893e+00,3.590095811795e+00,3.763086483600e+00,3.753689536029e+00
0.020,6.455895604364e-02,3.499174443157e-01,8.513866914021e-01,1.428797046989e+00,1.997708213599e+00,2.486748447575e+00,2.843723704875e+00,3.034914946690e+00,3.044790234424e+00,2.875413890906e+00
0.022,6.419395250874e-02,3.425587365143e-01,8.199991731955e-01,1.349533253281e+00,1.843978013442e+00,2.233066263152e+00,2.469591922041e+00,2.528512819842e+00,2.406356261620e+00,2.120174907819e+00
0.024,6.382998529590e-02,3.352785733464e-01,7.892079049120e-01,1.272576277873e+00,1.696580033316e+00,1.993541725850e+00,2.123024682022e+00,2.070634638929e+00,1.846958728291e+00,1.485857222417e+00
0.026,6.346705468645e-02,3.280770069199e-01,7.590137095872e-01,1.197929974894e+00,1.555521788858e+00,1.768169160673e+00,1.803929205293e+00,1.660894693968e+00,1.365461306289e+00,9.696933109559e-01
0.028,6.310516098345e-02,3.209540916782e-01,7.294174070672e-01,1.125597794370e+00,1.420807450944e+00,1.556927362467e+00,1.512160428358e+00,1.298765201766e+00,9.603975811123e-01,5.682367297476e-01
0.030,6.274430451128e-02,3.139098840653e-01,7.004198030479e-01,1.055582679450e+00,1.292437327397e+00,1.359777822690e+00,1.247516436803e+00,9.835670962013e-01,6.299568535252e-01,2.773485480558e-01
0.032,6.238448561521e-02,3.069444421937e-01,6.720216783517e-01,9.878869673422e-01,1.170407374076e+00,1.176663110404e+00,1.009734509712e+00,7.144627910126e-01,3.719753642092e-01,9.219687377824e-02
0.034,6.202570466094e-02,3.000578255176e-01,6.442237784419e-01,9.225122940230e-01,1.054708735918e+00,1.007505410409e+00,7.984877848970e-01,4.904509312784e-01,1.839329254526e-01,7.269231891851e-03
0.036,6.166796203421e-02,2.932500945084e-01,6.170268031797e-01,8.594595027664e-01,9.453273184887e-01,8.522052212055e-01,6.133825521752e-01,3.103631382459e-01,6.295489901790e-02,1.639741205726e-02
0.038,6.131125814036e-02,2.865213103352e-01,5.904313968254e-01,7.987285565732e-01,8.422433905529e-01,7.106402150463e-01,4.539561793485e-01,1.728627398626e-01,5.819412724306e-03,1.127942570518e-01
0.040,6.095559340392e-02,2.798715345483e-01,5.644381382870e-01,7.403184545484e-01,7.454312181675e-01,5.826642619886e-01,3.196756728632e-01,7.644546644135e-02,8.969660776701e-03,2.891017208169e-01
0.042,6.060096826814e-02,2.733008287673e-01,5.390475316193e-01,6.842271522925e-01,6.548587307281e-01,4.681066193664e-01,2.099368721973e-01,1.944207754161e-02,6.853108526585e-02,5.374493867128e-01
0.044,6.024738319463e-02,2.668092543726e-01,5.142599967765e-01,6.304514863613e-01,5.704872193782e-01,3.667712876496e-01,1.240642739958e-01,2.287256060072e-05,1.803331893396e-01,8.495225057516e-01
0.046,5.989483866290e-02,2.603968722013e-01,4.900758606212e-01,5.789871028509e-01,4.922710681248e-01,2.784365331222e-01,6.131147882395e-02,1.620402388349e-02,3.399356870465e-01,1.216638493617e+00
0.048,5.954333516996e-02,2.540637422464e-01,4.664953481929e-01,5.298283901610e-01,4.201575179530e-01,2.028545772774e-01,2.086225019300e-02,6.585565790752e-02,5.426586514861e-01,1.629830716446e+00
0.050,5.919287322987e-02,2.478099233604e-01,4.435185742385e-01,4.829684159861e-01,3.540864641700e-01,1.397514522547e-01,1.832172250775e-03,1.467115960084e-01,7.836162823299e-01,2.079938300668e+00
0.052,5.884345337337e-02,2.416354729633e-01,4.211455350087e-01,4.383988685804e-01,2.939902871409e-01,8.882702106265e-02,3.270889267781e-03,2.563806547156e-01,1.057753876606e+00,2.557700623442e+00
0.054,5.849507614743e-02,2.355404467537e-01,3.993761003227e-01,3.961100023410e-01,2.397937165156e-01,4.975516072854e-02,2.416490680535e-02,3.923593921609e-01,1.359887553437e+00,3.053855078875e+00
0.056,5.814774211484e-02,2.295248984248e-01,3.782100059034e-01,3.560905877462e-01,1.914137289687e-01,2.218410590803e-02,6.344093126648e-02,5.520461764072e-01,1.684746254658e+00,3.559236672444e+00
0.058,5.780145185383e-02,2.235888793839e-01,3.576468459875e-01,3.183278656844e-01,1.487594794028e-01,5.736949874459e-03,1.199697214264e-01,7.327564406822e-01,2.027015519386e+00,4.064877972726e+00
0.060,5.745620595759e-02,2.177324384766e-01,3.376860662121e-01,2.828075062034e-01,1.117322654880e-01,1.229919120696e-05,1.925704225486e-01,9.317389809636e-01,2.381382511963e+00,4.562107946298e+00
0.062,5.711200503395e-02,2.119556217145e-01,3.183269567805e-01,2.495135717037e-01,8.022552533034e-02,4.585077759974e-03,2.800153508394e-01,1.146193142892e+00,2.742581769643e+00,5.042648218648e+00
0.064,5.676884970487e-02,2.062584720075e-01,2.995686459101e-01,2.184284845971e-01,5.412486798249e-02,1.900747533340e-02,3.810351933050e-01,1.373286737729e+00,3.105441129032e+00,5.498705341155e+00
0.066,5.642674060613e-02,2.006410289004e-01,2.814100935655e-01,1.895329994421e-01,3.330813642836e-02,4.281003498839e-02,4.943245855730e-01,1.610174521124e+00,3.464927288864e+00,5.923057701208e+00
0.068,5.608567838685e-02,1.951033283132e-01,2.638500854775e-01,1.628061795678e-01,1.764550259002e-02,7.550287347957e-02,6.185480279488e-01,1.854017063833e+00,3.816190471267e+00,6.309135788679e+00
0.070,5.574566370913e-02,1.896454022863e-01,2.468872274520e-01,1.382253781858e-01,6.999593823451e-03,1.165770278345e-01,7.523460979129e-01,2.101999840389e+00,4.154607654115e+00,6.651094626221e+00
0.072,5.540669724761e-02,1.842672787294e-01,2.305199399701e-01,1.157662239883e-01,1.225650286531e-03,1.655059210177e-01,8.943419154495e-01,2.351352360010e+00,4.475823863505e+00,6.943877282037e+00
0.074,5.506877968910e-02,1.789689811752e-01,2.147464530815e-01,9.540261122251e-02,1.717124805100e-04,2.217469389805e-01,1.043147816043e+00,2.599367163797e+00,4.775791037457e+00,7.183268510252e+00
0.076,5.473191173216e-02,1.737505285372e-01,1.995648015928e-01,7.710669422495e-02,3.678838184770e-03,2.847431109363e-01,1.197372184904e+00,2.843418513610e+00,5.050803999591e+00,7.365937704153e+00
0.078,5.439609408671e-02,1.686119348716e-01,1.849728205531e-01,6.084888639350e-02,1.158134792431e-02,3.539248842512e-01,1.355626404994e+00,3.080980600787e+00,5.297533114333e+00,7.489470499350e+00
0.080,5.406132747363e-02,1.635532091446e-01,1.709681410375e-01,4.659786356832e-02,2.370709803064e-02,4.287119849289e-01,1.516531870741e+00,3.309645107179e+00,5.513053232913e+00,7.552388525196e+00
0.082,5.372761262435e-02,1.585743550027e-01,1.575481862313e-01,3.432057178591e-02,3.987778027972e-02,5.085153542950e-01,1.678727018932e+00,3.527137956733e+00,5.694868581537e+00,7.554156971430e+00
0.084,5.339495028047e-02,1.536753705487e-01,1.447101678143e-01,2.398223936420e-02,5.990924701607e-02,5.927391521486e-01,1.840874328214e+00,3.731335103015e+00,5.840933289254e+00,7.495179810384e+00
0.086,5.306334119335e-02,1.488562481216e-01,1.324510826473e-01,1.554639326973e-02,8.361186059947e-02,6.807828163603e-01,2.001667238868e+00,3.920277206605e+00,5.949667302598e+00,7.376782691033e+00
0.088,5.273278612374e-02,1.441169740808e-01,1.207677097619e-01,8.974879711323e-03,1.107908659417e-01,7.720431686441e-01,2.159836945064e+00,4.092183066125e+00,6.019967486595e+00,7.201183696903e+00
0.090,5.240328584137e-02,1.394575285956e-01,1.096566076538e-01,4.227888897966e-03,1.412467848341e-01,8.659165560289e-01,2.314159012670e+00,4.245461677658e+00,6.051213766518e+00,6.971452333065e+00
0.092,5.207484112456e-02,1.348778854384e-01,9.911411187919e-02,1.263983891849e-03,1.747758307037e-01,9.618010173999e-01,2.463459776870e+00,4.378722809466e+00,6.043270221317e+00,6.691457275633e+00
0.094,5.174745275984e-02,1.303780117833e-01,8.913633295675e-02,4.013348097092e-05,2.111703423769e-01,1.059098464371e+00,2.606622475286e+00,4.490785992063e+00,5.996481097161e+00,6.365803577831e+00
0.096,5.142112154156e-02,1.259578680085e-01,7.971915457283e-02,5.117489890632e-04,2.502192353732e-01,1.157216865693e+00,2.742593074094e+00,4.580687837710e+00,5.911661767551e+00,5.999760177723e+00
0.098,5.109584827149e-02,1.216174075042e-01,7.085823209129e-02,2.632724934095e-03,2.917084692011e-01,1.255572424385e+00,2.870385746637e+00,4.647687618198e+00,5.790084724137e+00,5.599178691715e+00
0.100,5.077163375846e-02,1.173565764843e-01,6.254899136698e-02,6.355483440220e-03,3.354215290809e-01,1.353591736831e+00,2.989087966353e+00,4.691271045256e+00,5.633460739200e+00,5.170404603148e+00
0.102,5.044847881796e-02,1.131753138037e-01,5.478662786233e-02,1.163102230169e-02,3.811399204769e-01,1.450713923160e+00,3.097865178416e+00,4.711152213817e+00,5.443915395967e+00,4.720182064763e+00
0.104,5.012638427177e-02,1.090735507795e-01,4.756610606635e-02,1.840896659112e-02,4.286436747826e-01,1.546392718372e+00,3.195965017263e+00,4.707273684717e+00,5.223961235982e+00,4.255553626098e+00
0.106,4.980535094754e-02,1.050512110174e-01,4.088215921496e-02,2.663762369836e-02,4.777118644723e-01,1.640098513864e+00,3.282721040214e+00,4.679804699904e+00,4.976465823012e+00,3.783756270492e+00
0.108,4.948537967849e-02,1.011082102428e-01,3.472928931131e-02,3.626404168054e-02,5.281231260007e-01,1.731320339252e+00,3.357555950599e+00,4.629137539841e+00,4.704616069801e+00,3.312115200424e+00
0.110,4.916647130295e-02,9.724445613659e-02,2.910176744477e-02,4.723407079785e-02,5.796561887136e-01,1.819567774646e+00,3.419984287217e+00,4.555882049310e+00,4.411879216973e+00,2.847936843524e+00
0.112,4.884862666403e-02,9.345984817583e-02,2.399363440672e-02,5.949242810439e-02,6.320904080119e-01,1.904372783911e+00,3.469614560487e+00,4.460858374111e+00,4.101960891913e+00,2.398402564246e+00
0.114,4.853184660923e-02,8.975427747920e-02,1.939870160127e-02,7.298276495798e-02,6.852063010011e-01,1.985291459769e+00,3.506150819347e+00,4.345087967101e+00,3.778760709182e+00,1.970464557834e+00
0.116,4.821613199008e-02,8.612762665736e-02,1.531055224877e-02,8.764773730757e-02,7.387860828502e-01,2.061905672065e+00,3.529393636741e+00,4.209782937433e+00,3.446325902461e+00,1.570745373773e+00
0.118,4.790148366174e-02,8.257976966809e-02,1.172254287963e-02,1.034290786124e-01,7.926142020850e-01,2.133824610947e+00,3.539240505418e+00,4.056333831649e+00,3.108803500971e+00,1.205442465953e+00
0.120,4.758790248267e-02,7.911057167636e-02,8.627805115807e-03,1.202676752419e-01,8.464778730410e-01,2.200686217229e+00,3.535685639700e+00,3.886295949259e+00,2.770391580358e+00,8.802390968848e-01
