x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,2.538834203848e-02,1.591060263032e-01,4.455014562645e-01,8.730050293037e-01,1.443139979192e+00,2.155801225973e+00,3.010995234785e+00,4.008721257032e+00,5.148980143845e+00,6.431771042960e+00
0.002,2.524874569576e-02,1.560779698773e-01,4.316248649739e-01,8.350293308578e-01,1.362686220148e+00,2.009377688625e+00,2.770075798216e+00,3.639811759083e+00,4.613685991093e+00,5.686865119325e+00
0.004,2.510953419884e-02,1.530790068744e-01,4.179678527162e-01,7.978982976458e-01,1.284540855070e+00,1.868106434648e+00,2.539209580639e+00,3.288726595399e+00,4.107807156068e+00,4.987871995613e+00
0.006,2.497070756258e-02,1.501091408259e-01,4.045304945622e-01,7.616124757295e-01,1.208706266373e+00,1.731995126999e+00,2.318416706939e+00,2.955511493631e+00,3.631436830365e+00,4.334966139587e+00
0.008,2.483226581155e-02,1.471683774550e-01,3.913129098010e-01,7.261727143277e-01,1.135186074440e+00,1.601055123507e+00,2.107726209797e+00,2.640230508499e+00,3.184701421634e+00,3.728375979399e+00
0.010,2.469420897988e-02,1.442567245374e-01,3.783152570298e-01,6.915801149064e-01,1.063984846936e+00,1.475300312934e+00,1.907172348110e+00,2.342956179162e+00,2.767737356770e+00,3.168334343749e+00
0.012,2.455653711105e-02,1.413741917648e-01,3.655377293246e-01,6.578359814686e-01,9.951078171394e-01,1.354745996390e+00,1.716791099731e+00,2.063760240422e+00,2.380669410686e+00,2.655032663599e+00
0.014,2.441925025780e-02,1.385207906089e-01,3.529805494919e-01,6.249417720546e-01,9.285606114300e-01,1.239407814957e+00,1.536616832838e+00,1.802704904796e+00,2.023590616978e+00,2.188579096944e+00
0.016,2.428234848190e-02,1.356965341870e-01,3.406439654022e-01,5.928990514653e-01,8.643489860595e-01,1.129300724516e+00,1.366679160960e+00,1.559834735000e+00,1.696543823715e+00,1.768960753940e+00
0.018,2.414583185403e-02,1.329014371295e-01,3.285282454056e-01,5.617094452221e-01,8.024785733892e-01,1.024438018946e+00,1.206999987207e+00,1.335169127930e+00,1.399504960878e+00,1.396010203370e+00
0.020,2.400970045359e-02,1.301355154477e-01,3.166336738301e-01,5.313745947809e-01,7.429546377696e-01,9.248304029164e-01,1.057590743578e+00,1.128695431860e+00,1.132368085740e+00,1.069376434062e+00
0.022,2.387395436854e-02,1.273987864040e-01,3.049605465631e-01,5.018961140189e-01,6.857818412648e-01,8.304851155749e-01,9.184498313561e-01,9.403627183254e-01,8.949322691504e-01,7.885004276019e-01
0.024,2.373859369528e-02,1.246912683828e-01,2.935091667178e-01,4.732755470117e-01,6.309640194293e-01,7.414051064738e-01,7.895602685470e-01,7.700762291741e-01,6.868903794916e-01,5.525954726236e-01
