x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,2.981923189034e-02,1.868739394756e-01,5.232524129265e-01,1.025365869531e+00,1.695003384802e+00,2.532041539748e+00,3.536487927833e+00,4.708341669811e+00,6.047603765358e+00,7.554273213466e+00
0.002,2.965527255387e-02,1.833174127595e-01,5.069540153030e-01,9.807624780834e-01,1.600508466869e+00,2.360063495347e+00,3.253522126638e+00,4.275048394921e+00,5.418887622875e+00,6.679362892829e+00
0.004,2.949176522826e-02,1.797950569837e-01,4.909135186521e-01,9.371511667185e-01,1.508724814401e+00,2.194136934431e+00,2.982364078304e+00,3.862690238831e+00,4.824720494231e+00,5.858378284454e+00
0.006,2.932870993096e-02,1.763068762964e-01,4.751310111461e-01,8.945325767998e-01,1.419655225602e+00,2.034270857335e+00,2.723037420004e+00,3.471320909793e+00,4.265211835246e+00,5.091524305022e+00
0.008,2.916610669082e-02,1.728528774193e-01,4.596066328930e-01,8.529077057556e-01,1.333303952701e+00,1.880478604106e+00,2.475576251337e+00,3.101015641650e+00,3.740510114811e+00,4.379069249012e+00
0.010,2.900395554792e-02,1.694330694853e-01,4.443405701691e-01,8.122778472848e-01,1.249676360532e+00,1.732776487436e+00,2.240020810219e+00,2.751859633427e+00,3.250775569669e+00,3.721286579455e+00
0.012,2.884225655336e-02,1.660474638775e-01,4.293330497470e-01,7.726445329708e-01,1.168778595711e+00,1.591182478858e+00,2.016413353521e+00,2.423937139413e+00,2.796154751023e+00,3.118401136722e+00
0.014,2.868100976905e-02,1.626960740697e-01,4.145843333182e-01,7.340094753180e-01,1.090617266559e+00,1.455714949203e+00,1.804794247516e+00,2.117321229740e+00,2.376756929119e+00,2.570539955040e+00
0.016,2.852021526756e-02,1.593789154686e-01,4.000947120130e-01,6.963745122235e-01,1.015199133934e+00,1.326391464525e+00,1.605198274019e+00,1.832064244411e+00,1.992632430066e+00,2.077687894968e+00
0.018,2.835987313190e-02,1.560960052578e-01,3.858645010151e-01,6.597415529020e-01,9.425308131841e-01,1.203227638809e+00,1.417651158772e+00,1.568188965559e+00,1.643752983037e+00,1.639648304426e+00
0.020,2.819998345532e-02,1.528473622430e-01,3.718940342745e-01,6.241125252840e-01,8.726184874176e-01,1.086236044954e+00,1.242166328941e+00,1.325680533420e+00,1.329994155693e+00,1.256008912163e+00
0.022,2.804054634115e-02,1.496330066993e-01,3.581836593185e-01,5.894893249078e-01,8.054676323435e-01,9.754251855152e-01,1.078741906791e+00,1.104479131260e+00,1.051119951807e+00,9.261131373076e-01
0.024,2.788156190260e-02,1.464529602198e-01,3.447337321608e-01,5.558737653283e-01,7.410827529150e-01,8.707985248158e-01,9.273579465535e-01,9.044734632998e-01,8.067696377440e-01,6.490369680203e-01
0.026,2.772303026254e-02,1.433072455657e-01,3.315446123115e-01,5.232675300669e-01,6.794671320355e-01,7.723535839627e-01,7.879739212242e-01,7.254950476470e-01,5.964468542552e-01,4.235715228606e-01
0.028,2.756495155337e-02,1.401958865185e-01,3.186166578873e-01,4.916721261281e-01,6.206225915847e-01,6.800811003360e-01,6.605264656488e-01,5.673133434405e-01,4.195110571427e-01,2.482113615152e-01
0.030,2.740732591676e-02,1.371189077332e-01,3.059502208242e-01,4.610888391083e-01,5.645492660227e-01,5.939642530288e-01,5.449273816372e-01,4.296317279562e-01,2.751713152699e-01,1.211485585554e-01
0.032,2.725015350354e-02,1.340763345943e-01,2.935456421929e-01,4.315186899235e-01,5.112453888290e-01,5.139779556449e-01,4.410619101227e-01,3.120843353226e-01,1.624824774024e-01,4.027249625012e-02
0.034,2.709343447346e-02,1.310681930717e-01,2.814032476192e-01,4.029623931836e-01,4.607070920257e-01,4.400882177445e-01,3.487872745053e-01,2.142337639157e-01,8.034370089792e-02,3.175271591203e-03
0.036,2.693716899500e-02,1.280945095800e-01,2.695233428093e-01,3.754203172392e-01,4.129282190255e-01,3.722515760987e-01,2.679314983258e-01,1.355696544684e-01,2.749931565709e-02,7.162549970795e-03
0.038,2.678135724522e-02,1.251553108385e-01,2.579062091823e-01,3.488924459285e-01,3.679001510323e-01,3.104145967516e-01,1.982924993151e-01,7.550813555397e-02,2.541976398041e-03,4.926963472839e-02
0.040,2.662599940956e-02,1.222506237328e-01,2.465520996109e-01,3.233783420510e-01,3.256116472081e-01,2.545134487147e-01,1.396374606757e-01,3.339212745979e-02,3.918035560114e-03,1.262824593761e-01
