x,deltaf_mode1,deltaf_mode2,deltaf_mode3,deltaf_mode4,deltaf_mode5,deltaf_mode6,deltaf_mode7,deltaf_mode8,deltaf_mode9,deltaf_mode10
0.000,6.019119892046e-02,3.772118110014e-01,1.056203935363e+00,2.069738122235e+00,3.421425685298e+00,5.111017498852e+00,7.138528890576e+00,9.503958085684e+00,1.220730710205e+01,1.524857391912e+01
0.002,5.986024106506e-02,3.700328330913e-01,1.023305029816e+00,1.979704562114e+00,3.230684273072e+00,4.763873591236e+00,6.567352178511e+00,8.629339926647e+00,1.093822081117e+01,1.348253576828e+01
0.004,5.953019560993e-02,3.629228304612e-01,9.909267067170e-01,1.891673551550e+00,3.045415648324e+00,4.428944822079e+00,6.020009842996e+00,7.796980062685e+00,9.738872955273e+00,1.182534861956e+01
0.006,5.920106259030e-02,3.558818114841e-01,9.590691440457e-01,1.805646385158e+00,2.865625459331e+00,4.106249358878e+00,5.496549596518e+00,7.006986905849e+00,8.609484474894e+00,1.027742610470e+01
0.008,5.887284206443e-02,3.489097897283e-01,9.277326246148e-01,1.721625076284e+00,2.691322289372e+00,3.795814129004e+00,4.997040270352e+00,6.259512318373e+00,7.550355059867e+00,8.839309785813e+00
0.010,5.854553411319e-02,3.420067836288e-01,8.969175244297e-01,1.639612236304e+00,2.522516967559e+00,3.497672060217e+00,4.521563086188e+00,5.554728277574e+00,6.561808153854e+00,7.511551657926e+00
0.012,5.821913883974e-02,3.351728161626e-01,8.666243012389e-01,1.559610956777e+00,2.359221901058e+00,3.211859428703e+00,4.070203341052e+00,4.892804853782e+00,5.644139575767e+00,6.294605569469e+00
0.014,5.789365636906e-02,3.284079145271e-01,8.368534832766e-01,1.481624694454e+00,2.201450429003e+00,2.938413316654e+00,3.643042515723e+00,4.273889541703e+00,4.797569891547e+00,5.188727943623e+00
0.016,5.756908684761e-02,3.217121098215e-01,8.076056581994e-01,1.405657159196e+00,2.049216198433e+00,2.677369181781e+00,3.240150818558e+00,3.698087991532e+00,4.022200686273e+00,4.193888220883e+00
0.018,5.724543044296e-02,3.150854367313e-01,7.788814622172e-01,1.331712204823e+00,1.902532562665e+00,2.428758541484e+00,2.861580177896e+00,3.165446189826e+00,3.317974894253e+00,3.309689451902e+00
0.020,5.692268734335e-02,3.085279332167e-01,7.506815694203e-01,1.259793722932e+00,1.761412002528e+00,2.192606774608e+00,2.507357696956e+00,2.675934141613e+00,2.684641344310e+00,2.535299452242e+00
0.022,5.660085775735e-02,3.020396402036e-01,7.230066813048e-01,1.189905539737e+00,1.625865570940e+00,1.968931043874e+00,2.177479585466e+00,2.229431104651e+00,2.121723669514e+00,1.869392889647e+00
0.024,5.627994191346e-02,2.956206012784e-01,6.958575164976e-01,1.122051315962e+00,1.495902361311e+00,1.757738342141e+00,1.871905582167e+00,1.825712424383e+00,1.628493715969e+00,1.310104612772e+00
0.026,5.595994005972e-02,2.892708623854e-01,6.692348006828e-01,1.056234449858e+00,1.371529000300e+00,1.559023665673e+00,1.590553881836e+00,1.464438014008e+00,1.203949564562e+00,8.549944506719e-01
0.028,5.564085246337e-02,2.829904715284e-01,6.431392567318e-01,9.924579833664e-01,1.252749165437e+00,1.372768317538e+00,1.333296579613e+00,1.145142518454e+00,8.467982536461e-01,5.010236175840e-01
